,,,,,,,
Player,Team,G,FGM,FGA,FG%,EPM,EPA
Connor Barth,DEN,1,5,5,100.0%,1,1
Dan Carpenter,BUF,1,4,4,100.0%,1,1
Graham Gano,CAR,1,4,5,80.0%,1,1
Chandler Catanzaro,ARI,1,4,4,100.0%,0,0
Mike Nugent,CIN,1,3,3,100.0%,3,3
Josh Scobee,JAC,1,4,5,80.0%,0,0
Stephen Gostkowski,NE,1,2,2,100.0%,5,5
Matt Prater,DET,1,3,3,100.0%,1,1
Cody Parkey,PHI,1,2,2,100.0%,3,3
Ryan Succop,TEN,1,3,3,100.0%,0,0
Shaun Suisham,PIT,1,2,2,100.0%,3,3
Dan Bailey,DAL,1,1,1,100.0%,5,5
Matt Bryant,ATL,1,2,2,100.0%,2,2
Justin Tucker,BAL,1,2,4,50.0%,2,2
Mason Crosby,GB,1,2,3,66.7%,1,1
Kai Forbath,WAS,1,2,2,100.0%,1,1
Shayne Graham,NO,1,1,2,50.0%,4,4
Sebastian Janikowski,OAK,1,2,2,100.0%,1,1
Cairo Santos,KC,1,1,3,33.3%,4,4
Caleb Sturgis,MIA,1,2,3,66.7%,1,1
Josh Brown,NYG,1,1,1,100.0%,3,3
Greg Zuerlein,STL,1,2,2,100.0%,0,0
Steve Hauschka,SEA,1,1,1,100.0%,2,2
Patrick Murray,TB,1,1,1,100.0%,2,2
Adam Vinatieri,IND,1,1,1,100.0%,2,2
Randy Bullock,HOU,1,1,1,100.0%,1,1
Nick Folk,NYJ,1,1,2,50.0%,1,1
Nick Novak,SD,1,1,3,33.3%,1,1
Blair Walsh,MIN,1,0,3,0.0%,2,2
Phil Dawson,SF,1,0,0,0.0%,1,1
Jay Feely,CHI,1,0,0,0.0%,1,1
