,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Aaron Rodgers,GB,1,22,36,341,3,0,3,32,0
Jay Cutler,CHI,1,31,43,330,3,2,5,21,0
Cam Newton,CAR,1,23,37,292,2,2,5,30,0
Mark Sanchez,PHI,1,26,44,346,2,2,3,0,0
Andrew Luck,IND,1,23,39,303,2,1,3,15,0
Andy Dalton,CIN,1,16,22,220,3,0,5,12,0
Russell Wilson,SEA,1,20,32,178,2,0,8,71,0
Peyton Manning,DEN,1,34,54,389,1,2,1,-1,0
Josh McCown,TB,1,15,23,288,2,0,3,8,0
Drew Stanton,ARI,1,21,32,306,2,2,4,-4,0
Ryan Tannehill,MIA,1,26,34,240,2,0,4,16,0
Zach Mettenberger,TEN,1,15,24,263,2,1,0,0,0
Tom Brady,NE,1,19,30,257,2,2,2,-2,0
Brian Hoyer,CLE,1,20,50,330,1,1,3,-6,0
Robert Griffin III,WAS,1,23,32,207,1,2,6,41,0
Ryan Mallett,HOU,1,20,30,211,2,1,4,-3,0
Eli Manning,NYG,1,22,45,280,1,5,0,0,0
Matt Ryan,ATL,1,31,45,268,1,0,1,4,0
Drew Brees,NO,1,33,41,255,1,0,1,3,0
Colin Kaepernick,SF,1,15,29,193,1,0,8,24,0
Shaun Hill,STL,1,20,29,220,1,0,0,0,0
Ben Roethlisberger,PIT,1,21,32,207,1,1,3,2,0
Philip Rivers,SD,1,22,34,193,1,0,1,-1,0
Teddy Bridgewater,MIN,1,18,28,158,1,1,4,2,0
Kyle Orton,BUF,1,22,39,193,0,0,2,2,0
Matthew Stafford,DET,1,18,30,183,0,1,0,0,0
Derek Carr,OAK,1,16,34,172,0,0,2,0,0
Alex Smith,KC,1,11,16,108,0,0,2,-1,0
Matt Flynn,GB,1,2,2,26,0,0,3,-3,0
Brad Smith,PHI,1,0,0,0,0,0,0,0,0
Jimmy Garoppolo,NE,1,0,0,0,0,0,2,-2,0
