,,,,,,,,,
Player,Team,G,Tackle,Assist,Sack,PD,INT,FF,FR
Robert Quinn,STL,1,5,0,3.0,0,0,2,0
Jared Allen,CHI,1,4,0,2.0,0,0,1,1
J.J. Watt,HOU,1,3,0,2.0,0,0,1,1
Cameron Jordan,NO,1,1,5,1.0,2,1,0,0
Sen'Derrick Marks,JAC,1,3,0,2.0,0,0,1,0
William Hayes,STL,1,6,0,1.0,0,0,1,0
DeMarcus Ware,DEN,1,3,0,1.0,1,1,0,0
Everson Griffen,MIN,1,3,2,2.0,0,0,0,0
Charles Johnson,CAR,1,4,0,1.0,0,0,1,0
Devon Kennard,NYG,1,3,0,2.0,0,0,0,0
Desmond Bryant,CLE,1,6,1,1.0,0,0,0,0
Tyrone Crawford,DAL,1,3,0,1.0,0,0,1,0
Tony Jerod-Eddie,SF,1,2,1,1.0,0,0,1,0
Jason Pierre-Paul,NYG,1,3,1,1.5,0,0,0,0
Carlos Dunlap,CIN,1,5,2,0.5,1,0,0,0
Aaron Lynch,SF,1,5,0,1.0,0,0,0,0
Michael Bennett,SEA,1,4,0,1.0,0,0,0,0
Fletcher Cox,PHI,1,4,0,1.0,0,0,0,0
Brandon Graham,PHI,1,4,0,1.0,0,0,0,0
Chris Long,STL,1,2,0,1.0,0,0,0,1
Kyle Williams,BUF,1,2,1,1.0,1,0,0,0
Gerald McCoy,TB,1,2,0,1.0,1,0,0,0
Akeem Spence,TB,1,3,4,0.5,0,0,0,0
Justin Tuck,OAK,1,2,0,1.0,1,0,0,0
Michael Brockers,STL,1,6,1,0.0,0,0,0,0
Bruce Irvin,SEA,1,2,1,1.0,0,0,0,0
Justin Smith,SF,1,2,1,1.0,0,0,0,0
Cameron Wake,MIA,1,2,1,1.0,0,0,0,0
Ziggy Ansah,DET,1,2,0,1.0,0,0,0,0
Chris Canty,BAL,1,1,4,0.0,0,0,1,0
Jurrell Casey,TEN,1,5,2,0.0,0,0,0,0
Chris Clemons,JAC,1,3,0,0.0,1,0,0,1
Aaron Donald,STL,1,1,0,1.0,1,0,0,0
Tim Jamison,HOU,1,2,0,1.0,0,0,0,0
Chris Jones,NE,1,2,0,1.0,0,0,0,0
Jason Jones,DET,1,1,0,1.0,1,0,0,0
Kenrick Ellis,NYJ,1,1,1,1.0,0,0,0,0
Johnathan Hankins,NYG,1,1,1,1.0,0,0,0,0
Ishmaa'ily Kitchen,CLE,1,3,5,0.0,0,0,0,0
Corey Liuget,SD,1,5,1,0.0,0,0,0,0
Olivier Vernon,MIA,1,4,3,0.0,0,0,0,0
Tyson Alualu,JAC,1,1,0,1.0,0,0,0,0
Cliff Avril,SEA,1,1,0,1.0,0,0,0,0
Vinny Curry,PHI,1,1,0,1.0,0,0,0,0
Quinton Dial,SF,1,4,2,0.0,0,0,0,0
Sharrif Floyd,MIN,1,1,0,1.0,0,0,0,0
Andre Fluellen,DET,1,1,0,1.0,0,0,0,0
Jaye Howard,KC,1,5,0,0.0,0,0,0,0
Timmy Jernigan,BAL,1,1,0,1.0,0,0,0,0
Jeremy Mincey,DAL,1,3,0,0.0,0,0,0,1
