"","playerId","rec","recYds","recTds","fumbles","analyst","player","position","games","rushAtt","rushYds","rushTds","rush40","rec40","returnYds","returnTds","twoPts"
"1",324,4,46.2,0.2,0,-1,"Jacob Tamme","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1060,3.4,42.8,0.3,0,-1,"Gary Barnidge","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1062,3.5,28.2,0.3,0,-1,"Martellus Bennett","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",71255,0,0,0,0,-1,"Chase Coffman","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",71265,2.8,33.8,0.1,0,-1,"Jared Cook","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",71435,0.2,1.5,0,0,-1,"John Phillips","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",79589,0.2,1.6,0,0,-1,"David Johnson","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",89766,1.5,15.5,0.1,0,-1,"Brandon Myers","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",238457,3.5,33.9,0.3,0,-1,"Zach Miller","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",497224,1.5,15.2,0.1,0,-1,"Ed Dickson","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",497226,0.3,3.6,0,0,-1,"Jim Dray","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",497236,3,34.4,0.2,0,-1,"Jimmy Graham","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",497238,2,20.9,0.1,0,-1,"Jermaine Gresham","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",497240,2.1,28.8,0.3,0,-1,"Rob Gronkowski","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",497242,0.5,4.3,0,0,-1,"Clay Harbor","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",497254,5.4,48.2,0.3,0,-1,"Dennis Pitta","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",497256,0,0,0,0,-1,"Tony Moeaki","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",497258,0.6,5,0,0,-1,"Andrew Quarless","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2495139,3.3,31.7,0.1,0,-1,"Charles Clay","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2495187,2,19.8,0.2,0,-1,"Lance Kendricks","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2495234,0.4,2.4,0,0,-1,"Luke Stocker","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2495267,2.5,27.8,0.3,0,-1,"Jordan Cameron","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2495288,3.4,31.2,0.2,0,-1,"Virgil Green","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2495347,0.9,8.9,0.1,0,-1,"Lee Smith","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2495353,3.7,40.4,0.4,0,-1,"Julius Thomas","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2495438,3,28.7,0.3,0,-1,"Kyle Rudolph","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2495700,5.1,67.8,0.4,0.1,-1,"Greg Olsen","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2495826,2.1,21.5,0.1,0,-1,"Vernon Davis","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2495835,0.2,2.3,0,0,-1,"Anthony Fasano","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2495888,1.8,20.3,0.1,0,-1,"Marcedes Lewis","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2495966,5.5,70.6,0.4,0,-1,"Delanie Walker","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2505299,4.2,43.5,0.5,0,-1,"Antonio Gates","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2505629,4.8,48,0.2,0.1,-1,"Jason Witten","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2507218,1.4,17.6,0.1,0,-1,"Brent Celek","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2507486,0.9,8.5,0,0,-1,"Kellen Davis","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2507828,0,0,0,0,-1,"Logan Paulsen","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2508112,0,0,0,0,-1,"Rob Housler","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2532835,0.3,3.5,0,0,-1,"Rhett Ellison","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",2532838,4.1,41.5,0.2,0,-1,"Coby Fleener","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",2533046,3.1,33.5,0.4,0,-1,"Dwayne Allen","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",2533047,0,0,0,0,-1,"Orson Charles","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",2533353,0.1,0.5,0,0,-1,"Cory Harkey","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",2534820,2.1,21,0.2,0,-1,"Garrett Celek","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",2535535,0,0,0,0,-1,"Phillip Supernaw","TE",NA,NA,NA,NA,NA,NA,NA,NA,NA
