,,,,,,,,,,
Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD
Kansas City Chiefs,1,2,1,2,2,14,281.0,93.0,0,0
New England Patriots,1,5,1,2,1,16,274.0,59.0,0,0
Arizona Cardinals,1,2,2,2,1,17,361.0,74.0,0,0
Green Bay Packers,1,3,0,2,1,20,276.0,120.0,0,0
Cincinnati Bengals,1,4,1,3,0,14,295.0,55.0,0,0
Minnesota Vikings,1,5,1,1,0,17,231.0,94.0,0,0
New York Jets,1,2,0,4,0,16,195.0,133.0,0,0
Houston Texans,1,3,1,1,0,10,160.0,50.0,0,0
Indianapolis Colts,1,3,1,1,0,16,173.0,155.0,0,0
San Francisco 49ers,1,4,1,0,0,24,192.0,68.0,0,0
Denver Broncos,1,3,0,2,0,34,380.0,23.0,0,0
Washington Redskins,1,5,0,0,0,25,235.0,240.0,0,0
Oakland Raiders,1,2,1,1,0,30,204.0,103.0,0,0
Pittsburgh Steelers,1,2,1,1,0,27,296.0,104.0,0,0
San Diego Chargers,1,3,1,0,0,14,216.0,44.0,0,0
Seattle Seahawks,1,3,0,1,0,13,161.0,94.0,0,0
New Orleans Saints,1,3,1,0,0,35,254.0,150.0,0,0
New York Giants,1,3,1,0,0,38,340.0,171.0,0,0
Atlanta Falcons,1,2,0,1,0,17,297.0,72.0,0,0
Baltimore Ravens,1,3,0,0,0,34,171.0,113.0,0,0
Miami Dolphins,1,1,0,2,0,30,311.0,140.0,0,0
Dallas Cowboys,1,2,0,1,0,19,299.0,73.0,0,0
Tennessee Titans,1,2,1,0,0,33,267.0,93.0,0,0
Philadelphia Eagles,1,2,0,0,0,40,274.0,230.0,0,0
Buffalo Bills,1,1,1,0,0,35,319.0,123.0,0,0
Jacksonville Jaguars,1,1,0,1,0,23,246.0,83.0,0,0
Carolina Panthers,1,0,1,1,0,35,245.0,161.0,0,0
St. Louis Rams,1,0,1,1,0,23,363.0,146.0,0,0
Cleveland Browns,1,2,0,0,0,30,249.0,182.0,0,0
Tampa Bay Buccaneers,1,2,0,0,0,31,234.0,98.0,0,0
Chicago Bears,1,1,0,0,0,38,231.0,129.0,0,0
Detroit Lions,1,1,0,0,0,27,341.0,69.0,0,0
