,,,,,,,,,,
Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD
Tampa Bay Buccaneers,1,6,1,1,1,31,303.0,55.0,0,0
Denver Broncos,1,4,2,1,1,10,249.0,65.0,0,0
Green Bay Packers,1,3,0,4,1,10,161.0,191.0,0,0
Seattle Seahawks,1,4,1,1,1,27,331.0,109.0,0,0
Pittsburgh Steelers,1,2,1,1,1,20,365.0,52.0,0,0
Atlanta Falcons,1,1,0,2,1,19,219.0,51.0,0,0
Kansas City Chiefs,1,2,1,0,1,18,252.0,87.0,0,0
Philadelphia Eagles,1,5,3,1,0,17,335.0,96.0,0,0
Arizona Cardinals,1,1,2,4,0,17,379.0,57.0,0,0
Washington Redskins,1,3,1,2,0,25,254.0,176.0,0,0
St. Louis Rams,1,2,1,2,0,24,241.0,86.0,0,0
New England Patriots,1,3,1,1,0,6,188.0,100.0,0,0
Tennessee Titans,1,4,1,0,0,14,113.0,127.0,0,0
Cincinnati Bengals,1,4,0,1,0,24,213.0,200.0,0,0
Dallas Cowboys,1,5,0,0,0,30,275.0,109.0,0,0
San Diego Chargers,1,3,0,1,0,24,203.0,155.0,0,0
Baltimore Ravens,1,4,0,0,0,33,457.0,83.0,0,0
Oakland Raiders,1,2,0,2,0,16,266.0,43.0,0,0
Indianapolis Colts,1,1,0,2,0,20,362.0,82.0,0,0
Buffalo Bills,1,2,0,1,0,13,187.0,97.0,0,0
Chicago Bears,1,3,0,0,0,17,181.0,117.0,0,0
Jacksonville Jaguars,1,2,0,0,0,38,209.0,183.0,0,0
New Orleans Saints,1,0,0,2,0,39,333.0,186.0,0,0
New York Giants,1,2,0,0,0,27,262.0,124.0,0,0
Detroit Lions,1,2,0,0,0,42,171.0,187.0,0,0
San Francisco 49ers,1,0,0,1,0,30,441.0,84.0,0,0
Cleveland Browns,1,1,0,0,0,30,210.0,181.0,0,0
Houston Texans,1,0,0,0,0,27,213.0,110.0,0,0
