playerId,passAtt,passComp,passYds,passTds,passInt,passCompPct,rushAtt,rushYds,rushTds,fumbles,passInc,player,position,games,sacks,pass40,rush40,returnTds,twoPts,Fantasy Points,FP deviation
2552466.0,31.9666666667,19.9333333333,229.842857143,1.21428571429,2.41428571429,62.4152454511,6.1,19.5714285714,0.25,0.225,12.0333333333,Marcus Mariota,QB,1.0,2.95,0.5,0.0,0.0,1.5,15.1526666667,3.79904022967
382.0,35.9,21.8714285714,244.1125,1.425,1.1125,61.0604900858,1.45714285714,3.225,0.0714285714286,0.1,14.0285714286,Joe Flacco,QB,1.0,1.55,0.6,0.0,0.0,0.0,14.7108571429,1.74488580606
2495824.0,32.3,20.0142857143,231.2,1.175,0.9875,62.0080488546,2.41428571429,10.225,0.0428571428571,0.18,12.2857142857,Jay Cutler,QB,1.0,2.5,0.6,0.0,0.0,0.0,14.3891428571,1.54554407125
2495441.0,32.2833333333,19.8666666667,227.828571429,1.25714285714,2.45714285714,61.4612382281,6.78333333333,17.3285714286,0.25,0.34,12.4166666667,Blaine Gabbert,QB,1.0,2.85,0.5,0.0,0.0,1.75,14.1836666667,2.71797260227
2533033.0,31.4666666667,19.2666666667,214.3,1.16666666667,3.05,61.2865893431,6.85,14.4285714286,0.233333333333,0.275,12.2,Robert Griffin,QB,1.0,1.75,0.4,0.0,0.0,2.15,13.8973333333,3.39187727765
2555259.0,34.1666666667,20.6166666667,233.957142857,1.4,2.84285714286,60.744933428,5.43333333333,11.8142857143,0.216666666667,0.225,13.55,Carson Wentz,QB,1.0,2.0,0.4,0.0,0.0,2.0,13.723,4.03747658817
2532956.0,34.3571428571,21.1714285714,233.6125,1.1875,2.6875,61.6881582857,3.98571428571,10.2375,0.185714285714,0.283333333333,13.1857142857,Ryan Tannehill,QB,1.0,3.05,0.6,0.0,0.0,1.2,13.4094285714,2.95840085503
2553457.0,28.95,16.9,184.785714286,1.0,1.14285714286,59.1794387391,1.61666666667,6.17142857143,0.0333333333333,0.175,12.05,Trevor Siemian,QB,1.0,1.9,0.3,0.0,0.0,0.0,10.7133333333,2.32893612335
2532888.0,28.3833333333,17.35,194.457142857,1.01428571429,2.65,60.9107620971,3.51666666667,6.17142857143,0.15,0.1,11.0333333333,Case Keenum,QB,1.0,1.05,0.4,0.0,0.0,1.45,10.6013333333,3.04486654333
2504833.0,18.3333333333,11.5166666667,139.028571429,0.714285714286,0.557142857143,61.7798917343,1.01666666667,3.82857142857,0.0333333333333,0.075,6.81666666667,Shaun Hill,QB,1.0,1.8,0.4,0.0,0.0,0.0,7.868,6.35286480259
497095.0,20.575,13.175,170.94,1.08,2.78,63.9674803478,1.225,2.96,0.2,0.075,7.4,Sam Bradford,QB,,1.1,0.0,0.0,0.0,0.95,7.562,6.30190553193
2495186.0,11.8,7.325,71.4,0.375,0.375,62.2953334896,3.4,15.32,0.0,0.025,4.475,Colin Kaepernick,QB,1.0,0.6,0.0,0.0,0.0,0.0,6.44,6.93384184033
2505076.0,12.9,7.6,67.5,0.366666666667,0.425,60.5820433437,1.0,5.06666666667,0.0333333333333,0.133333333333,5.3,Josh McCown,QB,1.0,0.9,0.0,0.0,0.0,0.0,5.44666666667,4.12215493806
2539335.0,12.15,7.1,66.24,0.45,0.65,62.4176735371,1.15,8.075,0.0,0.025,5.05,Geno Smith,QB,1.0,0.8,0.0,0.0,0.0,0.0,5.1795,4.34214459302
2555316.0,9.83333333333,6.1,56.05,0.4,0.366666666667,60.9626362595,0.633333333333,1.23333333333,0.0,0.0333333333333,3.73333333333,Paxton Lynch,QB,1.0,0.2,0.0,0.0,0.0,0.0,4.146,4.31230472022
81294.0,5.3,3.36666666667,32.45,0.2,0.4,64.5502645503,0.333333333333,1.06666666667,0.0,0.0333333333333,1.93333333333,Brian Hoyer,QB,1.0,0.3,0.0,0.0,0.0,0.0,2.184,1.85403667709
79858.0,4.225,2.725,27.82,0.2,0.2,64.4676884838,0.275,0.95,0.0,0.025,1.5,Mark Sanchez,QB,1.0,0.3,0.0,0.0,0.0,0.0,1.946,1.5582015274
497123.0,3.06666666667,2.1,21.2,0.1,0.0333333333333,70.4796411318,0.666666666667,2.03333333333,0.0333333333333,0.0333333333333,0.966666666667,Colt McCoy,QB,1.0,0.25,0.0,0.0,0.0,0.0,1.794,1.42583589519
2532842.0,4.33333333333,2.7,25.6,0.166666666667,0.133333333333,63.5870780237,0.3,0.366666666667,0.0,0.0333333333333,1.63333333333,Nick Foles,QB,1.0,0.1,0.0,0.0,0.0,0.0,1.722,1.72303569319
2539275.0,3.3,2.0,20.875,0.166666666667,0.133333333333,61.6289357273,0.3,1.33333333333,0.0,0.0,1.3,Mike Glennon,QB,1.0,0.1,0.0,0.0,0.0,0.0,1.7,1.51477655118
2506562.0,3.53333333333,2.1,19.1,0.133333333333,0.1,61.0761430195,0.366666666667,1.56666666667,0.0,0.0333333333333,1.43333333333,Matt Cassel,QB,1.0,0.25,0.0,0.0,0.0,0.0,1.502,1.43631333629
2543497.0,3.2,2.0,22.675,0.133333333333,0.35,64.2190775681,0.6,1.15,0.0,0.0333333333333,1.2,AJ McCarron,QB,1.0,0.2,0.0,0.0,0.0,0.0,1.416,1.08517832636
2539228.0,2.26666666667,1.4,13.0,0.0666666666667,0.0333333333333,63.2478632479,0.633333333333,1.66666666667,0.0333333333333,0.0333333333333,0.866666666667,E.J. Manuel,QB,1.0,0.05,0.0,0.0,0.0,0.0,1.17333333333,1.50689260843
2542065.0,2.6,1.76666666667,13.675,0.133333333333,0.1,63.3597883598,0.0666666666667,0.133333333333,0.0,0.0333333333333,0.833333333333,Matt McGloin,QB,1.0,0.15,0.0,0.0,0.0,0.0,1.056,0.996176691155
2495443.0,3.66666666667,2.0,17.7,0.0666666666667,0.1,52.5888665325,0.0666666666667,0.233333333333,0.0,0.0,1.66666666667,Ryan Mallett,QB,1.0,0.05,0.0,0.0,0.0,0.0,1.014,1.13469467259
2539287.0,2.36666666667,1.36666666667,16.3,0.1,0.166666666667,59.8364598365,0.266666666667,0.0666666666667,0.0,0.0,1.0,Landry Jones,QB,1.0,0.2,0.0,0.0,0.0,0.0,0.989333333333,0.243099430961
2495748.0,1.675,0.875,9.78,0.025,0.075,56.5972222222,1.3,3.28,0.0,0.0,0.8,Drew Stanton,QB,1.0,0.1,0.0,0.0,0.0,0.0,0.809,0.694637555372
2505982.0,1.9,1.3,12.625,0.0666666666667,0.1,67.3391812865,0.2,0.366666666667,0.0,0.0333333333333,0.6,Matt Schaub,QB,1.0,0.2,0.0,0.0,0.0,0.0,0.756666666667,1.09817363533
2506481.0,2.43333333333,1.36666666667,11.075,0.0333333333333,0.0333333333333,62.5730994152,0.0,0.0333333333333,0.0,0.0,1.06666666667,Dan Orlovsky,QB,1.0,0.0,0.0,0.0,0.0,0.0,0.614,0.718183820481
252.0,1.4,0.733333333333,9.25,0.0333333333333,0.0666666666667,55.5555555556,0.233333333333,1.06666666667,0.0,0.0,0.666666666667,Chad Henne,QB,1.0,0.25,0.0,0.0,0.0,0.0,0.546666666667,0.515194461668
2543640.0,1.66666666667,0.933333333333,11.9,0.0333333333333,0.325,58.9225589226,0.2,1.425,0.0,0.0,0.733333333333,Tom Savage,QB,1.0,0.25,0.0,0.0,0.0,0.0,0.531333333333,0.667953092165
