,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing,Fantasy,Fantasy
Player,Team,G,Target,Rec,Yard,TD,Att,Yard,TD,FPts,FPts/G
Brice Butler,DAL,1,2,1,16,0,0,0,0,1.6,1.6
Kenny Stills,MIA,1,5,1,16,0,0,0,0,1.6,1.6
Tavon Austin,LAR,1,12,4,13,0,1,2,0,1.5,1.5
Kamar Aiken,BAL,1,2,2,14,0,0,0,0,1.4,1.4
Leonte Carroo,MIA,1,2,2,14,0,0,0,0,1.4,1.4
Dorial Green-Beckham,PHI,1,2,2,14,0,0,0,0,1.4,1.4
Cordarrelle Patterson,MIN,1,1,1,6,0,1,8,0,1.4,1.4
Chris Moore,BAL,1,2,1,13,0,0,0,0,1.3,1.3
Torrey Smith,SF,1,6,2,13,0,0,0,0,1.3,1.3
Philly Brown,CAR,1,2,1,11,0,0,0,0,1.1,1.1
J.J. Nelson,ARI,1,2,1,11,0,0,0,0,1.1,1.1
Paul Richardson,SEA,1,2,1,11,0,0,0,0,1.1,1.1
Josh Doctson,WAS,1,1,1,9,0,0,0,0,0.9,0.9
Devin Funchess,CAR,1,4,1,9,0,0,0,0,0.9,0.9
Rashad Greene,JAC,1,2,1,9,0,0,0,0,0.9,0.9
Russell Shepard,TB,1,0,0,0,0,1,9,0,0.9,0.9
Jared Abbrederis,GB,1,1,1,8,0,0,0,0,0.8,0.8
John Brown,ARI,1,4,1,8,0,0,0,0,0.8,0.8
Dez Bryant,DAL,1,5,1,8,0,0,0,0,0.8,0.8
Andre Roberts,DET,1,1,1,8,0,0,0,0,0.8,0.8
Dontrelle Inman,SD,1,3,1,6,0,0,0,0,0.6,0.6
Braxton Miller,HOU,1,3,1,6,0,0,0,0,0.6,0.6
Charles Johnson,MIN,1,6,1,5,0,0,0,0,0.5,0.5
Albert Wilson,KC,1,5,3,1,0,0,0,0,0.1,0.1
James Wright,CIN,1,1,1,7,0,2,-6,0,0.1,0.1
Ryan Grant,WAS,1,1,0,0,0,0,0,0,0.0,0.0
Justin Hardy,ATL,1,2,1,0,0,0,0,0,0.0,0.0
Andre Holmes,OAK,1,1,0,0,0,0,0,0,0.0,0.0
Josh Huff,PHI,1,3,0,0,0,0,0,0,0.0,0.0
Jordan Norwood,DEN,1,1,0,0,0,0,0,0,0.0,0.0
Greg Salas,BUF,1,1,0,0,0,0,0,0,0.0,0.0
Andrew Hawkins,CLE,1,3,0,0,0,1,-1,0,-0.1,-0.1
