,Unnamed: 0,Unnamed: 1,Unnamed: 2,Receiving,Receiving.1,Receiving.2,Receiving.3,Rushing,Rushing.1,Rushing.2,Fantasy
90,Sammy Watkins,BUF,1,5,2,20,0,0,0,0,2.5
91,Mohamed Sanu,ATL,1,5,3,19,0,0,0,0,3.5
92,Dorial Green-Beckham,PHI,1,4,2,18,0,0,0,0,2.4
93,Johnny Holton,OAK,1,1,1,4,0,1,14,0,1.1
94,Russell Shepard,TB,1,2,2,16,0,0,0,0,2.2
95,Philly Brown,CAR,1,6,3,15,0,0,0,0,3.6
96,Brandon Coleman,NO,1,4,2,15,0,0,0,0,2.4
97,Chris Conley,KC,1,4,2,15,0,0,0,0,2.4
98,Charles Johnson,MIN,1,2,2,15,0,0,0,0,2.2
99,Malcolm Mitchell,NE,1,2,1,15,0,0,0,0,1.2
100,John Brown,ARI,1,3,1,14,0,0,0,0,1.3
101,Rod Streater,SF,1,2,1,13,0,0,0,0,1.2
102,Golden Tate,DET,1,9,2,13,0,0,0,0,2.9
103,Cody Latimer,DEN,1,2,2,12,0,0,0,0,2.2
104,Cecil Shorts,TB,1,2,1,12,0,0,0,0,1.2
105,Jermaine Kearse,SEA,1,6,2,11,0,0,0,0,2.6
106,Albert Wilson,KC,1,3,2,11,0,0,0,0,2.3
107,Robert Woods,BUF,1,2,1,10,0,0,0,0,1.2
108,James Wright,CIN,1,1,1,10,0,0,0,0,1.1
109,Arrelious Benn,JAC,1,2,1,9,0,0,0,0,1.2
110,Donte Moncrief,IND,1,3,1,9,0,0,0,0,1.3
111,Chris Moore,BAL,1,2,1,9,0,0,0,0,1.2
112,Eli Rogers,PIT,1,3,1,9,0,0,0,0,1.3
113,Brian Quick,LAR,1,1,1,8,0,0,0,0,1.1
114,Quan Bray,IND,1,1,1,7,0,0,0,0,1.1
115,Rashad Greene,JAC,1,3,1,7,0,0,0,0,1.3
116,Darrius Heyward-Bey,PIT,1,2,1,7,0,0,0,0,1.2
117,Tyreek Hill,KC,1,2,2,8,0,1,-1,0,2.2
118,Dontrelle Inman,SD,1,3,1,7,0,0,0,0,1.3
119,Ryan Grant,WAS,1,1,1,5,0,0,0,0,1.1
120,Paul Lasike,CHI,1,0,0,0,0,1,2,0,0.0
121,Braxton Miller,HOU,1,3,1,3,0,1,-2,0,1.3
122,Kamar Aiken,BAL,1,1,0,0,0,0,0,0,0.1
123,Aaron Burbridge,SF,1,1,0,0,0,0,0,0,0.1
124,Brice Butler,DAL,1,1,0,0,0,0,0,0,0.1
125,Trevor Davis,GB,1,1,0,0,0,0,0,0,0.1
126,Rashard Higgins,CLE,1,1,0,0,0,0,0,0,0.1
127,Chester Rogers,IND,1,1,0,0,0,0,0,0,0.1
128,Matt Slater,NE,1,1,0,0,0,0,0,0,0.1
129,Jaelen Strong,HOU,1,1,0,0,0,0,0,0,0.1
130,Josh Huff,PHI,1,1,1,-1,0,1,0,0,1.1
131,Tommylee Lewis,NO,1,1,1,-1,0,0,0,0,1.1
132,Cordarrelle Patterson,MIN,1,0,0,0,0,1,-2,0,0.0
