,,,,,,,,,,
Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD
Cleveland Browns,1,4,0,1,1,24,188.0,155.0,0,1
Oakland Raiders,1,2,2,3,1,17,391.0,32.0,0,0
Kansas City Chiefs,1,3,1,2,1,17,234.0,105.0,0,0
Arizona Cardinals,1,7,1,3,0,6,258.0,95.0,0,0
San Francisco 49ers,1,1,1,3,1,3,182.0,131.0,0,0
St. Louis Rams,1,2,1,2,1,20,267.0,96.0,0,0
Miami Dolphins,1,2,1,1,1,26,251.0,133.0,0,0
Carolina Panthers,1,2,0,3,0,22,160.0,90.0,1,0
Baltimore Ravens,1,6,0,0,0,23,272.0,22.0,0,0
Indianapolis Colts,1,2,1,1,0,28,205.0,218.0,1,0
Cincinnati Bengals,1,4,1,1,0,6,166.0,82.0,0,0
New England Patriots,1,4,1,1,0,13,179.0,162.0,0,0
Denver Broncos,1,4,1,1,0,48,470.0,52.0,0,0
Green Bay Packers,1,5,0,0,0,9,222.0,64.0,0,0
Philadelphia Eagles,1,1,1,3,0,21,330.0,53.0,0,0
Buffalo Bills,1,5,0,0,0,37,199.0,91.0,0,0
Atlanta Falcons,1,4,0,0,0,30,170.0,118.0,0,0
San Diego Chargers,1,4,0,0,0,27,195.0,104.0,0,0
Seattle Seahawks,1,2,2,0,0,34,208.0,109.0,0,0
Tennessee Titans,1,2,1,1,0,26,233.0,120.0,0,0
New Orleans Saints,1,3,1,0,0,18,340.0,94.0,0,0
New York Jets,1,2,1,0,0,28,299.0,64.0,0,0
Jacksonville Jaguars,1,2,0,0,0,34,208.0,143.0,0,0
Chicago Bears,1,2,0,0,0,26,281.0,66.0,0,0
Dallas Cowboys,1,0,1,1,0,51,414.0,103.0,0,0
Houston Texans,1,1,0,0,0,34,107.0,177.0,0,0
New York Giants,1,1,0,0,0,36,299.0,140.0,0,0
Detroit Lions,1,1,0,0,0,22,269.0,180.0,0,0
