,,,,,,,,,,
Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD
Pittsburgh Steelers,1,5,3,1,1,11,312.0,55.0,0,0
Tampa Bay Buccaneers,1,2,1,4,1,21,286.0,104.0,0,0
Denver Broncos,1,3,3,0,1,34,324.0,116.0,0,0
St. Louis Rams,1,1,2,1,1,21,344.0,80.0,0,0
Dallas Cowboys,1,2,1,0,1,21,154.0,202.0,0,0
Arizona Cardinals,1,1,0,1,1,11,159.0,80.0,0,0
Green Bay Packers,1,6,1,0,0,26,215.0,232.0,0,0
Baltimore Ravens,1,3,1,2,0,3,118.0,102.0,0,0
New England Patriots,1,2,3,1,0,31,132.0,280.0,0,0
New Orleans Saints,1,5,1,0,0,13,264.0,91.0,0,0
San Diego Chargers,1,3,1,1,0,38,281.0,114.0,0,0
San Francisco 49ers,1,4,0,1,0,6,90.0,100.0,0,0
New York Giants,1,4,0,1,0,24,220.0,107.0,0,0
New York Jets,1,4,0,1,0,19,245.0,67.0,0,0
Carolina Panthers,1,3,0,1,0,16,280.0,52.0,0,0
Detroit Lions,1,4,0,0,0,24,207.0,22.0,0,0
Houston Texans,1,4,0,0,0,13,215.0,118.0,0,0
Indianapolis Colts,1,3,0,0,0,40,290.0,120.0,0,0
Jacksonville Jaguars,1,2,0,1,0,6,141.0,77.0,0,0
Miami Dolphins,1,2,0,1,0,20,159.0,136.0,0,0
Washington Redskins,1,2,1,0,0,27,228.0,76.0,0,0
Chicago Bears,1,2,0,0,0,42,148.0,258.0,0,0
Minnesota Vikings,1,2,0,0,0,26,298.0,196.0,0,0
Tennessee Titans,1,0,1,1,0,19,260.0,93.0,0,0
Oakland Raiders,1,2,0,0,0,23,312.0,114.0,0,0
Atlanta Falcons,1,1,0,0,0,17,271.0,103.0,0,0
Kansas City Chiefs,1,1,0,0,0,41,387.0,104.0,0,0
Cleveland Browns,1,0,0,0,0,27,217.0,85.0,0,0
