,,,,,,,,,,
Team,G,Sack,FR,INT,DefTD,PA,PaYd/G,RuYd/G,Safety,KickTD
Carolina Panthers,1,9,0,1,1,20,231.0,76.0,0,0
Cincinnati Bengals,1,2,0,3,1,17,175.0,47.0,0,0
Seattle Seahawks,1,2,0,2,1,9,145.0,13.0,0,0
New York Giants,1,3,2,2,0,6,160.0,91.0,0,0
Dallas Cowboys,1,5,1,0,0,24,229.0,137.0,0,0
Indianapolis Colts,1,3,1,1,0,10,308.0,42.0,0,0
Pittsburgh Steelers,1,3,1,1,0,7,214.0,79.0,0,0
Chicago Bears,1,3,0,2,0,33,313.0,160.0,0,0
Minnesota Vikings,1,5,0,0,0,13,182.0,63.0,0,0
Tennessee Titans,1,1,2,2,0,10,223.0,65.0,0,0
Detroit Lions,1,3,1,1,0,14,171.0,174.0,0,0
Baltimore Ravens,1,0,0,4,0,34,281.0,111.0,0,0
Kansas City Chiefs,1,3,0,1,0,27,219.0,186.0,0,0
St. Louis Rams,1,4,0,0,0,27,158.0,111.0,0,0
New England Patriots,1,4,0,0,0,20,224.0,169.0,0,0
Washington Redskins,1,1,1,2,0,20,156.0,122.0,0,0
New York Jets,1,0,0,3,0,7,204.0,92.0,0,0
Green Bay Packers,1,1,1,1,0,28,224.0,121.0,0,0
Oakland Raiders,1,3,0,0,0,34,334.0,124.0,0,0
Atlanta Falcons,1,1,1,1,0,21,149.0,134.0,0,0
Philadelphia Eagles,1,0,1,2,0,22,358.0,59.0,0,0
San Francisco 49ers,1,1,1,1,0,20,399.0,83.0,0,0
Cleveland Browns,1,1,0,2,0,20,172.0,120.0,0,0
New Orleans Saints,1,2,0,1,0,17,215.0,75.0,0,0
Denver Broncos,1,2,1,0,0,14,191.0,64.0,0,0
Arizona Cardinals,1,2,0,0,0,23,292.0,83.0,0,0
Houston Texans,1,1,0,1,0,16,160.0,151.0,0,0
Buffalo Bills,1,1,0,1,0,34,115.0,267.0,0,0
San Diego Chargers,1,2,0,0,0,24,189.0,143.0,0,0
Jacksonville Jaguars,1,1,0,0,0,30,299.0,80.0,0,0
Tampa Bay Buccaneers,1,1,0,0,0,42,370.0,98.0,0,0
Miami Dolphins,1,0,0,0,0,20,220.0,154.0,0,0
