ï»¿Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted
27,465744813,BDholla89 (7/50),0,224.52,QB Drew Brees RB Christine Michael RB Spencer Ware WR Willie Snead WR Brandin Cooks WR Tajae Sharpe TE Greg Olsen FLEX Antonio Brown DST Texans ,,Tajae Sharpe,7.91%
27,467296411,toddyd2732 (6/10),0,224.52,QB Drew Brees RB Theo Riddick RB Spencer Ware WR Kelvin Benjamin WR Brandin Cooks WR Amari Cooper TE Gary Barnidge FLEX Willie Snead DST Texans ,,Delanie Walker,7.84%
29,462566376,ADH6676 (6/30),0,224.42,QB Drew Brees RB Christine Michael RB Spencer Ware WR Jarvis Landry WR Willie Snead WR Brandin Cooks TE Travis Kelce FLEX DeAngelo Williams DST Texans ,,Browns ,7.82%
30,467397491,Ryane5117 (7/12),0,224.32,QB Drew Brees RB Theo Riddick RB Spencer Ware WR Willie Snead WR Brandin Cooks WR Amari Cooper TE Jason Witten FLEX Sammy Watkins DST Packers ,,Jonathan Stewart,7.72%
31,464269013,DBrunoEsq (6/10),0,223.3,QB Andrew Luck RB DeAngelo Williams RB Spencer Ware WR Antonio Brown WR Donte Moncrief WR Tajae Sharpe TE Dwayne Allen FLEX T.J. Yeldon DST Panthers ,,Jared Cook,7.62%
32,464014166,sjkarner (3/4),0,223.2,QB Matthew Stafford RB DeAngelo Williams RB Spencer Ware WR Anquan Boldin WR Antonio Brown WR Amari Cooper TE Dwayne Allen FLEX Chris Hogan DST Vikings ,,Emmanuel Sanders,7.59%
32,464224574,xyoonz (1/5),0,223.2,QB Matthew Stafford RB DeAngelo Williams RB Spencer Ware WR Antonio Brown WR Willie Snead WR Donte Moncrief TE Dwayne Allen FLEX Justin Forsett DST Packers ,,Ben Roethlisberger,7.57%
34,466998692,Hokeyman (1/2),0,223.12,QB Drew Brees RB DeAngelo Williams RB Spencer Ware WR Michael Crabtree WR Antonio Brown WR Tajae Sharpe TE Jason Witten FLEX Mike Wallace DST Seahawks ,,Seahawks ,7.51%
34,466998721,Hokeyman (2/2),0,223.12,QB Drew Brees RB DeAngelo Williams RB Spencer Ware WR Michael Crabtree WR Antonio Brown WR Tajae Sharpe TE Jason Witten FLEX Mike Wallace DST Seahawks ,,Doug Baldwin,7.46%
36,463926850,sullymatk11 (1/3),0,223.1,QB Ben Roethlisberger RB DeMarco Murray RB C.J. Anderson WR Antonio Brown WR Willie Snead WR Stefon Diggs TE Zach Ertz FLEX Spencer Ware DST Steelers ,,Jason Witten,7.11%
37,462560921,The-Vigilantes (29/50),0,223.06,QB Derek Carr RB DeAngelo Williams RB Spencer Ware WR Michael Crabtree WR Brandin Cooks WR Amari Cooper TE Jared Cook FLEX Willie Snead DST Texans ,,Kelvin Benjamin,7.10%
38,466216208,MichasDaddy (3/6),0,222.86,QB Cam Newton RB DeAngelo Williams RB Spencer Ware WR Antonio Brown WR Marvin Jones Jr. WR Kelvin Benjamin TE Dwayne Allen FLEX Willie Snead DST Packers ,,C.J. Anderson,6.75%
38,463743142,cowboyup1974 (4/7),0,222.86,QB Derek Carr RB DeAngelo Williams RB Spencer Ware WR Doug Baldwin WR Mike Evans WR Amari Cooper TE Clive Walford FLEX Willie Snead DST Dolphins ,,Tyler Lockett,6.55%
40,461106199,TexasEagle1 (1/7),0,222.72,QB Drew Brees RB Theo Riddick RB Spencer Ware WR Willie Snead WR Brandin Cooks WR Amari Cooper TE Coby Fleener FLEX Michael Crabtree DST Texans ,,Odell Beckham Jr.,6.35%
41,465477747,zeebra1000 (6/50),0,222.5,QB Andrew Luck RB Lamar Miller RB Spencer Ware WR Jeremy Maclin WR Willie Snead WR Donte Moncrief TE Kyle Rudolph FLEX DeAngelo Williams DST Bills ,,Ted Ginn Jr.,6.33%
42,466488795,wildcatfam (2/5),0,222.22,QB Drew Brees RB DeAngelo Williams RB Spencer Ware WR Jermaine Kearse WR Willie Snead WR Brandin Cooks TE Jordan Reed FLEX Christine Michael DST Panthers ,,Chiefs ,6.30%
43,463094504,pstew29 (1/5),0,221.7,QB Blake Bortles RB DeAngelo Williams RB Theo Riddick WR Michael Crabtree WR Antonio Brown WR Willie Snead TE Martellus Bennett FLEX Spencer Ware DST Panthers ,,Eagles ,6.27%
43,463594140,pstew29 (3/5),0,221.7,QB Blake Bortles RB DeAngelo Williams RB Theo Riddick WR Michael Crabtree WR Antonio Brown WR Willie Snead TE Martellus Bennett FLEX Spencer Ware DST Panthers ,,Travis Kelce,6.15%
45,464154272,jregan418 (2/2),0,221.52,QB Drew Brees RB DeAngelo Williams RB Spencer Ware WR Mike Wallace WR Kelvin Benjamin WR Brandin Cooks TE Jason Witten FLEX Rashad Jennings DST Eagles ,,Ryan Mathews,6.13%
46,467358013,Vonironc0ck (2/3),0,221.12,QB Drew Brees RB Lamar Miller RB Spencer Ware WR Willie Snead WR Brandin Cooks WR Amari Cooper TE Julius Thomas FLEX James White DST Texans ,,Martellus Bennett,6.13%
47,462566386,ADH6676 (16/30),0,220.82,QB Drew Brees RB Christine Michael RB Spencer Ware WR Jarvis Landry WR Willie Snead WR Brandin Cooks TE Zach Ertz FLEX DeAngelo Williams DST Cardinals ,,Rams ,6.08%
48,466627253,Paulgene49 (1/9),0,220.76,QB Kirk Cousins RB DeAngelo Williams RB Spencer Ware WR Larry Fitzgerald WR Doug Baldwin WR Willie Snead TE Jason Witten FLEX Michael Crabtree DST Seahawks ,,DeMarco Murray,6.07%
49,463690064,Rat-a-tat-tat (2/2),0,220.5,QB Andrew Luck RB DeAngelo Williams RB Matt Forte WR Willie Snead WR Donte Moncrief WR Will Fuller TE Travis Kelce FLEX DeMarco Murray DST Panthers ,,Coby Fleener,5.92%
50,467256995,paularo75 (1/4),0,220.46,QB Kirk Cousins RB DeAngelo Williams RB Spencer Ware WR Antonio Brown WR Tajae Sharpe WR Will Fuller TE Jordan Reed FLEX Willie Snead DST Texans ,,Packers ,5.85%
51,461733500,Strutter78,0,220.1,QB Ben Roethlisberger RB DeAngelo Williams RB Spencer Ware WR Antonio Brown WR Willie Snead WR Donte Moncrief TE Jesse James FLEX Chris Hogan DST Texans ,,John Brown,5.74%
52,462462065,LMP82 (7/34),0,220.02,QB Drew Brees RB Jonathan Stewart RB Spencer Ware WR Michael Crabtree WR Brandin Cooks WR Amari Cooper TE Dwayne Allen FLEX Willie Snead DST Seahawks ,,Tavon Austin,5.74%
52,463191458,jlanum89 (21/50),38.27,220.02,QB Drew Brees RB Ryan Mathews RB Spencer Ware WR Michael Crabtree WR Jordan Matthews WR Brandin Cooks TE Dwayne Allen FLEX Willie Snead DST Rams ,,Adrian Peterson,5.69%
