,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Aaron Rodgers,GB,1,24,35,333,5,0,2,16,0
Andy Dalton,CIN,1,20,32,383,3,1,5,10,1
Cam Newton,CAR,1,20,31,315,2,0,7,33,1
Tyrod Taylor,BUF,1,21,29,277,3,0,3,12,0
Marcus Mariota,TEN,1,27,44,367,2,2,0,0,0
Tom Brady,NE,1,33,42,358,2,0,2,4,0
Joe Flacco,BAL,1,32,49,362,2,1,0,0,0
Josh McCown,CLE,1,28,49,341,2,1,0,0,0
Peyton Manning,DEN,1,31,42,324,2,1,1,-1,0
Matt Ryan,ATL,1,24,36,285,2,0,2,17,0
Carson Palmer,ARI,1,20,32,311,2,1,1,1,0
Derek Carr,OAK,1,20,32,314,2,0,1,-1,0
Ryan Fitzpatrick,NYJ,1,35,58,283,2,3,4,13,0
Andrew Luck,IND,1,18,30,260,2,2,6,21,0
Ryan Tannehill,MIA,1,26,49,297,2,3,1,-1,0
Eli Manning,NYG,1,23,32,279,2,0,0,0,0
Alex Smith,KC,1,24,40,290,1,1,6,33,0
Blake Bortles,JAC,1,17,33,242,2,1,3,7,0
Kirk Cousins,WAS,1,30,49,316,1,2,0,0,0
Russell Wilson,SEA,1,20,30,235,1,0,6,28,0
Matthew Stafford,DET,1,31,45,282,1,2,1,-1,0
Jameis Winston,TB,1,17,36,261,1,1,0,0,0
Philip Rivers,SD,1,21,34,246,1,1,0,0,0
Luke McCown,NO,1,31,38,310,0,1,0,0,0
Ryan Mallett,HOU,1,24,39,228,1,1,1,-1,0
Colin Kaepernick,SF,1,9,19,67,0,4,7,46,1
Brandon Weeden,DAL,1,22,26,232,0,1,0,0,0
Nick Foles,STL,1,19,28,197,0,1,1,10,0
Sam Bradford,PHI,1,14,28,118,1,0,3,-2,0
Ben Roethlisberger,PIT,1,20,24,192,0,1,0,0,0
Kellen Clemens,SD,1,5,6,63,1,0,0,0,0
Teddy Bridgewater,MIN,1,13,24,121,0,1,1,-1,0
Jimmy Clausen,CHI,1,9,17,63,0,0,3,13,0
Michael Vick,PIT,1,5,6,38,0,0,2,-2,0
Jimmy Garoppolo,NE,1,0,0,0,0,0,2,-2,0
EJ Manuel,BUF,1,0,0,0,0,0,1,-2,0
Drew Stanton,ARI,1,0,0,0,0,0,3,-3,0
