,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Antonio Gates,SD,1,11,9,92,2
Tyler Eifert,CIN,1,12,8,90,2
Gary Barnidge,CLE,1,10,8,139,1
Brent Celek,PHI,1,3,3,44,1
Ben Watson,NO,1,5,3,36,1
Larry Donnell,NYG,1,7,6,35,1
Jacob Tamme,ATL,1,10,8,94,0
Derek Carrier,WAS,1,3,2,27,1
Garrett Celek,SF,1,5,3,26,1
Darren Fells,ARI,1,2,2,25,1
Rob Gronkowski,NE,1,5,4,67,0
Zach Ertz,PHI,1,7,5,60,0
Ladarius Green,SD,1,5,5,50,0
Will Tye,NYG,1,4,4,48,0
Heath Miller,PIT,1,3,3,46,0
Richard Rodgers,GB,1,8,6,45,0
Delanie Walker,TEN,1,6,4,36,0
Travis Kelce,KC,1,6,3,35,0
Brandon Myers,TB,1,2,2,34,0
Mychal Rivera,OAK,1,3,3,33,0
Clive Walford,OAK,1,1,1,33,0
Jason Witten,DAL,1,6,5,33,0
Martellus Bennett,CHI,1,11,4,32,0
Jimmy Graham,SEA,1,5,3,30,0
Brandon Pettigrew,DET,1,5,3,29,0
Nick Boyle,BAL,1,3,3,27,0
Dwayne Allen,IND,1,1,1,21,0
Julius Thomas,JAC,1,2,2,20,0
Luke Willson,SEA,1,3,2,17,0
Lance Kendricks,STL,1,3,2,16,0
Tim Wright,DET,1,5,3,12,0
Coby Fleener,IND,1,3,2,9,0
Vance McDonald,SF,1,3,2,9,0
Jared Cook,STL,1,6,1,8,0
Garrett Graham,HOU,1,1,1,8,0
Charles Clay,BUF,1,3,1,7,0
Jim Dray,CLE,1,1,1,7,0
Blake Bell,SF,1,1,1,6,0
Robert Housler,CLE,1,1,1,6,0
C.J. Fiedorowicz,HOU,1,1,1,4,0
Michael Hoomanawanui,NO,1,2,2,4,0
Craig Stevens,TEN,1,2,1,1,0
Darren Waller,BAL,1,2,1,1,0
Owen Daniels,DEN,1,5,0,0,0
Jack Doyle,IND,1,2,1,0,0
Gavin Escobar,DAL,1,2,0,0,0
Anthony Fasano,TEN,1,1,0,0,0
Jermaine Gresham,ARI,1,1,0,0,0
Josh Hill,NO,1,1,0,0,0
Khari Lee,CHI,1,1,0,0,0
Marcedes Lewis,JAC,1,4,0,0,0
Zach Miller,CHI,1,1,0,0,0
Matt Spaeth,PIT,1,1,0,0,0
Maxx Williams,BAL,1,1,1,0,0
