,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Philip Rivers,SD,1,23,38,358,3,0,1,-1,0
Sam Bradford,PHI,1,15,28,270,3,0,1,14,0
Drew Brees,NO,1,33,41,359,2,0,0,0,0
Josh McCown,CLE,1,32,41,356,2,0,0,0,0
Kirk Cousins,WAS,1,31,46,290,1,0,1,1,1
Jameis Winston,TB,1,26,43,287,2,4,4,12,0
Eli Manning,NYG,1,20,35,212,3,1,3,-2,0
Russell Wilson,SEA,1,20,26,287,1,0,10,40,0
Jay Cutler,CHI,1,28,43,281,2,1,1,0,0
Blake Bortles,JAC,1,28,50,298,1,0,4,31,0
Alex Smith,KC,1,31,45,386,0,0,5,25,0
Andy Dalton,CIN,1,17,24,321,1,0,3,16,0
Carson Palmer,ARI,1,29,46,352,1,1,1,-1,0
Nick Foles,STL,1,16,24,171,3,0,1,-1,0
Teddy Bridgewater,MIN,1,27,41,269,1,0,3,23,0
Brian Hoyer,HOU,1,17,30,232,2,0,0,0,0
Cam Newton,CAR,1,11,22,124,2,0,12,51,0
Tyrod Taylor,BUF,1,28,42,274,1,1,6,15,0
Aaron Rodgers,GB,1,22,32,224,1,0,3,33,0
Ryan Fitzpatrick,NYJ,1,16,29,218,1,1,9,34,0
Ryan Tannehill,MIA,1,19,44,198,2,2,1,4,0
Matt Hasselbeck,IND,1,30,47,282,1,0,3,1,0
Derek Carr,OAK,1,20,33,196,2,1,0,0,0
Brandon Weeden,DAL,1,16,26,246,1,0,3,5,0
Matt Ryan,ATL,1,19,27,256,1,0,1,-1,0
Peyton Manning,DEN,1,17,27,213,1,2,2,-2,0
Colin Kaepernick,SF,1,13,25,160,0,1,10,57,0
Michael Vick,PIT,1,19,26,124,1,0,9,33,0
Joe Flacco,BAL,1,20,33,189,1,1,3,0,0
Matthew Stafford,DET,1,24,35,203,0,0,0,0,0
Ryan Mallett,HOU,1,12,27,150,0,1,0,0,0
B.J. Daniels,SEA,1,0,0,0,0,0,0,0,0
Sean Renfree,ATL,1,0,0,0,0,0,1,-4,0
