,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Antonio Gates,SD,1,7,7,96,3
Jimmy Graham,NO,1,13,10,118,2
Delanie Walker,TEN,1,14,10,142,1
Niles Paul,WAS,1,11,8,99,1
Owen Daniels,BAL,1,5,5,28,2
Marcedes Lewis,JAC,1,3,2,71,1
Julius Thomas,DEN,1,5,4,39,1
Martellus Bennett,CHI,1,8,7,37,1
Zach Ertz,PHI,1,6,4,86,0
Larry Donnell,NYG,1,9,7,81,0
Travis Kelce,KC,1,6,4,81,0
Jack Doyle,IND,1,2,2,12,1
Greg Olsen,CAR,1,8,6,72,0
Jacob Tamme,DEN,1,1,1,4,1
Daniel Fells,NYG,1,1,1,1,1
Kyle Rudolph,MIN,1,8,5,53,0
Jared Cook,STL,1,4,4,46,0
John Carlson,ARI,1,3,2,43,0
Gary Barnidge,CLE,1,4,4,41,0
Derek Carrier,SF,1,4,3,41,0
Vernon Davis,SF,1,3,3,39,0
Anthony Fasano,KC,1,4,3,39,0
Eric Ebron,DET,1,5,3,38,0
Heath Miller,PIT,1,7,4,35,0
Brandon Myers,TB,1,2,2,33,0
Rob Gronkowski,NE,1,6,4,32,0
Jason Witten,DAL,1,7,4,32,0
Charles Clay,MIA,1,8,7,31,0
Mychal Rivera,OAK,1,7,5,31,0
Dennis Pitta,BAL,1,4,3,30,0
Scott Chandler,BUF,1,2,2,27,0
Garrett Graham,HOU,1,1,1,26,0
Jermaine Gresham,CIN,1,3,3,25,0
Lance Kendricks,STL,1,4,3,25,0
Rhett Ellison,MIN,1,1,1,24,0
Zach Miller,SEA,1,1,1,22,0
Joseph Fauria,DET,1,1,1,20,0
Troy Niklas,ARI,1,1,1,16,0
Jeff Cumberland,NYJ,1,2,1,14,0
Chris Gragg,BUF,1,2,1,14,0
Coby Fleener,IND,1,1,1,13,0
Levine Toilolo,ATL,1,3,2,13,0
Demetrius Harris,KC,1,1,1,10,0
Vance McDonald,SF,1,2,1,9,0
Dante Rosario,CHI,1,1,1,9,0
Cory Harkey,STL,1,2,2,8,0
Andrew Quarless,GB,1,2,1,8,0
Jace Amaro,NYJ,1,1,1,6,0
Michael Hoomanawanui,NE,1,1,1,6,0
Jim Dray,CLE,1,2,1,5,0
Gavin Escobar,DAL,1,1,1,5,0
Ben Watson,NO,1,2,1,4,0
Dwayne Allen,IND,1,1,0,0,0
Brent Celek,PHI,1,1,0,0,0
Ed Dickson,CAR,1,1,0,0,0
Brandon Pettigrew,DET,1,1,0,0,0
Richard Rodgers,GB,1,1,0,0,0
Mickey Shuler,JAC,1,1,0,0,0
Dion Sims,MIA,1,2,0,0,0
Zach Sudfeld,NYJ,1,1,0,0,0
Taylor Thompson,TEN,1,1,0,0,0
Tim Wright,NE,1,1,0,0,0
Josh Hill,NO,1,2,1,-1,0
