,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Ryan Fitzpatrick,TEN,1,36,58,402,4,2,3,22,0
Nick Foles,PHI,1,30,48,428,3,1,5,41,0
Alex Smith,KC,1,17,20,287,5,0,4,17,0
Matt Cassel,MIN,1,26,35,382,2,1,3,19,1
Kirk Cousins,WAS,1,29,45,381,3,2,0,0,0
Matt Flynn,GB,1,26,39,299,4,1,3,-3,0
Drew Brees,NO,1,39,56,393,1,2,2,8,1
Ryan Tannehill,MIA,1,25,37,312,3,0,1,-1,0
EJ Manuel,BUF,1,17,24,193,2,1,10,37,1
Jay Cutler,CHI,1,22,31,265,3,2,3,11,0
Tom Brady,NE,1,34,55,364,2,1,0,0,0
Tony Romo,DAL,1,29,48,358,2,2,0,0,0
Matt McGloin,OAK,1,18,36,297,2,4,1,0,0
Peyton Manning,DEN,1,27,41,289,2,1,0,0,0
Chad Henne,JAC,1,21,36,237,2,2,4,22,0
Colin Kaepernick,SF,1,19,29,203,2,0,7,39,0
Andy Dalton,CIN,1,25,44,230,2,0,4,20,0
Andrew Luck,IND,1,19,32,180,2,1,5,29,0
Jason Campbell,CLE,1,23,39,273,1,2,1,17,0
Russell Wilson,SEA,1,18,27,206,1,1,8,50,0
Cam Newton,CAR,1,16,24,273,1,0,7,12,0
Philip Rivers,SD,1,12,20,166,2,0,3,9,0
Mike Glennon,TB,1,18,34,179,2,1,0,0,0
Geno Smith,NYJ,1,15,28,167,1,1,6,44,0
Matthew Stafford,DET,1,18,34,235,1,3,2,9,0
Kellen Clemens,STL,1,14,20,158,2,0,3,5,0
Carson Palmer,ARI,1,20,30,231,1,0,2,-1,0
Matt Ryan,ATL,1,29,38,210,1,1,1,-1,0
Ben Roethlisberger,PIT,1,20,25,191,1,1,0,0,0
Joe Flacco,BAL,1,20,38,222,0,0,2,13,0
Case Keenum,HOU,1,18,34,168,0,2,1,2,0
Eli Manning,NYG,1,18,31,156,0,5,0,0,0
Curtis Painter,NYG,1,4,4,30,0,0,0,0,0
Chase Daniel,KC,1,3,5,31,0,0,1,-1,0
Tarvaris Jackson,SEA,1,2,2,16,0,0,0,0,0
