,,,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Att,Yard,TD,Target,Rec,Yard,TD
Thomas Rawls,SEA,1,30,209,1,3,3,46,1
Doug Martin,TB,1,27,235,0,1,0,0,0
Spencer Ware,KC,1,11,96,2,1,1,5,0
LeSean McCoy,BUF,1,20,82,1,10,6,41,0
Jonathan Stewart,CAR,1,21,102,0,1,1,12,1
Ahmad Bradshaw,IND,1,9,32,0,4,4,20,2
James White,NE,1,2,14,1,3,2,32,1
Jeremy Hill,CIN,1,13,45,2,0,0,0,0
Alfred Blue,HOU,1,21,58,0,3,3,34,1
Darren McFadden,DAL,1,29,129,0,3,3,20,0
Giovani Bernard,CIN,1,6,18,0,10,8,128,0
Patrick DiMarco,ATL,1,0,0,0,4,3,21,2
Charles Sims,TB,1,10,43,0,4,3,26,1
Todd Gurley,STL,1,25,66,1,0,0,0,0
Adrian Peterson,MIN,1,13,45,1,2,2,16,0
Darren Sproles,PHI,1,6,21,0,7,3,38,1
Javorius Allen,BAL,1,22,67,0,6,5,48,0
Eddie Lacy,GB,1,22,100,0,2,1,6,0
Ronnie Hillman,DEN,1,21,102,0,1,1,2,0
Jeremy Langford,CHI,1,13,25,1,6,3,17,0
Antonio Andrews,TEN,1,15,78,0,2,2,16,0
DeMarco Murray,PHI,1,13,64,0,5,4,27,0
Bilal Powell,NYJ,1,4,22,0,7,5,67,0
Latavius Murray,OAK,1,13,28,1,0,0,0,0
David Johnson,ARI,1,2,9,0,2,2,17,1
Theo Riddick,DET,1,6,14,0,6,5,72,0
T.J. Yeldon,JAC,1,14,54,0,4,3,28,0
Frank Gore,IND,1,14,34,0,5,5,46,0
Shaun Draughn,SF,1,12,37,0,11,8,40,0
C.J. Anderson,DEN,1,12,59,0,2,2,13,0
Mike Tolbert,CAR,1,7,5,0,2,2,5,1
Jonathan Grimes,HOU,1,6,37,0,3,3,28,0
Chris Johnson,ARI,1,18,63,0,2,1,2,0
Charcandrick West,KC,1,11,16,0,2,2,48,0
LeGarrette Blount,NE,1,16,56,0,2,1,5,0
Lamar Miller,MIA,1,7,44,0,3,2,11,0
Melvin Gordon,SD,1,15,37,0,1,1,12,0
Tevin Coleman,ATL,1,17,48,0,2,0,0,0
Ameer Abdullah,DET,1,12,44,0,2,1,2,0
Chris Ivory,NYJ,1,8,36,0,1,1,9,0
James Starks,GB,1,8,14,0,1,1,30,0
Devonta Freeman,ATL,1,3,43,0,0,0,0,0
Joique Bell,DET,1,6,22,0,1,1,18,0
Robert Turbin,DAL,1,7,35,0,2,1,3,0
Kenjon Barner,PHI,1,7,37,0,1,0,0,0
Jay Ajayi,MIA,1,4,13,0,2,2,23,0
Ka'Deem Carey,CHI,1,9,32,0,0,0,0,0
Jamize Olawale,OAK,1,4,12,0,1,1,15,0
Denard Robinson,JAC,1,7,27,0,0,0,0,0
Justin Forsett,BAL,1,4,26,0,0,0,0,0
Fred Jackson,SEA,1,4,11,0,2,2,11,0
Benny Cunningham,STL,1,1,0,0,2,1,20,0
Dexter McCluster,TEN,1,2,0,0,2,2,18,0
Terron Ward,ATL,1,2,2,0,4,3,16,0
Chris Thompson,WAS,1,4,10,0,4,3,7,0
Danny Woodhead,SD,1,6,7,0,2,1,9,0
Brandon Bolden,NE,1,4,15,0,1,0,0,0
Jerick McKinnon,MIN,1,0,0,0,3,2,15,0
Kyle Juszczyk,BAL,1,2,3,0,5,3,10,0
Matt Jones,WAS,1,5,0,0,2,2,12,0
Karlos Williams,BUF,1,6,11,0,0,0,0,0
Matt Asiata,MIN,1,0,0,0,1,1,9,0
Fozzy Whittaker,CAR,1,2,6,0,1,1,2,0
Rex Burkhead,CIN,1,0,0,0,1,1,7,0
Andre Ellington,ARI,1,2,2,0,2,1,5,0
Zach Line,MIN,1,0,0,0,1,1,7,0
De'Anthony Thomas,KC,1,1,7,0,0,0,0,0
Bobby Rainey,TB,1,1,5,0,0,0,0,0
Akeem Hunt,HOU,1,2,4,0,1,0,0,0
John Kuhn,GB,1,1,4,0,0,0,0,0
Jay Prosch,HOU,1,1,3,0,0,0,0,0
Jalston Fowler,TEN,1,0,0,0,1,1,2,0
Marcel Reece,OAK,1,2,2,0,1,0,0,0
Alfred Morris,WAS,1,2,0,0,0,0,0,0
David Cobb,TEN,1,4,-3,0,0,0,0,0
Stevan Ridley,NYJ,1,4,0,0,1,1,-5,0
