,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Jordan Reed,WAS,1,7,7,84,2
Delanie Walker,TEN,1,5,2,64,2
Greg Olsen,CAR,1,8,6,79,1
Zach Ertz,PHI,1,13,8,78,1
Rob Gronkowski,NE,1,11,5,54,1
Ben Watson,NO,1,12,6,49,1
Will Tye,NYG,1,8,5,43,1
Tyler Kroft,CIN,1,3,3,31,1
Gary Barnidge,CLE,1,4,3,29,1
Austin Seferian-Jenkins,TB,1,6,3,29,1
Antonio Gates,SD,1,9,6,88,0
Luke Stocker,TB,1,3,3,25,1
Eric Ebron,DET,1,5,4,79,0
Julius Thomas,JAC,1,9,6,79,0
Travis Kelce,KC,1,7,6,73,0
Jared Cook,STL,1,6,4,64,0
Zach Miller,CHI,1,6,6,57,0
Darren Fells,ARI,1,3,3,54,0
Jason Witten,DAL,1,5,5,49,0
Blake Bell,SF,1,8,4,43,0
Nick O'Leary,BUF,1,1,1,37,0
Brent Celek,PHI,1,2,2,31,0
Maxx Williams,BAL,1,6,5,31,0
Ryan Griffin,HOU,1,2,2,30,0
Lance Kendricks,STL,1,3,3,27,0
Marcedes Lewis,JAC,1,3,1,26,0
Anthony Fasano,TEN,1,4,3,21,0
Kyle Rudolph,MIN,1,2,2,21,0
Cameron Brate,TB,1,5,3,20,0
Mychal Rivera,OAK,1,6,3,20,0
James Hanna,DAL,1,1,1,17,0
Luke Willson,SEA,1,2,2,17,0
Chris Gragg,BUF,1,1,1,16,0
Owen Daniels,DEN,1,5,2,14,0
Ladarius Green,SD,1,3,2,13,0
Coby Fleener,IND,1,3,1,12,0
Heath Miller,PIT,1,5,3,12,0
Vance McDonald,SF,1,4,1,10,0
Clive Walford,OAK,1,7,2,10,0
Kellen Davis,NYJ,1,2,1,9,0
Ryan Hewitt,CIN,1,2,1,9,0
Robert Housler,CHI,1,1,1,9,0
Dion Sims,MIA,1,1,1,9,0
Jerome Cunningham,NYG,1,3,1,7,0
Richard Rodgers,GB,1,4,1,7,0
Michael Williams,NE,1,1,1,7,0
Dwayne Allen,IND,1,2,1,5,0
Jordan Cameron,MIA,1,1,1,5,0
Vernon Davis,DEN,1,3,1,5,0
Cooper Helfet,SEA,1,2,1,5,0
Justin Perillo,GB,1,1,1,5,0
Craig Stevens,TEN,1,1,1,5,0
Jim Dray,CLE,1,3,0,0,0
C.J. Fiedorowicz,HOU,1,3,0,0,0
Michael Hoomanawanui,NO,1,0,0,0,0
Tony Moeaki,ATL,1,1,0,0,0
Jacob Tamme,ATL,1,1,0,0,0
Levine Toilolo,ATL,1,1,0,0,0
Tim Wright,DET,1,1,0,0,0
