,,,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Att,Yard,TD,Target,Rec,Yard,TD
Darren Sproles,NO,1,4,28,1,8,7,114,1
Adrian Peterson,MIN,1,23,140,2,1,0,0,0
Reggie Bush,DET,1,18,139,1,6,4,34,0
Arian Foster,HOU,1,27,102,0,8,6,69,1
Frank Gore,SF,1,20,153,1,2,0,0,0
Danny Woodhead,SD,1,5,32,0,7,5,54,2
Le'Veon Bell,PIT,1,16,57,2,5,4,27,0
Marshawn Lynch,SEA,1,17,98,1,3,3,45,0
Jamaal Charles,KC,1,18,65,0,11,5,62,1
Matt Forte,CHI,1,14,95,1,6,5,22,0
Knowshon Moreno,DEN,1,12,78,1,1,1,13,0
Fred Jackson,BUF,1,16,87,1,0,0,0,0
Roy Helu,WAS,1,13,41,1,3,2,43,0
Lamar Miller,MIA,1,11,62,1,3,1,6,0
Trent Richardson,IND,1,20,60,1,1,1,6,0
LeGarrette Blount,NE,1,9,64,1,0,0,0,0
Kendall Hunter,SF,1,11,49,1,1,1,9,0
Rashad Jennings,OAK,1,15,45,0,8,8,71,0
Chris Polk,PHI,1,3,33,1,2,2,19,0
Chris Ogbonnaya,CLE,1,5,27,0,5,5,21,1
Bilal Powell,NYJ,1,14,66,0,5,3,42,0
Ryan Mathews,SD,1,19,62,0,4,4,41,0
LeSean McCoy,PHI,1,16,73,0,3,1,21,0
DeMarco Murray,DAL,1,14,70,0,5,5,20,0
Jacquizz Rodgers,ATL,1,7,32,0,6,6,56,0
Stevan Ridley,NE,1,11,53,0,2,2,26,0
C.J. Spiller,BUF,1,23,77,0,0,0,0,0
Donald Brown,IND,1,3,65,0,2,2,11,0
Giovani Bernard,CIN,1,10,37,0,7,6,38,0
Alfred Morris,WAS,1,16,71,0,0,0,0,0
Anthony Dixon,SF,1,3,6,1,0,0,0,0
David Wilson,NYG,1,13,55,0,3,2,8,0
Doug Martin,TB,1,27,45,0,4,3,16,0
Bryce Brown,PHI,1,8,19,0,3,2,41,0
Ronnie Hillman,DEN,1,11,36,0,3,2,21,0
Andre Ellington,ARI,1,4,29,0,6,3,22,0
Dexter McCluster,KC,1,0,0,0,5,5,48,0
Willis McGahee,CLE,1,15,46,0,0,0,0,0
Ben Tate,HOU,1,7,44,0,1,1,1,0
Jackie Battle,TEN,1,11,42,0,0,0,0,0
Joique Bell,DET,1,7,12,0,4,4,30,0
Pierre Thomas,NO,1,4,1,0,6,5,37,0
Khiry Robinson,NO,1,12,37,0,0,0,0,0
Tommy Bohanon,NYJ,1,4,17,0,3,3,17,0
Rashard Mendenhall,ARI,1,12,21,0,4,3,13,0
Jason Snelling,ATL,1,8,26,0,3,1,8,0
Chris Johnson,TEN,1,15,21,0,2,2,10,0
Darren McFadden,OAK,1,5,29,0,0,0,0,0
Bobby Rainey,CLE,1,6,9,0,2,2,20,0
Maurice Jones-Drew,JAC,1,13,23,0,1,1,5,0
Da'Rel Scott,NYG,1,5,26,0,2,1,0,0
Montee Ball,DEN,1,8,24,0,0,0,0,0
Daryl Richardson,STL,1,12,16,0,2,1,8,0
Benny Cunningham,STL,1,4,6,0,1,1,17,0
Bruce Miller,SF,1,0,0,0,3,3,22,0
Erik Lorig,TB,1,0,0,0,2,1,20,0
Taiwan Jones,OAK,1,1,19,0,0,0,0,0
Ray Rice,BAL,1,5,17,0,1,0,0,0
Justin Forsett,JAC,1,1,3,0,2,2,10,0
BenJarvus Green-Ellis,CIN,1,6,13,0,0,0,0,0
Brandon Bolden,NE,1,6,17,0,1,1,-5,0
Tashard Choice,BUF,1,3,11,0,0,0,0,0
Brian Leonard,TB,1,0,0,0,2,2,11,0
Le'Ron McClain,SD,1,2,11,0,0,0,0,0
Brandon Jacobs,NYG,1,1,5,0,1,1,5,0
Bernard Pierce,BAL,1,4,7,0,1,1,2,0
Ronnie Brown,SD,1,1,7,0,0,0,0,0
Lance Dunbar,DAL,1,1,7,0,0,0,0,0
Jonathan Dwyer,PIT,1,2,7,0,0,0,0,0
Toby Gerhart,MIN,1,0,0,0,1,1,7,0
Felix Jones,PIT,1,2,3,0,1,1,4,0
Jed Collins,NO,1,0,0,0,1,1,6,0
Anthony Sherman,KC,1,0,0,0,1,1,6,0
Daniel Thomas,MIA,1,4,5,0,1,1,1,0
Jordan Todman,JAC,1,2,4,0,0,0,0,0
Robert Turbin,SEA,1,3,4,0,0,0,0,0
Darrel Young,WAS,1,0,0,0,2,1,4,0
Knile Davis,KC,1,1,2,0,0,0,0,0
Alex Green,NYJ,1,2,1,0,1,1,1,0
Mike James,TB,1,0,0,0,1,1,2,0
Vonta Leach,BAL,1,0,0,0,2,1,2,0
Stanley Havili,IND,1,3,0,0,2,2,1,0
Greg Jones,HOU,1,0,0,0,1,1,1,0
LaMichael James,SF,1,3,0,0,0,0,0,0
Theo Riddick,DET,1,0,0,0,1,0,0,0
Denard Robinson,JAC,1,0,0,0,1,0,0,0
Alfonso Smith,ARI,1,0,0,0,1,0,0,0
Marcel Reece,OAK,1,0,0,0,2,1,-2,0
