,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Julius Thomas,JAC,1,10,9,116,1
Antonio Gates,SD,1,6,4,53,2
Rob Gronkowski,NE,1,10,6,88,1
Ryan Griffin,HOU,1,5,4,72,1
Vance McDonald,SF,1,7,6,71,1
Travis Kelce,KC,1,7,4,69,1
Scott Chandler,NE,1,11,5,58,1
Cameron Brate,TB,1,6,5,53,1
Tyler Eifert,CIN,1,4,3,40,1
Jordan Reed,WAS,1,9,8,98,0
Gary Barnidge,CLE,1,11,7,91,0
Delanie Walker,TEN,1,8,6,91,0
Craig Stevens,TEN,1,2,1,20,1
Jimmy Graham,SEA,1,8,4,75,0
Will Tye,NYG,1,8,6,74,0
Brent Celek,PHI,1,4,2,10,1
Zach Miller,CHI,1,7,2,10,1
Greg Olsen,CAR,1,9,5,70,0
Jacob Tamme,ATL,1,6,5,69,0
Blake Bell,SF,1,3,3,67,0
Jared Cook,STL,1,6,4,58,0
Kyle Rudolph,MIN,1,10,7,53,0
Ben Watson,NO,1,9,4,53,0
Trey Burton,PHI,1,2,2,49,0
Owen Daniels,DEN,1,6,5,48,0
Heath Miller,PIT,1,6,5,45,0
Jason Witten,DAL,1,6,4,36,0
Charles Clay,BUF,1,8,5,31,0
Richard Rodgers,GB,1,7,4,30,0
Ryan Hewitt,CIN,1,2,2,29,0
Eric Ebron,DET,1,3,2,28,0
Mychal Rivera,OAK,1,2,2,28,0
Coby Fleener,IND,1,3,3,27,0
Marcedes Lewis,JAC,1,2,1,24,0
Rhett Ellison,MIN,1,2,1,23,0
Anthony Fasano,TEN,1,2,2,22,0
Brandon Pettigrew,DET,1,2,1,21,0
C.J. Fiedorowicz,HOU,1,2,2,20,0
Crockett Gillmore,BAL,1,4,3,20,0
Dwayne Allen,IND,1,4,2,19,0
Ladarius Green,SD,1,1,1,19,0
Lance Kendricks,STL,1,4,3,17,0
Clive Walford,OAK,1,2,1,14,0
Jordan Cameron,MIA,1,3,2,13,0
Clay Harbor,JAC,1,2,1,12,0
Luke Willson,SEA,1,1,1,12,0
Nick Boyle,BAL,1,3,1,10,0
Vernon Davis,DEN,1,2,2,10,0
Jermaine Gresham,ARI,1,3,1,9,0
Justin Perillo,GB,1,2,2,9,0
Jesse James,PIT,1,2,1,8,0
Khari Lee,CHI,1,1,1,7,0
Derek Carrier,WAS,1,1,1,6,0
Matt Spaeth,PIT,1,1,1,6,0
Jack Doyle,IND,1,1,1,5,0
Tyler Kroft,CIN,1,1,1,4,0
Jerome Cunningham,NYG,1,4,1,2,0
Cory Harkey,STL,1,1,1,2,0
Lee Smith,OAK,1,1,1,2,0
Asante Cleveland,NE,1,1,1,1,0
Malcolm Johnson,CLE,1,1,1,1,0
E.J. Bibbs,CLE,1,1,0,0,0
Kellen Davis,NYJ,1,0,0,0,0
Ed Dickson,CAR,1,1,0,0,0
Jim Dray,CLE,1,1,0,0,0
Josh Hill,NO,1,1,0,0,0
Michael Hoomanawanui,NO,1,1,0,0,0
Luke Stocker,TB,1,1,0,0,0
Dion Sims,MIA,1,1,1,-1,0
Gavin Escobar,DAL,1,1,1,-2,0
