,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Ryan Fitzpatrick,HOU,1,24,33,358,6,0,2,10,0
Andrew Luck,IND,1,19,27,370,5,1,4,20,0
Philip Rivers,SD,1,34,45,383,3,1,4,19,0
Drew Brees,NO,1,19,27,257,5,0,0,0,0
Colt McCoy,WAS,1,31,47,392,3,0,3,12,0
Ben Roethlisberger,PIT,1,32,58,435,2,2,1,8,0
Aaron Rodgers,GB,1,24,38,368,2,0,5,22,0
Matthew Stafford,DET,1,34,45,390,2,0,0,0,0
Matt Ryan,ATL,1,30,41,361,2,1,3,4,0
Joe Flacco,BAL,1,19,31,225,2,0,2,3,1
Mark Sanchez,PHI,1,20,29,217,1,0,7,28,1
Shaun Hill,STL,1,13,22,183,2,0,2,1,1
Jay Cutler,CHI,1,31,48,280,2,2,1,-1,0
Blake Bortles,JAC,1,21,35,194,1,0,5,68,0
Tom Brady,NE,1,22,35,245,2,0,1,-1,0
Andy Dalton,CIN,1,19,27,176,1,3,3,7,1
Drew Stanton,ARI,1,24,39,294,1,2,1,7,0
Russell Wilson,SEA,1,15,22,236,1,0,7,35,0
Cam Newton,CAR,1,18,35,194,1,1,9,49,0
Eli Manning,NYG,1,24,34,247,1,0,0,0,0
Peyton Manning,DEN,1,17,34,179,2,0,2,-6,0
Alex Smith,KC,1,15,23,153,2,1,5,6,0
Teddy Bridgewater,MIN,1,15,21,138,2,0,2,12,0
Zach Mettenberger,TEN,1,13,19,184,1,1,1,8,0
Kyle Orton,BUF,1,17,31,190,1,2,0,0,0
Ryan Tannehill,MIA,1,25,35,235,0,1,4,13,0
Johnny Manziel,CLE,1,5,8,63,0,0,2,13,1
Tony Romo,DAL,1,18,29,199,0,2,1,-1,0
Brian Hoyer,CLE,1,18,30,192,0,2,0,0,0
Josh McCown,TB,1,15,29,190,0,1,1,0,0
Derek Carr,OAK,1,24,39,173,0,2,1,1,0
Jake Locker,TEN,1,6,12,91,1,2,0,0,0
Colin Kaepernick,SF,1,16,29,121,0,2,3,17,0
Geno Smith,NYJ,1,7,13,65,0,1,4,19,0
Matt Schaub,OAK,1,5,9,57,0,1,0,0,0
Brad Smith,PHI,1,0,0,0,0,0,0,0,0
Tom Savage,HOU,1,0,0,0,0,0,2,-2,0
