,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Matt Ryan,ATL,1,31,43,448,3,0,3,15,0
Andrew Luck,IND,1,35,53,370,2,2,5,19,1
Matthew Stafford,DET,1,22,32,346,2,0,4,2,1
Carson Palmer,ARI,1,24,37,304,2,0,4,29,0
Jay Cutler,CHI,1,34,49,349,2,2,0,0,0
Peyton Manning,DEN,1,22,36,269,3,0,4,-3,0
Nick Foles,PHI,1,27,45,322,2,1,0,0,0
Ben Roethlisberger,PIT,1,23,34,365,1,1,2,8,0
Jake Locker,TEN,1,22,33,266,2,0,6,14,0
Chad Henne,JAC,1,24,43,266,2,0,1,8,0
Joe Flacco,BAL,1,35,62,345,1,1,3,7,0
Drew Brees,NO,1,29,42,333,1,1,1,2,0
EJ Manuel,BUF,1,16,22,173,1,1,6,19,1
Derek Anderson,CAR,1,24,34,230,2,0,3,10,0
Russell Wilson,SEA,1,19,28,191,2,0,7,29,0
Josh McCown,TB,1,22,35,183,2,2,3,27,0
Andy Dalton,CIN,1,25,38,301,1,0,6,3,0
Colin Kaepernick,SF,1,16,23,201,2,0,5,11,0
Geno Smith,NYJ,1,23,28,221,1,1,10,38,0
Tony Romo,DAL,1,23,37,281,1,3,0,0,0
Alex Smith,KC,1,19,35,202,1,3,6,36,0
Philip Rivers,SD,1,21,36,238,1,1,2,10,0
Tom Brady,NE,1,29,56,249,1,0,1,3,0
Ryan Tannehill,MIA,1,18,32,178,2,1,3,-2,0
Matt Cassel,MIN,1,17,25,170,2,0,3,-2,0
Derek Carr,OAK,1,20,32,151,2,0,1,-1,0
Ryan Fitzpatrick,HOU,1,14,22,206,1,0,4,10,0
Brian Hoyer,CLE,1,19,31,230,1,0,1,-2,0
Robert Griffin III,WAS,1,29,37,267,0,0,3,2,0
Aaron Rodgers,GB,1,23,33,189,1,1,0,0,0
Eli Manning,NYG,1,18,33,163,1,2,0,0,0
Austin Davis,STL,1,16,23,192,0,1,1,0,0
Shaun Hill,STL,1,8,13,81,0,1,1,-1,0
Michael Vick,NYJ,1,0,1,0,0,0,0,0,0
