,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Julius Thomas,DEN,1,6,4,51,2
Jordan Cameron,CLE,1,5,3,102,1
Clay Harbor,JAC,1,4,3,91,1
Jace Amaro,NYJ,1,12,10,68,1
Greg Olsen,CAR,1,11,6,62,1
Zach Ertz,PHI,1,5,3,47,1
Scott Chandler,BUF,1,9,6,105,0
Rob Gronkowski,NE,1,9,7,94,0
Jordan Reed,WAS,1,11,8,92,0
Antonio Gates,SD,1,8,3,27,1
James Casey,PHI,1,1,1,26,1
Jason Witten,DAL,1,5,2,24,1
Lance Kendricks,STL,1,2,1,22,1
Jared Cook,STL,1,11,4,74,0
Coby Fleener,IND,1,4,2,11,1
Andrew Quarless,GB,1,5,2,11,1
Jermaine Gresham,CIN,1,7,6,68,0
Gavin Escobar,DAL,1,2,1,2,1
Tim Wright,NE,1,1,1,1,1
Ladarius Green,SD,1,5,4,60,0
Austin Seferian-Jenkins,TB,1,5,4,58,0
Delanie Walker,TEN,1,8,3,57,0
Martellus Bennett,CHI,1,8,4,52,0
Dwayne Allen,IND,1,7,3,49,0
Brent Celek,PHI,1,5,4,45,0
Daniel Fells,NYG,1,2,2,40,0
Chase Ford,MIN,1,5,4,37,0
Charles Clay,MIA,1,5,3,35,0
Owen Daniels,BAL,1,3,2,34,0
Levine Toilolo,ATL,1,6,3,34,0
Jim Dray,CLE,1,1,1,31,0
Vernon Davis,SF,1,6,3,30,0
Brandon Myers,TB,1,2,2,29,0
Adrien Robinson,NYG,1,2,1,29,0
Eric Ebron,DET,1,4,2,23,0
Vance McDonald,SF,1,2,1,21,0
Heath Miller,PIT,1,4,2,19,0
Crockett Gillmore,BAL,1,2,2,16,0
Brandon Williams,CAR,1,1,1,16,0
Michael Hoomanawanui,NE,1,1,1,15,0
Robert Housler,ARI,1,3,2,15,0
John Carlson,ARI,1,6,4,14,0
Luke Willson,SEA,1,5,2,11,0
Trey Burton,PHI,1,0,0,0,0
Jeff Cumberland,NYJ,1,2,2,10,0
Jack Doyle,IND,1,2,2,9,0
C.J. Fiedorowicz,HOU,1,1,1,7,0
Cooper Helfet,SEA,1,1,1,7,0
Niles Paul,WAS,1,2,1,7,0
Larry Donnell,NYG,1,2,1,6,0
Dion Sims,MIA,1,2,1,5,0
Rhett Ellison,MIN,1,1,1,4,0
Chase Coffman,TEN,1,1,0,0,0
Ed Dickson,CAR,1,1,0,0,0
Garrett Graham,HOU,1,1,0,0,0
Mychal Rivera,OAK,1,3,0,0,0
Jacob Tamme,DEN,1,1,0,0,0
