,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Jimmy Graham,NO,1,16,10,179,1
Martellus Bennett,CHI,1,9,7,76,2
Charles Clay,MIA,1,7,5,109,0
Greg Olsen,CAR,1,8,7,84,1
Coby Fleener,IND,1,8,4,69,1
Jermichael Finley,GB,1,7,6,65,1
Antonio Gates,SD,1,10,8,124,0
Julius Thomas,DEN,1,9,6,47,1
Kyle Rudolph,MIN,1,6,3,42,1
Jordan Cameron,CLE,1,7,5,95,0
Clay Harbor,JAC,1,4,3,34,1
Garrett Graham,HOU,1,5,3,30,1
Owen Daniels,HOU,1,5,2,24,1
Jordan Reed,WAS,1,3,3,18,1
Brandon Myers,NYG,1,10,6,74,0
Delanie Walker,TEN,1,2,1,10,1
Tyler Eifert,CIN,1,5,3,66,0
Jermaine Gresham,CIN,1,9,6,66,0
Zach Ertz,PHI,1,2,2,58,0
David Paulson,PIT,1,4,3,49,0
Nate Byham,TB,1,1,1,34,0
Tony Gonzalez,ATL,1,8,4,33,0
Brandon Pettigrew,DET,1,6,3,32,0
Mychal Rivera,OAK,1,3,3,32,0
Jim Dray,ARI,1,7,5,31,0
Sean McGrath,KC,1,4,2,31,0
Anthony Fasano,KC,1,2,2,26,0
Lance Kendricks,STL,1,3,2,23,0
Zach Miller,SEA,1,4,2,22,0
Vernon Davis,SF,1,5,3,20,0
James Hanna,DAL,1,5,4,20,0
Vance McDonald,SF,1,2,1,19,0
Billy Bajema,BAL,1,1,1,18,0
Kellen Winslow,NYJ,1,6,3,16,0
Dominique Jones,IND,1,2,1,13,0
Logan Paulsen,WAS,1,3,2,13,0
Bear Pascoe,NYG,1,2,2,12,0
Jason Witten,DAL,1,8,3,12,0
Scott Chandler,BUF,1,6,3,10,0
Jared Cook,STL,1,6,1,10,0
Gavin Escobar,DAL,1,1,1,9,0
Allen Reisner,JAC,1,2,2,9,0
Dallas Clark,BAL,1,1,1,8,0
John Carlson,MIN,1,2,1,7,0
Andrew Quarless,GB,1,3,1,7,0
Virgil Green,DEN,1,1,1,5,0
Mike McNeill,STL,1,1,1,5,0
Levine Toilolo,ATL,1,1,1,4,0
Fred Davis,WAS,1,2,1,3,0
James Casey,PHI,1,1,0,0,0
Brent Celek,PHI,1,1,0,0,0
Ed Dickson,BAL,1,1,0,0,0
Michael Hoomanawanui,NE,1,1,0,0,0
David Johnson,PIT,1,1,0,0,0
Steve Maneri,CHI,1,1,0,0,0
Jeron Mastrud,OAK,1,1,0,0,0
Alex Smith,CIN,1,1,0,0,0
Craig Stevens,TEN,1,1,0,0,0
Luke Willson,SEA,1,1,0,0,0
