,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Jordan Reed,WAS,1,13,11,72,2
Rob Gronkowski,NE,1,16,11,108,1
Eric Ebron,DET,1,5,5,89,1
Ladarius Green,SD,1,9,4,45,1
Clive Walford,OAK,1,2,2,42,1
Gary Barnidge,CLE,1,7,6,101,0
Michael Hoomanawanui,NO,1,5,5,31,1
Travis Kelce,KC,1,6,5,73,0
Jason Witten,DAL,1,8,6,73,0
Kyle Rudolph,MIN,1,2,2,10,1
Greg Olsen,CAR,1,5,3,65,0
Zach Ertz,PHI,1,8,5,63,0
Jermaine Gresham,ARI,1,6,4,62,0
Vernon Davis,SF,1,6,4,61,0
Ben Watson,NO,1,5,4,59,0
Delanie Walker,TEN,1,9,7,55,0
Crockett Gillmore,BAL,1,7,5,53,0
Coby Fleener,IND,1,5,3,47,0
Jacob Tamme,ATL,1,6,3,36,0
Chris Gragg,BUF,1,7,2,35,0
Scott Chandler,NE,1,2,2,34,0
Jimmy Graham,SEA,1,5,2,31,0
Charles Clay,BUF,1,5,3,26,0
Jordan Cameron,MIA,1,2,2,23,0
Luke Stocker,TB,1,4,3,22,0
Anthony Fasano,TEN,1,4,3,21,0
Nick Boyle,BAL,1,2,2,20,0
Jared Cook,STL,1,4,2,19,0
Larry Donnell,NYG,1,5,4,18,0
Jeff Cumberland,NYJ,1,3,1,16,0
Derek Carrier,WAS,1,2,2,15,0
Marcedes Lewis,JAC,1,2,2,13,0
MyCole Pruitt,MIN,1,1,1,13,0
Tim Wright,DET,1,1,1,13,0
Brent Celek,PHI,1,3,2,11,0
Tony Moeaki,ATL,1,1,1,11,0
Mychal Rivera,OAK,1,3,2,11,0
Dwayne Allen,IND,1,1,1,10,0
Jim Dray,CLE,1,2,2,10,0
Garrett Celek,SF,1,1,1,8,0
Cameron Brate,TB,1,1,1,6,0
James Hanna,DAL,1,1,1,6,0
John Phillips,SD,1,1,1,5,0
Cory Harkey,STL,1,1,1,4,0
Julius Thomas,JAC,1,5,1,4,0
Michael Williams,NE,1,2,1,4,0
James O'Shaughnessy,KC,1,2,1,2,0
Vance McDonald,SF,1,1,1,1,0
Lee Smith,OAK,1,2,2,1,0
C.J. Fiedorowicz,HOU,1,2,0,0,0
Garrett Graham,HOU,1,4,0,0,0
Josh Hill,NO,1,1,0,0,0
Nic Jacobs,JAC,1,1,0,0,0
Heath Miller,PIT,1,2,0,0,0
Brandon Myers,TB,1,1,0,0,0
Will Tye,NYG,1,2,0,0,0
Dion Sims,MIA,1,2,1,-3,0
