,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Coby Fleener,IND,1,7,4,127,2
Jordan Reed,WAS,1,11,9,123,0
Martellus Bennett,CHI,1,11,8,109,0
Rob Gronkowski,NE,1,12,7,98,0
Richard Rodgers,GB,1,2,2,35,1
Antonio Gates,SD,1,8,7,83,0
Heath Miller,PIT,1,14,8,82,0
Anthony Fasano,KC,1,1,1,20,1
Logan Paulsen,WAS,1,1,1,16,1
Levine Toilolo,ATL,1,6,4,15,1
Ben Watson,NO,1,2,1,15,1
Cory Harkey,STL,1,2,2,12,1
MarQueis Gray,BUF,1,2,2,71,0
Ryan Griffin,HOU,1,3,1,8,1
Kyle Rudolph,MIN,1,3,2,7,1
Tony Moeaki,SEA,1,2,1,63,0
Greg Olsen,CAR,1,9,5,59,0
Dion Sims,MIA,1,4,4,58,0
Larry Donnell,NYG,1,7,5,55,0
Jim Dray,CLE,1,4,3,45,0
Luke Willson,SEA,1,6,4,39,0
John Carlson,ARI,1,3,2,38,0
Travis Kelce,KC,1,3,3,36,0
Jermaine Gresham,CIN,1,5,5,33,0
Owen Daniels,BAL,1,3,2,30,0
Eric Ebron,DET,1,4,3,23,0
Michael Hoomanawanui,NE,1,1,1,23,0
Mychal Rivera,OAK,1,8,3,21,0
Zach Sudfeld,NYJ,1,1,1,20,0
Cameron Brate,TB,1,1,1,17,0
Clay Harbor,JAC,1,2,1,17,0
Josh Hill,NO,1,2,1,17,0
Andrew Quarless,GB,1,2,2,17,0
Vernon Davis,SF,1,3,2,13,0
Tim Wright,NE,1,1,1,12,0
Virgil Green,DEN,1,1,1,10,0
Jack Doyle,IND,1,1,1,8,0
Joseph Fauria,DET,1,2,1,8,0
Marcedes Lewis,JAC,1,3,2,8,0
Jason Witten,DAL,1,2,1,8,0
Brent Celek,PHI,1,2,1,7,0
Niles Paul,WAS,1,1,1,7,0
Gary Barnidge,CLE,1,1,1,6,0
Delanie Walker,TEN,1,3,1,6,0
Jacob Tamme,DEN,1,2,1,4,0
Ryan Hewitt,CIN,1,1,1,3,0
Scott Chandler,BUF,1,3,3,2,0
Brandon Pettigrew,DET,1,1,1,2,0
Ladarius Green,SD,1,2,2,1,0
Jared Cook,STL,1,1,0,0,0
Jeff Cumberland,NYJ,1,1,0,0,0
Zach Ertz,PHI,1,1,0,0,0
Daniel Fells,NYG,1,1,0,0,0
Crockett Gillmore,BAL,1,1,0,0,0
Harold Hoskins,MIA,1,1,1,0,0
Lance Kendricks,STL,1,1,0,0,0
