,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Jimmy Graham,NO,1,15,9,134,2
Jordan Cameron,CLE,1,11,6,66,3
Scott Chandler,BUF,1,6,5,79,1
Zach Miller,SEA,1,3,2,5,2
Antonio Gates,SD,1,7,5,55,1
Julius Thomas,DEN,1,4,3,37,1
Gavin Escobar,DAL,1,2,1,24,1
Luke Willson,SEA,1,5,5,76,0
Jason Witten,DAL,1,6,5,67,0
Joseph Fauria,DET,1,3,1,5,1
Levine Toilolo,ATL,1,1,1,2,1
Dion Sims,MIA,1,1,1,1,1
Greg Olsen,CAR,1,8,4,54,0
David Johnson,PIT,1,3,2,51,0
Logan Paulsen,WAS,1,6,4,51,0
Jordan Reed,WAS,1,6,5,50,0
Delanie Walker,TEN,1,8,5,49,0
Ladarius Green,SD,1,2,2,48,0
Dallas Clark,BAL,1,7,4,46,0
Jared Cook,STL,1,7,5,44,0
Charles Clay,MIA,1,6,4,40,0
Lance Kendricks,STL,1,5,5,36,0
Heath Miller,PIT,1,4,3,35,0
Brandon Myers,NYG,1,6,3,33,0
Kellen Davis,SEA,1,2,2,31,0
Michael Hoomanawanui,NE,1,2,2,31,0
Sean McGrath,KC,1,4,4,31,0
Owen Daniels,HOU,1,9,5,29,0
Kyle Rudolph,MIN,1,8,5,28,0
Jermaine Gresham,CIN,1,5,4,27,0
Jeff Cumberland,NYJ,1,3,3,26,0
Tony Gonzalez,ATL,1,5,4,24,0
Andrew Quarless,GB,1,5,3,21,0
Mychal Rivera,OAK,1,3,2,21,0
Brent Celek,PHI,1,5,2,18,0
Ben Watson,NO,1,2,1,14,0
Coby Fleener,IND,1,2,2,13,0
Robert Housler,ARI,1,3,1,13,0
Ryan Taylor,GB,1,3,2,11,0
Martellus Bennett,CHI,1,5,2,10,0
Michael Egnew,MIA,1,1,1,8,0
Tyler Eifert,CIN,1,2,1,7,0
Vance McDonald,SF,1,3,1,6,0
David Paulson,PIT,1,2,1,6,0
Tim Wright,TB,1,2,1,6,0
Zach Ertz,PHI,1,1,1,5,0
Tony Scheffler,DET,1,2,2,5,0
Jacob Tamme,DEN,1,1,1,5,0
Nate Byham,TB,1,1,1,3,0
John Carlson,MIN,1,2,1,3,0
Virgil Green,DEN,1,2,1,3,0
Bear Pascoe,NYG,1,1,1,2,0
Richie Brockel,CAR,1,0,0,0,0
Kevin Brock,KC,1,1,0,0,0
Jermichael Finley,GB,1,1,0,0,0
Steve Maneri,CHI,1,1,0,0,0
Niles Paul,WAS,1,1,0,0,0
Brandon Pettigrew,DET,1,2,0,0,0
Allen Reisner,JAC,1,1,0,0,0
D.J. Williams,JAC,1,1,0,0,0
