,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Julius Thomas,DEN,1,8,7,104,3
Vernon Davis,SF,1,6,4,44,2
Greg Olsen,CAR,1,11,8,83,1
Zach Ertz,PHI,1,5,3,77,1
Martellus Bennett,CHI,1,10,8,70,1
Dwayne Allen,IND,1,5,4,64,1
Larry Donnell,NYG,1,8,5,56,1
Rob Gronkowski,NE,1,11,4,40,1
Delanie Walker,TEN,1,4,3,37,1
Anthony Fasano,KC,1,6,3,29,1
Niles Paul,WAS,1,4,4,86,0
Dennis Pitta,BAL,1,15,10,83,0
Jimmy Graham,NO,1,10,8,82,0
Antonio Gates,SD,1,10,6,81,0
Levine Toilolo,ATL,1,6,3,19,1
Kyle Rudolph,MIN,1,4,2,16,1
Jared Cook,STL,1,8,4,56,0
Jeff Cumberland,NYJ,1,5,4,50,0
Travis Kelce,KC,1,5,3,49,0
Jordan Cameron,CLE,1,5,2,47,0
Zach Miller,SEA,1,4,3,42,0
Brandon Myers,TB,1,8,6,41,0
Tyler Eifert,CIN,1,3,3,37,0
Marcedes Lewis,JAC,1,9,6,35,0
Owen Daniels,BAL,1,5,4,34,0
Mychal Rivera,OAK,1,5,3,31,0
Jim Dray,CLE,1,2,2,30,0
Charles Clay,MIA,1,6,2,27,0
Joseph Fauria,DET,1,3,1,26,0
Heath Miller,PIT,1,4,3,26,0
Andrew Quarless,GB,1,4,3,26,0
Austin Seferian-Jenkins,TB,1,2,1,26,0
Ladarius Green,SD,1,2,2,24,0
Taylor Thompson,TEN,1,2,2,24,0
Rhett Ellison,MIN,1,1,1,22,0
Coby Fleener,IND,1,8,3,21,0
John Carlson,ARI,1,1,1,20,0
Jermaine Gresham,CIN,1,5,2,16,0
Robert Housler,ARI,1,3,1,16,0
Brent Celek,PHI,1,4,3,15,0
Tim Wright,NE,1,3,3,15,0
Jason Witten,DAL,1,6,2,14,0
Gary Barnidge,CLE,1,2,1,13,0
Lance Kendricks,STL,1,3,2,12,0
Brian Leonhardt,OAK,1,1,1,12,0
Dante Rosario,CHI,1,1,1,12,0
Brandon Pettigrew,DET,1,1,1,9,0
Dion Sims,MIA,1,3,1,9,0
Virgil Green,DEN,1,1,1,8,0
Luke Stocker,TB,1,1,1,8,0
Jace Amaro,NYJ,1,4,2,7,0
Daniel Fells,NYG,1,1,1,7,0
Harold Hoskins,MIA,1,1,1,7,0
Ryan Griffin,HOU,1,2,1,6,0
Cory Harkey,STL,1,1,1,4,0
Jordan Reed,WAS,1,1,1,4,0
Luke Willson,SEA,1,1,1,1,0
Scott Chandler,BUF,1,1,0,0,0
Eric Ebron,DET,1,2,0,0,0
Gavin Escobar,DAL,1,1,0,0,0
C.J. Fiedorowicz,HOU,1,1,0,0,0
Logan Paulsen,WAS,1,2,2,0,0
Mickey Shuler,JAC,1,1,0,0,0
Ben Watson,NO,1,1,1,0,0
