,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing
Player,Team,G,Target,Rec,Yard,TD,Att,Yard,TD
Calvin Johnson,DET,1,16,14,329,1,0,0,0
Marvin Jones,CIN,1,8,8,122,4,0,0,0
Kenny Stills,NO,1,4,3,129,2,1,4,0
Jordy Nelson,GB,1,8,7,123,2,0,0,0
Golden Tate,SEA,1,7,5,93,2,0,0,0
Dez Bryant,DAL,1,6,3,72,2,1,1,0
Josh Gordon,CLE,1,10,5,132,1,0,0,0
Terrelle Pryor,OAK,1,0,0,0,0,9,106,1
Emmanuel Sanders,PIT,1,11,7,88,1,0,0,0
Wes Welker,DEN,1,10,6,81,1,0,0,0
Drew Davis,ATL,1,7,5,77,1,0,0,0
Demaryius Thomas,DEN,1,11,7,75,1,0,0,0
Steve Johnson,BUF,1,11,7,72,1,0,0,0
Terrance Williams,DAL,1,10,2,64,1,1,5,0
Harry Douglas,ATL,1,18,12,121,0,0,0,0
Aaron Dobson,NE,1,5,4,60,1,0,0,0
A.J. Green,CIN,1,7,3,115,0,0,0,0
Larry Fitzgerald,ARI,1,7,4,48,1,0,0,0
Mike Brown,JAC,1,6,3,43,1,0,0,0
Lance Moore,NO,1,4,3,34,1,0,0,0
Michael Floyd,ARI,1,4,3,30,1,0,0,0
Jarrett Boykin,GB,1,6,5,89,0,0,0,0
Victor Cruz,NYG,1,10,7,86,0,0,0,0
Antonio Brown,PIT,1,13,9,82,0,1,2,0
Ted Ginn Jr.,CAR,1,6,5,80,0,0,0,0
David Nelson,NYJ,1,12,8,80,0,0,0,0
Vincent Jackson,TB,1,13,5,79,0,0,0,0
Chris Givens,STL,1,5,4,59,0,1,16,0
Cecil Shorts,JAC,1,10,7,74,0,0,0,0
Leonard Hankerson,WAS,1,3,1,7,1,0,0,0
Brandon Gibson,MIA,1,2,1,4,1,0,0,0
DeSean Jackson,PHI,1,11,8,63,0,0,0,0
Anquan Boldin,SF,1,6,4,56,0,0,0,0
Marquise Goodwin,BUF,1,5,3,56,0,0,0,0
Jason Avant,PHI,1,4,3,54,0,0,0,0
Kris Durham,DET,1,6,4,54,0,0,0,0
Hakeem Nicks,NYG,1,12,7,51,0,0,0,0
Mike Wallace,MIA,1,10,3,41,0,1,8,0
Tiquan Underwood,TB,1,4,3,47,0,0,0,0
Pierre Garcon,WAS,1,11,7,46,0,0,0,0
Rod Streater,OAK,1,6,4,45,0,0,0,0
Eric Decker,DEN,1,7,4,42,0,0,0,0
Steve Smith,CAR,1,7,4,42,0,0,0,0
Darius Johnson,ATL,1,9,4,40,0,0,0,0
Jerricho Cotchery,PIT,1,4,3,39,0,0,0,0
Brian Hartline,MIA,1,6,4,37,0,0,0,0
Donnie Avery,KC,1,5,3,31,0,1,4,0
Myles White,GB,1,7,5,35,0,0,0,0
Austin Pettis,STL,1,4,2,33,0,0,0,0
Denarius Moore,OAK,1,4,2,32,0,0,0,0
Justin Blackmon,JAC,1,10,4,31,0,1,-1,0
Rishard Matthews,MIA,1,6,3,30,0,0,0,0
Jerrel Jernigan,NYG,1,4,3,29,0,0,0,0
Davone Bess,CLE,1,8,3,27,0,0,0,0
Jeremy Kerley,NYJ,1,4,3,27,0,0,0,0
Cordarrelle Patterson,MIN,1,3,2,26,0,0,0,0
