,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Tony Romo,DAL,1,25,36,506,5,1,1,7,0
Peyton Manning,DEN,1,33,42,414,4,1,4,-8,1
Russell Wilson,SEA,1,15,31,210,2,1,13,102,0
Jay Cutler,CHI,1,24,33,358,2,0,4,27,0
Philip Rivers,SD,1,36,49,411,2,3,0,0,0
Ryan Fitzpatrick,TEN,1,21,41,247,1,2,6,50,1
Eli Manning,NYG,1,24,52,334,2,3,0,0,0
Geno Smith,NYJ,1,16,20,199,3,0,3,21,0
Matt Ryan,ATL,1,36,45,319,2,0,0,0,0
Sam Bradford,STL,1,19,34,222,3,0,5,4,0
Drew Brees,NO,1,29,35,288,2,0,0,0,0
Andrew Luck,IND,1,16,29,229,2,0,4,9,0
Ryan Tannehill,MIA,1,21,40,307,1,0,2,6,0
Aaron Rodgers,GB,1,20,30,274,1,0,5,8,0
Nick Foles,PHI,1,16,25,197,2,0,3,1,0
Cam Newton,CAR,1,21,39,308,0,3,4,25,0
Matthew Stafford,DET,1,25,40,262,1,0,1,-1,0
Joe Flacco,BAL,1,19,32,269,0,1,2,13,0
Brandon Weeden,CLE,1,13,24,197,1,0,3,0,0
Blaine Gabbert,JAC,1,9,19,181,1,2,3,6,0
Alex Smith,KC,1,20,39,245,0,1,3,10,0
Michael Vick,PHI,1,6,14,105,0,0,7,79,0
Andy Dalton,CIN,1,20,27,212,0,1,6,25,0
Carson Palmer,ARI,1,19,28,175,1,3,3,-3,0
Colin Kaepernick,SF,1,6,15,113,1,0,1,14,0
Tom Brady,NE,1,18,38,197,0,1,0,0,0
Chad Henne,JAC,1,7,13,89,1,0,1,2,0
Matt Schaub,HOU,1,19,35,173,0,3,0,0,0
EJ Manuel,BUF,1,11,20,129,0,0,1,14,0
Jeff Tuel,BUF,1,8,20,80,0,1,0,0,0
Brian Hoyer,CLE,1,2,4,25,0,0,1,11,0
T.J. Yates,HOU,1,3,5,15,0,0,1,0,0
Colt McCoy,SF,1,0,0,0,0,0,3,-3,0
