,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Jimmy Graham,NO,1,7,5,100,1
Jason Witten,DAL,1,7,4,37,2
Rob Gronkowski,NE,1,10,7,90,1
Jared Cook,STL,1,5,4,80,1
Ladarius Green,SD,1,5,3,80,1
Vernon Davis,SF,1,7,4,70,1
Martellus Bennett,CHI,1,5,4,62,1
Coby Fleener,IND,1,8,4,55,1
Jacob Tamme,DEN,1,5,5,47,1
Brandon Myers,NYG,1,5,3,39,1
Greg Olsen,CAR,1,9,5,34,1
Brandon Pettigrew,DET,1,5,3,32,1
Rhett Ellison,MIN,1,2,2,26,1
Anthony Fasano,KC,1,5,4,21,1
Tim Wright,TB,1,9,8,75,0
Joseph Fauria,DET,1,1,1,10,1
Ben Watson,NO,1,2,1,1,1
Ed Dickson,BAL,1,5,3,55,0
Robert Housler,ARI,1,5,4,51,0
Delanie Walker,TEN,1,9,5,46,0
Tony Gonzalez,ATL,1,6,4,43,0
Heath Miller,PIT,1,6,5,41,0
Ryan Griffin,HOU,1,2,1,37,0
John Carlson,MIN,1,5,3,36,0
Kellen Winslow,NYJ,1,4,2,34,0
Jordan Cameron,CLE,1,10,3,32,0
Garrett Graham,HOU,1,9,5,32,0
Charles Clay,MIA,1,7,4,27,0
Brandon Bostick,GB,1,5,1,24,0
Dallas Clark,BAL,1,4,3,24,0
Vance McDonald,SF,1,1,1,23,0
Andrew Quarless,GB,1,3,2,22,0
Antonio Gates,SD,1,8,3,21,0
Marcedes Lewis,JAC,1,1,1,18,0
Mychal Rivera,OAK,1,2,1,10,0
Jeff Cumberland,NYJ,1,2,1,9,0
Clay Harbor,JAC,1,1,1,8,0
Dion Sims,MIA,1,1,1,6,0
Levine Toilolo,ATL,1,1,1,6,0
Michael Egnew,MIA,1,1,1,5,0
Gavin Escobar,DAL,1,1,1,5,0
Jeron Mastrud,OAK,1,1,1,5,0
Bear Pascoe,NYG,1,2,1,5,0
Justice Cunningham,IND,1,1,1,4,0
Taylor Thompson,TEN,1,2,2,4,0
Virgil Green,DEN,1,2,1,3,0
Jim Dray,ARI,1,1,0,0,0
Joel Dreessen,DEN,1,1,0,0,0
Nick Kasa,OAK,1,1,0,0,0
Lance Kendricks,STL,1,1,0,0,0
Sean McGrath,KC,1,1,0,0,0
Logan Paulsen,WAS,1,2,0,0,0
John Phillips,SD,1,1,0,0,0
Weslye Saunders,IND,1,2,0,0,0
Craig Stevens,TEN,1,1,1,-1,0
