,,,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Att,Yard,TD,Target,Rec,Yard,TD
Ray Rice,BAL,1,27,74,2,7,6,28,0
Fred Jackson,BUF,1,17,53,2,6,4,40,0
Pierre Thomas,NO,1,19,36,0,9,9,55,2
Knowshon Moreno,DEN,1,19,93,1,5,5,57,0
Jamaal Charles,KC,1,22,108,1,9,5,37,0
Jacquizz Rodgers,ATL,1,14,43,2,4,4,15,0
LeSean McCoy,PHI,1,20,46,1,8,6,46,0
Frank Gore,SF,1,17,81,1,0,0,0,0
Chris Johnson,TEN,1,10,17,0,5,4,63,1
Willis McGahee,CLE,1,26,72,1,2,0,0,0
Danny Woodhead,SD,1,9,13,0,9,9,58,1
BenJarvus Green-Ellis,CIN,1,19,67,1,1,0,0,0
C.J. Spiller,BUF,1,8,66,1,0,0,0,0
Arian Foster,HOU,1,21,98,0,5,4,20,0
Rashard Mendenhall,ARI,1,17,43,1,2,2,7,0
DeMarco Murray,DAL,1,12,43,1,1,1,5,0
Marshawn Lynch,SEA,1,17,102,0,2,1,5,0
Donald Brown,IND,1,6,37,1,2,2,3,0
Eddie Lacy,GB,1,23,99,0,1,1,-2,0
Matt Forte,CHI,1,12,55,0,6,4,40,0
Maurice Jones-Drew,JAC,1,17,70,0,3,2,16,0
Andre Ellington,ARI,1,7,52,0,4,4,31,0
Jason Snelling,ATL,1,7,13,0,5,5,10,1
Zac Stacy,STL,1,14,78,0,1,0,0,0
David Wilson,NYG,1,6,16,1,1,0,0,0
Anthony Dixon,SF,1,5,12,1,0,0,0,0
Giovani Bernard,CIN,1,13,62,0,3,2,7,0
Reggie Bush,DET,1,13,44,0,6,4,25,0
DeAngelo Williams,CAR,1,12,39,0,3,2,30,0
Brandon Bolden,NE,1,5,24,0,8,6,40,0
Jackie Battle,TEN,1,6,38,0,2,1,24,0
Ronnie Hillman,DEN,1,7,17,0,4,4,42,0
Marcel Reece,OAK,1,7,32,0,3,3,25,0
Trent Richardson,IND,1,18,56,0,1,0,0,0
Joique Bell,DET,1,5,21,0,4,4,30,0
LeGarrette Blount,NE,1,12,51,0,0,0,0,0
Daryl Richardson,STL,1,13,48,0,1,0,0,0
Bilal Powell,NYJ,1,12,38,0,2,1,9,0
Bernard Pierce,BAL,1,11,46,0,0,0,0,0
Mike Goodson,NYJ,1,3,32,0,2,1,9,0
Rashad Jennings,OAK,1,10,41,0,0,0,0,0
Darren Sproles,NO,1,3,10,0,3,3,31,0
Ben Tate,HOU,1,7,28,0,2,2,12,0
Mike Tolbert,CAR,1,4,31,0,1,1,9,0
Brandon Jacobs,NYG,1,11,37,0,3,0,0,0
Ronnie Brown,SD,1,7,11,0,3,3,21,0
LaMichael James,SF,1,4,31,0,0,0,0,0
Kendall Hunter,SF,1,5,29,0,0,0,0,0
Jed Collins,NO,1,3,11,0,5,4,17,0
Chris Ivory,NYJ,1,4,27,0,0,0,0,0
Tashard Choice,BUF,1,5,22,0,0,0,0,0
Alfonso Smith,ARI,1,1,-2,0,3,3,20,0
Bryce Brown,PHI,1,5,11,0,2,1,6,0
Jordan Todman,JAC,1,3,16,0,0,0,0,0
Lamar Miller,MIA,1,7,15,0,0,0,0,0
Robert Turbin,SEA,1,4,14,0,0,0,0,0
Benny Cunningham,STL,1,4,13,0,0,0,0,0
Anthony Sherman,KC,1,0,0,0,2,2,13,0
Michael Bush,CHI,1,2,12,0,0,0,0,0
Daniel Thomas,MIA,1,2,1,0,2,2,11,0
Khiry Robinson,NO,1,3,9,0,0,0,0,0
Ryan Mathews,SD,1,3,8,0,0,0,0,0
Antone Smith,ATL,1,1,8,0,0,0,0,0
Chris Ogbonnaya,CLE,1,0,0,0,2,1,7,0
Kenjon Barner,CAR,1,0,0,0,2,1,5,0
Cierre Wood,HOU,1,1,5,0,0,0,0,0
Bruce Miller,SF,1,0,0,0,1,1,4,0
Chris Polk,PHI,1,2,3,0,0,0,0,0
Bobby Rainey,CLE,1,2,8,0,1,1,-5,0
Knile Davis,KC,1,1,2,0,1,0,0,0
Justin Forsett,JAC,1,1,2,0,0,0,0,0
Montee Ball,DEN,1,1,1,0,0,0,0,0
Johnathan Franklin,GB,1,3,1,0,0,0,0,0
Greg Jones,HOU,1,0,0,0,1,0,0,0
Kyle Juszczyk,BAL,1,0,0,0,1,0,0,0
Vonta Leach,BAL,1,0,0,0,1,0,0,0
Dexter McCluster,KC,1,0,0,0,3,0,0,0
Isaiah Pead,STL,1,0,0,0,1,0,0,0
