,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Crockett Gillmore,BAL,1,6,5,88,2
Rob Gronkowski,NE,1,13,7,113,1
Anthony Fasano,TEN,1,7,5,84,1
Tyler Eifert,CIN,1,5,4,49,1
Eric Ebron,DET,1,10,5,43,1
Kyle Rudolph,MIN,1,7,5,30,1
Larry Donnell,NYG,1,6,4,28,1
Richard Rodgers,GB,1,4,3,23,1
Jordan Reed,WAS,1,6,6,82,0
Charles Clay,BUF,1,6,3,19,1
Jake Stoneburner,MIA,1,2,2,18,1
Jacob Tamme,ATL,1,6,4,77,0
Heath Miller,PIT,1,2,2,15,1
Virgil Green,DEN,1,3,2,12,1
Greg Olsen,CAR,1,14,6,70,0
Garrett Graham,HOU,1,5,1,7,1
Jordan Cameron,MIA,1,4,3,62,0
Vernon Davis,SF,1,7,5,62,0
Travis Kelce,KC,1,5,4,58,0
Jason Witten,DAL,1,8,7,56,0
James O'Shaughnessy,KC,1,2,2,54,0
Martellus Bennett,CHI,1,6,4,48,0
Jared Cook,STL,1,7,5,47,0
Ladarius Green,SD,1,6,5,47,0
Chase Coffman,TEN,1,6,4,42,0
Luke Willson,SEA,1,4,2,36,0
Austin Seferian-Jenkins,TB,1,3,2,29,0
Scott Chandler,NE,1,5,3,23,0
Owen Daniels,DEN,1,5,3,19,0
C.J. Fiedorowicz,HOU,1,1,1,19,0
Gary Barnidge,CLE,1,1,1,17,0
Zach Ertz,PHI,1,7,3,17,0
Gavin Escobar,DAL,1,3,2,16,0
Lance Kendricks,STL,1,2,1,15,0
Mychal Rivera,OAK,1,5,3,15,0
Michael Williams,NE,1,1,1,15,0
Zach Miller,CHI,1,2,2,14,0
Craig Stevens,TEN,1,1,1,13,0
Ben Watson,NO,1,4,2,12,0
Blake Bell,SF,1,3,1,11,0
Jimmy Graham,SEA,1,2,1,11,0
Garrett Celek,SF,1,2,2,10,0
Maxx Williams,BAL,1,1,1,8,0
Lee Smith,OAK,1,1,1,6,0
Jermaine Gresham,ARI,1,1,1,5,0
Clive Walford,OAK,1,2,1,4,0
Jerome Cunningham,NYG,1,3,1,3,0
Josh Hill,NO,1,4,1,2,0
Matthew Mulligan,BUF,1,1,1,2,0
Jeff Cumberland,NYJ,1,0,0,0,0
Coby Fleener,IND,1,0,0,0,0
Marcedes Lewis,JAC,1,4,0,0,0
Geoff Swaim,DAL,1,1,1,0,0
