,,,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Att,Yard,TD,Target,Rec,Yard,TD
Knowshon Moreno,DEN,1,37,224,1,1,1,6,0
Jamaal Charles,KC,1,14,115,2,6,4,42,0
Eddie Lacy,GB,1,25,110,1,6,6,48,0
Adrian Peterson,MIN,1,32,146,1,1,1,2,0
Maurice Jones-Drew,JAC,1,14,84,1,6,6,60,0
Danny Woodhead,SD,1,6,25,1,4,4,45,1
Benny Cunningham,STL,1,13,109,1,0,0,0,0
Zac Stacy,STL,1,12,87,1,2,1,10,0
Steven Jackson,ATL,1,16,63,1,4,3,16,0
Andre Brown,NYG,1,21,127,0,4,4,11,0
Rashard Mendenhall,ARI,1,13,54,1,2,1,24,0
Pierre Thomas,NO,1,10,73,0,6,5,57,0
Brandon Bolden,NE,1,13,58,1,1,1,11,0
DeMarco Murray,DAL,1,14,86,0,3,3,40,0
Ryan Mathews,SD,1,14,55,1,2,2,10,0
Rashad Jennings,OAK,1,16,73,0,5,4,49,0
Marcel Reece,OAK,1,5,14,0,5,4,44,1
Matt Forte,CHI,1,16,77,0,9,7,40,0
Reggie Bush,DET,1,15,83,0,7,4,17,0
Le'Veon Bell,PIT,1,23,80,0,5,2,18,0
Toby Gerhart,MIN,1,8,91,0,1,1,5,0
Shane Vereen,NE,1,10,31,0,11,8,60,0
Dennis Johnson,HOU,1,13,74,0,2,2,13,0
Chris Johnson,TEN,1,20,73,0,5,3,8,0
Brandon Jacobs,NYG,1,9,75,0,0,0,0,0
Andre Ellington,ARI,1,10,50,0,2,2,21,0
Michael Bush,CHI,1,7,-5,1,2,1,10,0
Bilal Powell,NYJ,1,11,41,0,4,3,24,0
Dexter McCluster,KC,1,1,-1,0,10,7,59,0
Montee Ball,DEN,1,7,40,0,3,3,17,0
Alfred Morris,WAS,1,14,52,0,0,0,0,0
Lamar Miller,MIA,1,10,8,0,4,4,39,0
DeAngelo Williams,CAR,1,10,31,0,3,2,16,0
Lance Dunbar,DAL,1,3,20,0,2,2,26,0
Chris Ogbonnaya,CLE,1,4,26,0,5,2,15,0
Jacquizz Rodgers,ATL,1,3,7,0,3,2,31,0
Jordan Todman,JAC,1,11,31,0,1,1,5,0
Chris Ivory,NYJ,1,9,35,0,0,0,0,0
Bobby Rainey,TB,1,18,35,0,1,0,0,0
Frank Gore,SF,1,13,31,0,2,1,3,0
Jonathan Stewart,CAR,1,7,31,0,1,1,3,0
Roy Helu,WAS,1,7,26,0,1,1,7,0
Dan Herron,IND,1,4,33,0,0,0,0,0
Mark Ingram,NO,1,9,32,0,0,0,0,0
James Starks,GB,1,3,37,0,2,1,-5,0
Bernard Pierce,BAL,1,11,30,0,0,0,0,0
John Kuhn,GB,1,0,0,0,4,2,29,0
Mike Tolbert,CAR,1,4,23,0,1,1,5,0
Ray Rice,BAL,1,16,30,0,1,1,-3,0
Ben Tate,HOU,1,7,1,0,6,5,26,0
Trent Richardson,IND,1,7,15,0,2,2,11,0
Tony Fiammetta,CHI,1,0,0,0,3,2,23,0
Ronnie Brown,SD,1,6,23,0,1,1,-1,0
Fozzy Whittaker,CLE,1,6,16,0,5,1,5,0
Jason Snelling,ATL,1,0,0,0,2,2,19,0
C.J. Anderson,DEN,1,3,16,0,1,0,0,0
Joique Bell,DET,1,6,15,0,3,1,0,0
Shonn Greene,TEN,1,4,15,0,1,0,0,0
Stevan Ridley,NE,1,4,14,0,0,0,0,0
LeGarrette Blount,NE,1,2,13,0,0,0,0,0
Anthony Dixon,SF,1,3,13,0,0,0,0,0
Felix Jones,PIT,1,2,9,0,1,1,4,0
Kendall Hunter,SF,1,8,12,0,0,0,0,0
Willis McGahee,CLE,1,4,12,0,0,0,0,0
Antone Smith,ATL,1,1,11,0,0,0,0,0
Stepfan Taylor,ARI,1,5,10,0,1,1,1,0
Daniel Thomas,MIA,1,3,8,0,2,2,2,0
Justin Forsett,JAC,1,0,0,0,1,1,9,0
Will Johnson,PIT,1,0,0,0,1,1,9,0
Jonathan Dwyer,PIT,1,6,7,0,2,1,1,0
Anthony Sherman,KC,1,0,0,0,2,1,8,0
Jerome Felton,MIN,1,0,0,0,1,1,7,0
Vonta Leach,BAL,1,0,0,0,2,1,6,0
Brian Leonard,TB,1,1,3,0,2,1,3,0
Alfonso Smith,ARI,1,0,0,0,1,1,6,0
Khiry Robinson,NO,1,1,4,0,0,0,0,0
Knile Davis,KC,1,1,3,0,0,0,0,0
Travaris Cadet,NO,1,0,0,0,1,1,2,0
Jed Collins,NO,1,1,0,0,0,0,0,0
LaMichael James,SF,1,0,0,0,1,0,0,0
Denard Robinson,JAC,1,0,0,0,0,0,0,0
Donald Brown,IND,1,2,1,0,2,1,-2,0
