,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Greg Olsen,CAR,1,11,7,131,1
Ben Watson,NO,1,12,10,127,1
Gary Barnidge,CLE,1,9,3,39,2
Jimmy Graham,SEA,1,12,8,140,0
Julius Thomas,JAC,1,13,7,78,1
Rob Gronkowski,NE,1,5,3,50,1
Delanie Walker,TEN,1,10,8,97,0
Antonio Gates,SD,1,16,9,95,0
Ladarius Green,SD,1,4,3,35,1
Dion Sims,MIA,1,4,4,33,1
Jordan Cameron,MIA,1,8,3,30,1
Tyler Eifert,CIN,1,4,4,30,1
Travis Kelce,KC,1,7,5,88,0
Tim Wright,DET,1,6,3,17,1
Kyle Rudolph,MIN,1,5,2,9,1
Charles Clay,BUF,1,13,9,62,0
Martellus Bennett,CHI,1,11,6,59,0
Chris Gragg,BUF,1,5,5,54,0
Zach Ertz,PHI,1,7,4,43,0
Derek Carrier,WAS,1,4,4,39,0
Scott Chandler,NE,1,3,2,39,0
Josh Hill,NO,1,5,3,38,0
Richard Rodgers,GB,1,5,2,34,0
Jacob Tamme,ATL,1,5,3,32,0
Crockett Gillmore,BAL,1,6,3,30,0
Larry Donnell,NYG,1,5,3,29,0
Owen Daniels,DEN,1,3,2,24,0
Ed Dickson,CAR,1,4,3,24,0
Maxx Williams,BAL,1,4,4,24,0
Dwayne Allen,IND,1,3,3,23,0
James O'Shaughnessy,KC,1,3,2,23,0
Will Tye,NYG,1,3,2,22,0
Justin Perillo,GB,1,2,1,21,0
Coby Fleener,IND,1,6,3,20,0
Levine Toilolo,ATL,1,3,2,18,0
Ryan Hewitt,CIN,1,2,1,16,0
Luke Willson,SEA,1,1,1,16,0
Demetrius Harris,KC,1,2,2,15,0
Troy Niklas,ARI,1,1,1,13,0
Rhett Ellison,MIN,1,2,1,11,0
Vance McDonald,SF,1,1,1,10,0
Darren Fells,ARI,1,2,1,9,0
C.J. Fiedorowicz,HOU,1,2,1,8,0
Marcedes Lewis,JAC,1,2,1,8,0
Jack Doyle,IND,1,2,2,7,0
Heath Miller,PIT,1,1,1,5,0
Anthony Fasano,TEN,1,3,2,1,0
Garrett Celek,SF,1,2,0,0,0
Kellen Davis,NYJ,1,1,0,0,0
Vernon Davis,SF,1,1,0,0,0
Jermaine Gresham,ARI,1,1,0,0,0
Michael Hoomanawanui,NO,1,1,0,0,0
Malcolm Johnson,CLE,1,1,1,0,0
