,,,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Att,Yard,TD,Target,Rec,Yard,TD
Tre Mason,STL,1,14,117,2,4,3,47,1
Le'Veon Bell,PIT,1,21,95,1,11,8,159,0
C.J. Anderson,DEN,1,32,168,0,3,2,17,1
Joique Bell,DET,1,23,91,2,2,2,16,0
LeSean McCoy,PHI,1,25,159,1,0,0,0,0
Rashad Jennings,NYG,1,26,91,2,5,3,3,0
DeMarco Murray,DAL,1,20,73,1,6,6,40,0
Arian Foster,HOU,1,19,79,0,7,5,26,1
Dan Herron,IND,1,8,88,1,2,2,8,0
Lamar Miller,MIA,1,13,56,1,3,2,11,0
Roy Helu,WAS,1,1,5,0,4,4,61,1
Justin Forsett,BAL,1,24,106,0,3,2,17,0
Mark Ingram,NO,1,23,122,0,2,2,-1,0
Doug Martin,TB,1,18,58,1,1,1,3,0
Jamaal Charles,KC,1,10,35,0,6,4,24,1
Eddie Lacy,GB,1,21,98,0,3,2,17,0
Robert Turbin,SEA,1,4,8,0,2,2,47,1
Marshawn Lynch,SEA,1,20,104,0,1,1,7,0
Jonathan Stewart,CAR,1,12,85,0,2,2,25,0
Ryan Mathews,SD,1,12,40,1,2,1,6,0
Chris Johnson,NYJ,1,17,105,0,0,0,0,0
Steven Jackson,ATL,1,18,101,0,0,0,0,0
Fred Jackson,BUF,1,21,70,0,4,3,27,0
Alfred Morris,WAS,1,17,67,0,5,3,16,0
Brandon Bolden,NE,1,3,17,1,0,0,0,0
Erik Lorig,NO,1,0,0,0,1,1,4,1
Stepfan Taylor,ARI,1,0,0,0,2,1,3,1
Chris Ivory,NYJ,1,16,62,0,0,0,0,0
Marcel Reece,OAK,1,4,12,0,8,6,48,0
LeGarrette Blount,NE,1,10,58,0,0,0,0,0
Matt Forte,CHI,1,5,6,0,9,6,52,0
Matt Asiata,MIN,1,14,52,0,4,4,5,0
Carlos Hyde,SF,1,5,19,0,3,3,38,0
Charles Sims,TB,1,5,6,0,4,4,49,0
Theo Riddick,DET,1,0,0,0,7,6,54,0
Denard Robinson,JAC,1,11,44,0,4,3,10,0
Giovani Bernard,CIN,1,10,49,0,1,1,4,0
Jeremy Hill,CIN,1,13,40,0,4,4,12,0
Bobby Rainey,TB,1,1,11,0,2,2,41,0
Chris Polk,PHI,1,11,49,0,0,0,0,0
Darren McFadden,OAK,1,11,27,0,2,2,18,0
Isaiah Crowell,CLE,1,17,29,0,2,1,15,0
Maurice Jones-Drew,OAK,1,5,21,0,4,3,23,0
Dexter McCluster,TEN,1,9,33,0,3,2,11,0
Bishop Sankey,TEN,1,10,42,0,0,0,0,0
Marion Grice,ARI,1,5,16,0,3,3,24,0
Juwan Thompson,DEN,1,10,39,0,0,0,0,0
Pierre Thomas,NO,1,3,21,0,4,2,16,0
Andre Williams,NYG,1,8,21,0,3,2,16,0
Frank Gore,SF,1,10,28,0,2,1,8,0
James Starks,GB,1,1,2,0,2,2,34,0
Terrance West,CLE,1,7,32,0,1,1,4,0
Darren Sproles,PHI,1,1,13,0,3,3,19,0
Shane Vereen,NE,1,3,6,0,2,1,26,0
Devonta Freeman,ATL,1,8,26,0,1,1,4,0
Zac Stacy,STL,1,6,27,0,0,0,0,0
Anthony Dixon,BUF,1,6,25,0,0,0,0,0
Jacquizz Rodgers,ATL,1,4,7,0,3,3,18,0
Bilal Powell,NYJ,1,2,4,0,3,2,19,0
Christine Michael,SEA,1,3,10,0,1,1,12,0
DeAngelo Williams,CAR,1,7,21,0,0,0,0,0
Bernard Pierce,BAL,1,6,16,0,1,0,0,0
Fozzy Whittaker,CAR,1,1,16,0,0,0,0,0
Ka'Deem Carey,CHI,1,2,8,0,1,1,7,0
Lance Dunbar,DAL,1,2,15,0,0,0,0,0
Ben Tate,MIN,1,5,15,0,0,0,0,0
Jonathan Grimes,HOU,1,5,13,0,0,0,0,0
Andre Ellington,ARI,1,5,12,0,0,0,0,0
Trent Richardson,IND,1,8,12,0,0,0,0,0
Bryce Brown,BUF,1,3,11,0,0,0,0,0
Travaris Cadet,NO,1,0,0,0,2,2,11,0
Joe Banyard,MIN,1,2,8,0,0,0,0,0
Daniel Thomas,MIA,1,1,5,0,1,1,3,0
Leon Washington,TEN,1,0,0,0,1,1,8,0
Toby Gerhart,JAC,1,5,7,0,0,0,0,0
Branden Oliver,SD,1,1,7,0,0,0,0,0
Alfred Blue,HOU,1,7,6,0,0,0,0,0
Jordan Todman,JAC,1,1,-1,0,2,1,7,0
Joseph Randle,DAL,1,2,6,0,1,1,-1,0
De'Anthony Thomas,KC,1,0,0,0,2,2,5,0
Mike Tolbert,CAR,1,2,5,0,2,2,0,0
Donald Brown,SD,1,1,-2,0,1,1,6,0
Jonas Gray,NE,1,1,4,0,0,0,0,0
Benny Cunningham,STL,1,2,3,0,0,0,0,0
John Conner,NYJ,1,1,2,0,0,0,0,0
Ray Agnew,CLE,1,0,0,0,1,1,0,0
Dri Archer,PIT,1,1,0,0,0,0,0,0
Patrick DiMarco,ATL,1,0,0,0,1,0,0,0
Shonn Greene,TEN,1,2,0,0,0,0,0,0
Kyle Juszczyk,BAL,1,0,0,0,2,0,0,0
Bruce Miller,SF,1,0,0,0,1,0,0,0
Darrel Young,WAS,1,0,0,0,1,0,0,0
Senorise Perry,CHI,1,0,0,0,1,1,-1,0
