,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Peyton Manning,DEN,1,27,42,462,7,0,2,-2,0
Eli Manning,NYG,1,27,42,450,4,3,2,8,0
Colin Kaepernick,SF,1,27,39,412,3,0,7,22,0
Aaron Rodgers,GB,1,21,37,333,3,1,2,13,0
Michael Vick,PHI,1,15,25,203,2,0,9,54,1
Matt Schaub,HOU,1,34,45,346,3,1,0,0,0
Philip Rivers,SD,1,14,29,195,4,1,1,18,0
Robert Griffin III,WAS,1,30,49,329,2,2,5,24,0
Andrew Luck,IND,1,18,23,178,2,0,6,38,1
Joe Flacco,BAL,1,34,62,362,2,2,0,0,0
Drew Brees,NO,1,26,35,357,2,1,3,2,0
Matthew Stafford,DET,1,28,43,357,2,1,5,2,0
Matt Ryan,ATL,1,25,38,304,2,1,1,12,0
Carson Palmer,ARI,1,26,40,327,2,1,0,0,0
Sam Bradford,STL,1,27,38,299,2,1,2,1,0
Andy Dalton,CIN,1,26,33,282,2,2,2,2,0
Tom Brady,NE,1,29,52,288,2,1,5,-4,0
Jay Cutler,CHI,1,21,33,242,2,1,3,16,0
Geno Smith,NYJ,1,24,38,256,1,1,6,47,0
Tony Romo,DAL,1,36,49,263,2,1,2,-1,0
Russell Wilson,SEA,1,25,33,320,1,0,5,7,0
Alex Smith,KC,1,21,34,173,2,0,4,25,0
Brandon Weeden,CLE,1,26,53,289,1,3,0,0,0
Ryan Tannehill,MIA,1,24,38,272,1,1,5,3,0
EJ Manuel,BUF,1,18,27,150,2,0,3,23,0
Christian Ponder,MIN,1,18,28,236,1,3,4,12,0
Josh Freeman,TB,1,15,31,210,1,1,1,0,0
Cam Newton,CAR,1,16,23,125,1,0,5,38,0
Ben Roethlisberger,PIT,1,21,33,191,1,1,0,0,0
Blaine Gabbert,JAC,1,16,35,121,0,2,4,16,0
Jake Locker,TEN,1,11,20,125,0,0,5,3,0
Chad Henne,JAC,1,3,6,36,0,0,0,0,0
Chase Daniel,KC,1,0,0,0,0,0,2,-2,0
