,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Drew Brees,NO,1,34,41,392,4,0,0,0,0
Peyton Manning,DEN,1,25,36,330,4,0,2,-1,0
Robert Griffin III,WAS,1,24,37,281,3,0,7,44,0
Ryan Fitzpatrick,TEN,1,22,33,264,2,0,3,13,1
Nick Foles,PHI,1,12,18,228,3,0,8,38,0
Russell Wilson,SEA,1,19,26,287,2,0,3,20,0
Andy Dalton,CIN,1,24,51,274,2,3,6,22,0
Case Keenum,HOU,1,22,43,201,3,0,2,13,0
Andrew Luck,IND,1,29,47,353,1,3,4,17,0
Matthew Stafford,DET,1,18,35,219,3,1,2,-1,0
Kellen Clemens,STL,1,9,16,247,2,0,3,2,0
Scott Tolzien,GB,1,24,39,280,1,2,1,19,0
Carson Palmer,ARI,1,20,32,241,2,1,2,-2,0
Ryan Tannehill,MIA,1,27,42,229,2,1,1,2,0
Christian Ponder,MIN,1,17,21,174,2,1,2,13,0
Jay Cutler,CHI,1,21,40,250,1,1,0,0,0
Philip Rivers,SD,1,19,29,218,1,0,5,7,0
Joe Flacco,BAL,1,20,36,140,2,2,1,4,0
Ben Roethlisberger,PIT,1,18,30,204,1,1,0,0,0
Matt Ryan,ATL,1,23,36,172,1,0,3,15,0
EJ Manuel,BUF,1,22,39,155,1,1,2,17,0
Eli Manning,NYG,1,12,22,140,1,1,3,-3,0
Mike Glennon,TB,1,11,21,139,1,1,4,-3,0
Tony Romo,DAL,1,10,24,128,1,0,0,0,0
Cam Newton,CAR,1,16,32,169,0,1,7,17,0
Chad Henne,JAC,1,14,23,180,0,2,1,-1,0
Josh McCown,CHI,1,6,9,62,1,0,0,0,0
Colin Kaepernick,SF,1,11,22,91,0,1,4,16,0
Matt Hasselbeck,IND,1,2,5,68,0,1,1,-1,0
Jake Locker,TEN,1,4,9,24,0,1,3,18,0
Matt Cassel,MIN,1,4,6,47,0,0,1,-1,0
Tyrod Taylor,BAL,1,0,0,0,0,0,1,18,0
Seneca Wallace,GB,1,5,5,25,0,0,0,0,0
Luke McCown,NO,1,0,0,0,0,0,2,-2,0
