,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Rob Gronkowski,NE,1,8,5,94,3
Austin Seferian-Jenkins,TB,1,7,5,110,2
Travis Kelce,KC,1,6,6,106,2
Tyler Eifert,CIN,1,12,9,104,2
Jason Witten,DAL,1,8,8,60,2
Darren Fells,ARI,1,5,4,82,1
Ladarius Green,SD,1,6,5,74,1
Jordan Reed,WAS,1,11,7,63,1
Martellus Bennett,CHI,1,7,5,55,1
Eric Ebron,DET,1,5,4,53,1
Jimmy Graham,SEA,1,8,6,51,1
Delanie Walker,TEN,1,3,3,43,1
Lance Kendricks,STL,1,2,2,42,1
Jared Cook,STL,1,6,5,85,0
Heath Miller,PIT,1,11,8,84,0
Dwayne Allen,IND,1,6,3,17,1
Jordan Cameron,MIA,1,7,4,73,0
Gavin Escobar,DAL,1,2,2,8,1
Scott Chandler,NE,1,1,1,1,1
Kyle Rudolph,MIN,1,7,5,53,0
Vernon Davis,SF,1,6,3,47,0
Zach Ertz,PHI,1,8,3,46,0
Charles Clay,BUF,1,4,4,43,0
Garrett Celek,SF,1,4,3,40,0
Gary Barnidge,CLE,1,5,3,38,0
Richard Rodgers,GB,1,3,3,27,0
Daniel Fells,NYG,1,4,3,33,0
Crockett Gillmore,BAL,1,4,2,23,0
Larry Donnell,NYG,1,4,3,21,0
Jacob Tamme,ATL,1,3,3,19,0
Ben Watson,NO,1,5,3,19,0
Anthony Fasano,TEN,1,1,1,18,0
Ryan Griffin,HOU,1,4,1,18,0
C.J. Fiedorowicz,HOU,1,1,1,15,0
Maxx Williams,BAL,1,2,1,15,0
Malcolm Johnson,CLE,1,2,2,14,0
Jim Dray,CLE,1,3,1,13,0
Greg Olsen,CAR,1,3,1,11,0
Ed Dickson,CAR,1,2,1,9,0
Derek Carrier,WAS,1,2,2,8,0
Brent Celek,PHI,1,1,1,6,0
Owen Daniels,DEN,1,2,2,5,0
Coby Fleener,IND,1,1,1,5,0
Vance McDonald,SF,1,1,1,5,0
Jermaine Gresham,ARI,1,1,1,4,0
Mychal Rivera,OAK,1,2,1,4,0
Levine Toilolo,ATL,1,1,1,4,0
Rhett Ellison,MIN,1,2,1,3,0
Clive Walford,OAK,1,2,1,1,0
Jeff Cumberland,NYJ,1,0,0,0,0
Clay Harbor,JAC,1,1,0,0,0
Nic Jacobs,JAC,1,1,0,0,0
