,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Cam Newton,CAR,1,21,34,246,5,0,4,16,0
Jameis Winston,TB,1,19,29,246,5,0,4,0,0
Carson Palmer,ARI,1,20,31,317,4,2,1,-1,0
Russell Wilson,SEA,1,24,29,260,3,0,9,30,0
Andy Dalton,CIN,1,22,39,315,2,0,8,34,0
Matt Ryan,ATL,1,25,46,280,3,3,2,7,0
Matthew Stafford,DET,1,22,35,282,0,0,6,31,1
Teddy Bridgewater,MIN,1,25,37,296,1,0,4,43,0
Mark Sanchez,PHI,1,26,41,261,2,3,2,14,0
Ryan Fitzpatrick,NYJ,1,19,39,216,1,2,5,12,1
Brock Osweiler,DEN,1,20,27,250,2,0,2,4,0
Marcus Mariota,TEN,1,22,35,231,0,0,5,29,1
Tony Romo,DAL,1,18,28,227,2,2,2,2,0
Matt Hasselbeck,IND,1,23,32,213,2,2,3,8,0
Blaine Gabbert,SF,1,22,34,264,1,0,4,22,0
Aaron Rodgers,GB,1,16,34,212,2,0,3,6,0
Joe Flacco,BAL,1,27,44,299,1,2,0,0,0
T.J. Yates,HOU,1,16,34,229,2,0,3,-5,0
Ryan Tannehill,MIA,1,13,24,188,2,1,3,13,0
Tom Brady,NE,1,20,39,277,1,1,0,0,0
Blake Bortles,JAC,1,21,30,242,1,1,2,9,0
Jay Cutler,CHI,1,18,32,265,0,1,3,29,0
Alex Smith,KC,1,20,25,253,0,0,7,33,0
Kirk Cousins,WAS,1,22,30,207,1,1,1,4,0
Tyrod Taylor,BUF,1,20,36,233,0,0,4,1,0
Case Keenum,STL,1,12,26,136,1,0,2,0,0
Philip Rivers,SD,1,19,30,178,0,1,4,8,0
Derek Carr,OAK,1,13,25,169,0,0,2,8,0
Derek Anderson,CAR,1,0,0,0,0,0,2,2,0
Shaun Hill,MIN,1,0,1,0,0,0,0,0,0
