,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Cam Newton,CAR,1,25,45,340,5,0,8,100,0
Kirk Cousins,WAS,1,22,28,319,4,0,3,11,1
Teddy Bridgewater,MIN,1,17,20,231,4,0,4,17,1
Brock Osweiler,DEN,1,21,44,296,3,1,5,19,1
Ben Roethlisberger,PIT,1,40,55,380,3,2,3,-3,0
Drew Brees,NO,1,34,52,341,3,0,1,11,0
Blake Bortles,JAC,1,23,38,297,1,1,6,44,1
Russell Wilson,SEA,1,21,30,249,3,0,5,46,0
Eli Manning,NYG,1,29,46,245,4,1,1,4,0
Tyrod Taylor,BUF,1,16,27,235,2,0,9,79,0
Philip Rivers,SD,1,26,36,311,3,2,0,0,0
Jameis Winston,TB,1,29,50,363,2,1,2,5,0
Sam Bradford,PHI,1,28,41,361,2,2,1,4,0
Derek Carr,OAK,1,23,47,276,2,2,4,42,0
Jimmy Clausen,BAL,1,26,45,281,2,2,5,30,0
Matthew Stafford,DET,1,22,25,254,3,0,4,-1,0
Tom Brady,NE,1,23,35,267,2,0,0,0,0
Zach Mettenberger,TEN,1,20,28,242,2,2,2,5,0
Ryan Fitzpatrick,NYJ,1,26,39,299,1,1,5,13,0
Blaine Gabbert,SF,1,30,50,295,1,3,2,10,0
Jay Cutler,CHI,1,26,37,231,2,1,1,1,0
Case Keenum,STL,1,14,17,234,2,0,3,-3,0
Carson Palmer,ARI,1,20,32,274,1,0,0,0,0
Ryan Tannehill,MIA,1,20,34,216,0,0,3,4,1
Matt Ryan,ATL,1,22,35,246,1,1,3,0,0
Alex Smith,KC,1,21,25,171,1,0,4,17,0
Aaron Rodgers,GB,1,22,39,204,1,1,1,-1,0
AJ McCarron,CIN,1,15,21,192,1,0,2,2,0
Johnny Manziel,CLE,1,19,32,161,1,1,2,17,0
Kellen Moore,DAL,1,15,25,158,1,3,0,0,0
Matt Hasselbeck,IND,1,17,30,147,1,1,1,1,0
Brandon Weeden,HOU,1,11,18,105,1,0,5,6,0
T.J. Yates,HOU,1,6,10,68,0,1,1,7,0
Matt Cassel,DAL,1,3,8,37,0,1,0,0,0
Marcus Mariota,TEN,1,3,6,32,0,0,0,0,0
Charlie Whitehurst,IND,1,1,2,13,0,0,0,0,0
EJ Manuel,BUF,1,0,0,0,0,0,2,6,0
Kellen Clemens,SD,1,0,0,0,0,0,1,-1,0
Tarvaris Jackson,SEA,1,0,0,0,0,0,1,-1,0
Trevor Siemian,DEN,1,0,0,0,0,0,1,-1,0
Chase Daniel,KC,1,0,0,0,0,0,2,-2,0
Drew Stanton,ARI,1,0,1,0,0,0,2,-2,0
