,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Gavin Escobar,DAL,1,3,3,65,2
Antonio Gates,SD,1,5,3,61,1
Cooper Helfet,SEA,1,6,3,61,1
Charles Clay,MIA,1,5,4,58,1
Owen Daniels,BAL,1,9,6,58,1
Dwayne Allen,IND,1,6,3,52,1
Jeff Cumberland,NYJ,1,4,3,50,1
Greg Olsen,CAR,1,8,8,105,0
Larry Donnell,NYG,1,7,7,90,0
Daniel Fells,NYG,1,1,1,27,1
Lance Kendricks,STL,1,3,2,17,1
Rob Gronkowski,NE,1,10,5,68,0
Coby Fleener,IND,1,5,4,64,0
John Phillips,SD,1,1,1,1,1
Martellus Bennett,CHI,1,8,5,58,0
Niles Paul,WAS,1,2,2,58,0
Jordan Reed,WAS,1,6,5,54,0
Jermaine Gresham,CIN,1,12,10,48,0
Scott Chandler,BUF,1,6,3,36,0
Clay Harbor,JAC,1,6,6,34,0
Travis Kelce,KC,1,4,4,33,0
Dion Sims,MIA,1,2,2,33,0
Brandon Pettigrew,DET,1,6,4,28,0
Julius Thomas,DEN,1,6,4,27,0
Jason Witten,DAL,1,2,2,27,0
Jared Cook,STL,1,3,3,25,0
Garrett Graham,HOU,1,3,2,24,0
Jace Amaro,NYJ,1,5,3,22,0
Brandon Williams,CAR,1,3,2,22,0
Vernon Davis,SF,1,5,2,21,0
John Carlson,ARI,1,4,2,20,0
Jack Doyle,IND,1,1,1,20,0
Levine Toilolo,ATL,1,5,2,20,0
Chris Gragg,BUF,1,2,2,19,0
Mychal Rivera,OAK,1,1,1,18,0
Delanie Walker,TEN,1,5,2,17,0
Dante Rosario,CHI,1,2,2,15,0
Crockett Gillmore,BAL,1,1,1,13,0
Heath Miller,PIT,1,1,1,13,0
Derek Carrier,SF,1,3,1,9,0
C.J. Fiedorowicz,HOU,1,1,1,9,0
Cory Harkey,STL,1,1,1,9,0
Andrew Quarless,GB,1,1,1,9,0
Josh Hill,NO,1,1,1,8,0
Robert Housler,ARI,1,1,1,7,0
Jordan Cameron,CLE,1,6,1,5,0
Brian Leonhardt,OAK,1,2,1,4,0
Virgil Green,DEN,1,0,0,0,0
Ben Watson,NO,1,3,1,3,0
Brandon Bostick,GB,1,2,1,2,0
Richard Rodgers,GB,1,2,1,1,0
Gary Barnidge,CLE,1,1,0,0,0
Chase Coffman,TEN,1,1,0,0,0
Ed Dickson,CAR,1,1,0,0,0
Rhett Ellison,MIN,1,1,0,0,0
Anthony Fasano,KC,1,1,0,0,0
Chase Ford,MIN,1,3,0,0,0
Jimmy Graham,NO,1,2,0,0,0
Demetrius Harris,KC,1,1,0,0,0
Logan Paulsen,WAS,1,1,0,0,0
Jordan Thompson,DET,1,1,0,0,0
