,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Richard Rodgers,GB,1,8,8,146,1
Delanie Walker,TEN,1,12,8,92,1
Greg Olsen,CAR,1,12,9,129,0
Charles Clay,BUF,1,7,4,66,1
Scott Chandler,NE,1,7,4,61,1
Ben Watson,NO,1,8,4,38,1
Ryan Griffin,HOU,1,5,3,29,1
Julius Thomas,JAC,1,5,2,15,1
Craig Stevens,TEN,1,2,2,11,1
Will Tye,NYG,1,4,3,70,0
Eric Ebron,DET,1,2,2,9,1
Zach Ertz,PHI,1,4,2,9,1
Lee Smith,OAK,1,1,1,5,1
Gary Barnidge,CLE,1,8,5,59,0
Clive Walford,OAK,1,5,5,53,0
Antonio Gates,SD,1,9,6,50,0
Jason Witten,DAL,1,9,5,45,0
Travis Kelce,KC,1,3,2,42,0
Luke Willson,SEA,1,3,2,36,0
Jordan Reed,WAS,1,8,3,33,0
Austin Seferian-Jenkins,TB,1,6,3,31,0
Jesse James,PIT,1,5,3,30,0
Ed Dickson,CAR,1,3,3,27,0
Jacob Tamme,ATL,1,4,3,26,0
Vernon Davis,DEN,1,3,2,25,0
Jared Cook,STL,1,9,3,22,0
Darren Fells,ARI,1,1,1,22,0
Virgil Green,DEN,1,1,1,22,0
Ladarius Green,SD,1,6,2,21,0
Coby Fleener,IND,1,8,4,20,0
Michael Hoomanawanui,NO,1,1,1,19,0
Vance McDonald,SF,1,3,2,18,0
Tyler Kroft,CIN,1,1,1,17,0
Brent Celek,PHI,1,1,1,16,0
Nick Boyle,BAL,1,4,3,15,0
Martellus Bennett,CHI,1,4,3,14,0
Owen Daniels,DEN,1,3,2,13,0
Jermaine Gresham,ARI,1,1,1,13,0
Cooper Helfet,SEA,1,4,1,13,0
Mychal Rivera,OAK,1,3,2,13,0
Kyle Rudolph,MIN,1,4,3,13,0
Cameron Brate,TB,1,2,2,12,0
James Hanna,DAL,1,1,1,11,0
Josh Hill,NO,1,3,2,11,0
Kellen Davis,NYJ,1,3,1,8,0
C.J. Fiedorowicz,HOU,1,1,1,8,0
John Phillips,SD,1,1,1,8,0
E.J. Bibbs,CLE,1,1,1,7,0
Crockett Gillmore,BAL,1,1,1,7,0
Ryan Hewitt,CIN,1,1,1,7,0
Marcedes Lewis,JAC,1,1,1,7,0
Dwayne Allen,IND,1,1,1,6,0
Zach Miller,CHI,1,1,1,6,0
Blake Bell,SF,1,3,1,5,0
Jordan Cameron,MIA,1,3,1,4,0
Cory Harkey,STL,1,1,1,4,0
MyCole Pruitt,MIN,1,1,1,4,0
Dion Sims,MIA,1,2,1,4,0
Luke Stocker,TB,1,1,1,4,0
C.J. Uzomah,CIN,1,1,1,4,0
David Johnson,SD,1,0,0,0,0
Rhett Ellison,MIN,1,1,0,0,0
Malcolm Johnson,CLE,1,1,0,0,0
