,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Greg Olsen,CAR,1,11,8,134,2
Gary Barnidge,CLE,1,10,6,105,1
Jimmy Graham,SEA,1,8,7,83,1
Charles Clay,BUF,1,7,5,82,1
Clay Harbor,JAC,1,5,3,43,1
Rob Gronkowski,NE,1,7,4,101,0
Jordan Reed,WAS,1,9,6,96,0
Owen Daniels,DEN,1,9,5,28,1
Travis Kelce,KC,1,10,6,80,0
Delanie Walker,TEN,1,10,7,68,0
Jason Witten,DAL,1,8,6,65,0
Eric Ebron,DET,1,5,4,61,0
Coby Fleener,IND,1,6,4,51,0
Maxx Williams,BAL,1,7,3,44,0
Ben Watson,NO,1,4,4,42,0
Crockett Gillmore,BAL,1,3,3,40,0
John Phillips,SD,1,4,4,35,0
Jermaine Gresham,ARI,1,3,2,34,0
Larry Donnell,NYG,1,6,3,32,0
Jack Doyle,IND,1,3,3,32,0
Zach Ertz,PHI,1,2,2,30,0
Garrett Celek,SF,1,3,3,29,0
Craig Stevens,TEN,1,2,2,29,0
Daniel Fells,NYG,1,3,3,27,0
Anthony Fasano,TEN,1,2,1,26,0
Virgil Green,DEN,1,1,1,26,0
Scott Chandler,NE,1,2,2,25,0
Zach Miller,CHI,1,1,1,21,0
Nick Boyle,BAL,1,2,2,19,0
Ed Dickson,CAR,1,3,2,19,0
Brandon Myers,TB,1,4,3,18,0
Heath Miller,PIT,1,3,2,17,0
Jordan Cameron,MIA,1,8,3,16,0
Martellus Bennett,CHI,1,5,4,15,0
Richard Rodgers,GB,1,4,2,15,0
Andrew Quarless,GB,1,2,2,14,0
Kyle Rudolph,MIN,1,5,2,14,0
Darren Fells,ARI,1,2,1,13,0
Jake Stoneburner,MIA,1,1,1,13,0
Lance Kendricks,STL,1,5,2,12,0
Jeff Cumberland,NYJ,1,4,2,10,0
Josh Hill,NO,1,1,1,10,0
Garrett Graham,HOU,1,1,1,9,0
Lee Smith,OAK,1,1,1,8,0
Jacob Tamme,ATL,1,1,1,8,0
Jared Cook,STL,1,3,1,7,0
Levine Toilolo,ATL,1,1,1,6,0
David Johnson,SD,1,0,0,0,0
Blake Bell,SF,1,1,1,0,0
Tyler Eifert,CIN,1,3,0,0,0
Marcedes Lewis,JAC,1,2,0,0,0
