,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Drew Brees,NO,1,35,45,420,3,1,3,15,0
Ryan Tannehill,MIA,1,26,36,228,3,1,4,15,1
Tony Romo,DAL,1,18,26,275,4,0,1,-2,0
Eli Manning,NYG,1,29,40,338,3,1,0,0,0
Peyton Manning,DEN,1,28,35,257,4,0,2,-2,0
Tom Brady,NE,1,38,53,349,2,1,0,0,0
Zach Mettenberger,TEN,1,20,39,345,2,1,2,-2,0
Josh McCown,TB,1,25,48,341,1,2,3,12,0
Matt Ryan,ATL,1,27,43,273,2,1,2,6,0
Aaron Rodgers,GB,1,19,29,209,2,0,6,34,0
Russell Wilson,SEA,1,17,22,211,1,0,10,73,0
Teddy Bridgewater,MIN,1,21,37,210,2,1,5,32,0
Andrew Luck,IND,1,21,32,253,1,0,8,49,0
Kyle Orton,BUF,1,24,32,230,2,0,1,10,0
Alex Smith,KC,1,20,36,234,2,0,2,5,0
Mark Sanchez,PHI,1,30,43,307,1,2,4,4,0
Philip Rivers,SD,1,29,35,291,1,1,3,-1,0
Colin Kaepernick,SF,1,20,29,256,1,1,9,14,0
Brian Hoyer,CLE,1,23,40,322,0,3,3,12,0
Joe Flacco,BAL,1,18,24,243,1,0,2,2,0
Andy Dalton,CIN,1,24,35,233,1,1,7,6,0
Matthew Stafford,DET,1,18,46,264,0,1,3,18,0
Shaun Hill,STL,1,18,35,198,1,2,1,0,0
Derek Carr,OAK,1,18,35,174,1,0,3,2,0
Jay Cutler,CHI,1,17,27,130,1,0,0,0,0
Drew Stanton,ARI,1,14,26,149,0,1,4,23,0
Blake Bortles,JAC,1,15,27,146,0,1,5,24,0
Ryan Mallett,HOU,1,21,45,189,0,1,1,2,0
Robert Griffin III,WAS,1,11,19,106,0,0,4,11,0
Geno Smith,NYJ,1,10,12,89,0,0,2,4,0
Michael Vick,NYJ,1,7,19,76,0,1,2,4,0
