,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Ben Roethlisberger,PIT,1,40,49,522,6,0,1,-1,0
Tom Brady,NE,1,30,35,354,5,0,2,0,0
Andrew Luck,IND,1,26,45,400,3,2,3,26,0
Aaron Rodgers,GB,1,28,39,418,1,2,2,21,1
Nick Foles,PHI,1,36,62,411,2,2,2,14,0
Kyle Orton,BUF,1,10,17,238,4,0,2,6,0
Drew Brees,NO,1,27,32,311,3,0,1,6,0
Andy Dalton,CIN,1,21,28,266,0,1,6,14,2
Peyton Manning,DEN,1,25,35,286,3,0,1,0,0
Philip Rivers,SD,1,30,41,252,3,2,1,17,0
Matthew Stafford,DET,1,24,47,325,2,1,3,9,0
Carson Palmer,ARI,1,20,42,329,2,0,0,0,0
Jay Cutler,CHI,1,20,30,227,3,1,1,6,0
Zach Mettenberger,TEN,1,27,41,299,2,1,1,-1,0
Colt McCoy,WAS,1,25,30,299,0,1,7,16,1
Derek Carr,OAK,1,34,54,328,1,0,2,-3,0
Matt Ryan,ATL,1,20,27,228,2,1,1,6,0
Blake Bortles,JAC,1,18,34,221,1,2,6,48,0
Ryan Tannehill,MIA,1,16,29,196,1,1,5,48,0
Brian Hoyer,CLE,1,19,28,275,1,0,2,1,0
Russell Wilson,SEA,1,20,32,199,1,1,6,35,0
Ryan Fitzpatrick,HOU,1,19,35,227,1,0,4,12,0
Teddy Bridgewater,MIN,1,24,42,241,1,0,1,3,0
Tony Romo,DAL,1,17,28,209,1,0,1,1,0
Michael Vick,NYJ,1,18,36,153,0,1,8,69,0
Mike Glennon,TB,1,19,28,171,1,1,3,13,0
Alex Smith,KC,1,24,28,226,0,0,4,24,0
Austin Davis,STL,1,15,25,160,1,1,1,1,0
Joe Flacco,BAL,1,17,34,195,0,2,2,12,0
Cam Newton,CAR,1,12,22,171,0,1,12,24,0
Brandon Weeden,DAL,1,4,6,69,1,0,1,-5,0
Jimmy Clausen,CHI,1,1,5,22,0,0,0,0,0
Jimmy Garoppolo,NE,1,3,3,22,0,0,1,-1,0
Matt Flynn,GB,1,1,1,8,0,0,0,0,0
Geno Smith,NYJ,1,2,8,5,0,3,1,0,0
Matt Schaub,OAK,1,0,1,0,0,1,0,0,0
