,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing
Player,Team,G,Target,Rec,Yard,TD,Att,Yard,TD
Allen Robinson,JAC,1,15,10,153,3,0,0,0
Antonio Brown,PIT,1,11,8,118,2,0,0,0
Jeremy Maclin,KC,1,10,9,95,2,0,0,0
Doug Baldwin,SEA,1,7,5,94,2,0,0,0
Odell Beckham Jr.,NYG,1,11,6,149,1,0,0,0
Ted Ginn Jr.,CAR,1,10,5,80,2,0,0,0
Brandon Marshall,NYJ,1,13,12,131,1,0,0,0
A.J. Green,CIN,1,6,5,128,1,0,0,0
Dorial Green-Beckham,TEN,1,6,5,119,1,0,0,0
Martavis Bryant,PIT,1,8,4,114,1,0,0,0
Sammy Watkins,BUF,1,4,3,109,1,0,0,0
Brandin Cooks,NO,1,10,6,104,1,0,0,0
DeAndre Hopkins,HOU,1,9,5,88,1,0,0,0
DeSean Jackson,WAS,1,7,6,80,1,0,0,0
Torrey Smith,SF,1,3,2,76,1,0,0,0
Brandon Coleman,NO,1,7,4,73,1,0,0,0
DeVante Parker,MIA,1,5,3,63,1,0,0,0
Danny Amendola,NE,1,13,7,62,1,0,0,0
Mike Evans,TB,1,7,5,61,1,0,0,0
Demaryius Thomas,DEN,1,6,6,61,1,0,0,0
Marvin Jones,CIN,1,5,5,55,1,0,0,0
John Brown,ARI,1,8,6,113,0,0,0,0
Markus Wheaton,PIT,1,6,3,50,1,0,0,0
Michael Crabtree,OAK,1,11,5,45,1,0,0,0
Michael Floyd,ARI,1,12,7,104,0,0,0,0
Calvin Johnson,DET,1,8,3,44,1,0,0,0
Eric Decker,NYJ,1,12,8,101,0,0,0,0
Tyler Lockett,SEA,1,7,7,90,0,1,7,0
Jordan Matthews,PHI,1,6,3,36,1,0,0,0
J.J. Nelson,ARI,1,3,2,34,1,0,0,0
Julio Jones,ATL,1,17,8,93,0,0,0,0
Cecil Shorts,HOU,1,10,6,91,0,1,1,0
Vincent Jackson,TB,1,5,3,87,0,0,0,0
Jerricho Cotchery,CAR,1,3,3,26,1,0,0,0
Alshon Jeffery,CHI,1,12,4,85,0,0,0,0
Brian Hartline,CLE,1,11,8,83,0,0,0,0
Davante Adams,GB,1,7,4,21,1,0,0,0
Robert Woods,BUF,1,5,2,19,1,0,0,0
Rashad Greene,JAC,1,3,2,15,1,0,0,0
Devin Funchess,CAR,1,3,1,13,1,0,0,0
Chris Givens,BAL,1,8,3,68,0,0,0,0
Golden Tate,DET,1,10,8,63,0,1,3,0
Nick Williams,ATL,1,2,1,5,1,0,0,0
Terrance Williams,DAL,1,3,2,63,0,0,0,0
Dez Bryant,DAL,1,7,3,62,0,0,0,0
Amari Cooper,OAK,1,8,4,69,0,1,-7,0
Larry Fitzgerald,ARI,1,11,8,55,0,0,0,0
Pierre Garcon,WAS,1,7,5,54,0,0,0,0
Seth Roberts,OAK,1,5,4,51,0,0,0,0
Kamar Aiken,BAL,1,11,6,48,0,0,0,0
Keshawn Martin,NE,1,8,3,45,0,0,0,0
Andre Johnson,IND,1,3,2,44,0,0,0,0
Nate Washington,HOU,1,11,6,44,0,0,0,0
Jeremy Butler,BAL,1,5,4,43,0,0,0,0
Mike Wallace,MIN,1,3,2,43,0,0,0,0
Kenny Britt,STL,1,6,2,41,0,0,0,0
Lucky Whitehead,DAL,1,1,1,5,0,2,35,0
Tavon Austin,STL,1,3,1,24,0,2,14,0
Anquan Boldin,SF,1,13,5,37,0,0,0,0
Quincy Enunwa,NYJ,1,4,2,37,0,0,0,0
T.J. Jones,DET,1,3,2,37,0,0,0,0
T.Y. Hilton,IND,1,5,3,36,0,0,0,0
Darius Jennings,CLE,1,7,5,35,0,0,0,0
Justin Hardy,ATL,1,3,2,34,0,0,0,0
Marc Mariani,CHI,1,2,2,33,0,0,0,0
Donte Moncrief,IND,1,1,1,33,0,0,0,0
Roddy White,ATL,1,4,3,33,0,0,0,0
Javontee Herndon,SD,1,2,2,30,0,0,0,0
Jamison Crowder,WAS,1,4,3,29,0,0,0,0
Randall Cobb,GB,1,5,4,29,0,1,-1,0
Kendall Wright,TEN,1,4,3,28,0,0,0,0
Brandon LaFell,NE,1,9,4,27,0,0,0,0
Emmanuel Sanders,DEN,1,8,3,19,0,1,5,0
Jarius Wright,MIN,1,2,2,24,0,0,0,0
Rueben Randle,NYG,1,6,2,22,0,0,0,0
Albert Wilson,KC,1,3,1,17,0,1,5,0
Darrius Heyward-Bey,PIT,1,2,1,21,0,0,0,0
Marqise Lee,JAC,1,4,1,17,0,1,4,0
James Jones,GB,1,3,1,19,0,0,0,0
Devin Street,DAL,1,1,1,18,0,0,0,0
Bryan Walters,JAC,1,2,2,18,0,0,0,0
Daniel Brown,BAL,1,1,1,17,0,0,0,0
Jared Abbrederis,GB,1,3,1,16,0,0,0,0
Josh Bellamy,CHI,1,4,1,16,0,0,0,0
Stefon Diggs,MIN,1,6,2,22,0,1,-6,0
Bradley Marquez,STL,1,3,3,16,0,0,0,0
Mario Alford,CIN,1,1,1,15,0,0,0,0
Malcom Floyd,SD,1,4,1,15,0,0,0,0
Corey Fuller,DET,1,2,1,15,0,0,0,0
Dontrelle Inman,SD,1,2,1,15,0,0,0,0
Wes Welker,STL,1,3,2,15,0,0,0,0
Marques Colston,NO,1,3,1,14,0,0,0,0
Riley Cooper,PHI,1,1,1,14,0,0,0,0
Marlon Moore,CLE,1,1,1,14,0,0,0,0
Brian Quick,STL,1,6,1,14,0,0,0,0
Chris Hogan,BUF,1,3,1,12,0,0,0,0
Griff Whalen,IND,1,6,2,9,0,0,0,0
Harry Douglas,TEN,1,3,1,8,0,0,0,0
Dwayne Harris,NYG,1,2,1,8,0,0,0,0
Philly Brown,CAR,1,4,2,7,0,0,0,0
Hakeem Nicks,NYG,1,1,1,7,0,0,0,0
Mohamed Sanu,CIN,1,1,0,0,0,1,7,0
Adam Humphries,TB,1,1,1,6,0,0,0,0
Damaris Johnson,NE,1,0,0,0,0,1,6,0
Jarvis Landry,MIA,1,5,2,5,0,0,0,0
Myles White,NYG,1,2,1,5,0,0,0,0
Jonathan Krause,PHI,1,2,1,4,0,0,0,0
Andre Caldwell,DEN,1,0,0,0,0,1,3,0
Andre Holmes,OAK,1,2,1,1,0,0,0,0
Nelson Agholor,PHI,1,2,0,0,0,0,0,0
Cole Beasley,DAL,1,3,0,0,0,0,0,0
Travis Benjamin,CLE,1,2,0,0,0,0,0,0
Bruce Ellington,SF,1,1,1,0,0,0,0,0
Bennie Fowler,DEN,1,2,0,0,0,0,0,0
T.J. Graham,NO,1,1,1,0,0,0,0,0
Jeff Janis,GB,1,1,0,0,0,0,0,0
Jermaine Kearse,SEA,1,1,0,0,0,0,0,0
Kenny Stills,MIA,1,1,0,0,0,0,0,0
Jaelen Strong,HOU,1,2,0,0,0,0,0,0
Brandon Tate,CIN,1,1,0,0,0,0,0,0
