,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Philip Rivers,SD,1,27,39,392,3,0,1,1,0
Tom Brady,NE,1,34,50,344,3,0,2,0,0
Matthew Stafford,DET,1,26,46,297,3,4,2,6,0
Ryan Fitzpatrick,TEN,1,30,42,320,2,0,5,26,0
Alex Smith,KC,1,26,38,294,3,1,2,-3,0
Josh McCown,CHI,1,36,47,352,2,1,2,4,0
Colin Kaepernick,SF,1,15,24,235,3,0,9,20,0
Cam Newton,CAR,1,19,38,174,1,1,8,51,1
Carson Palmer,ARI,1,26,37,314,2,0,0,0,0
Ryan Tannehill,MIA,1,28,42,310,1,1,4,36,0
Drew Brees,NO,1,23,33,278,2,0,4,-6,0
Tony Romo,DAL,1,23,38,250,2,1,3,1,0
Mike Glennon,TB,1,14,21,247,2,0,4,-17,0
Ben Roethlisberger,PIT,1,22,34,217,2,0,2,-3,0
Joe Flacco,BAL,1,17,26,273,1,1,0,0,0
Matt McGloin,OAK,1,19,32,260,1,1,2,6,0
Matt Flynn,GB,1,21,36,218,1,0,4,24,0
Eli Manning,NYG,1,16,30,174,2,0,0,0,0
Matt Ryan,ATL,1,30,39,292,0,0,2,10,0
Peyton Manning,DEN,1,19,36,150,2,1,1,0,0
Andrew Luck,IND,1,20,39,163,1,1,2,31,0
Christian Ponder,MIN,1,21,30,233,1,0,3,-5,0
Brandon Weeden,CLE,1,13,30,209,1,1,1,2,0
Scott Tolzien,GB,1,7,17,98,0,0,2,25,1
Chad Henne,JAC,1,23,32,239,0,0,3,3,0
Kellen Clemens,STL,1,10,22,167,1,0,3,-3,0
Case Keenum,HOU,1,18,34,169,0,1,1,2,0
Robert Griffin III,WAS,1,17,27,127,0,1,6,22,0
Geno Smith,NYJ,1,9,22,127,0,2,3,6,0
Jason Campbell,CLE,1,14,22,124,0,0,1,-1,0
Tyrod Taylor,BAL,1,0,1,0,0,0,4,7,0
