,,,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Att,Yard,TD,Target,Rec,Yard,TD
Arian Foster,HOU,1,20,151,2,6,4,22,1
Jamaal Charles,KC,1,13,73,2,4,4,44,0
Mark Ingram,NO,1,24,172,1,2,1,3,0
Matt Forte,CHI,1,19,114,0,8,6,54,1
DeMarco Murray,DAL,1,19,141,0,4,4,80,0
Lorenzo Taliaferro,BAL,1,7,27,2,3,2,42,0
Eddie Lacy,GB,1,13,59,0,9,8,123,0
Chris Ivory,NYJ,1,13,43,2,2,0,0,0
Le'Veon Bell,PIT,1,24,92,0,7,6,56,0
Ahmad Bradshaw,IND,1,6,35,1,7,7,52,0
Andre Ellington,ARI,1,23,71,1,6,3,14,0
Alfred Morris,WAS,1,18,73,1,1,1,12,0
Juwan Thompson,DEN,1,7,24,2,1,0,0,0
Theo Riddick,DET,1,3,5,0,12,8,74,1
Ronnie Hillman,DEN,1,20,109,0,4,3,29,0
Steven Jackson,ATL,1,18,60,1,0,0,0,0
Denard Robinson,JAC,1,18,108,0,2,1,10,0
Knile Davis,KC,1,16,49,1,1,0,0,0
Giovani Bernard,CIN,1,16,45,1,2,2,2,0
Lamar Miller,MIA,1,14,78,0,3,3,21,0
LeSean McCoy,PHI,1,21,83,0,5,3,14,0
Jonathan Stewart,CAR,1,16,79,0,5,3,15,0
Ben Tate,CLE,1,15,26,1,1,1,8,0
Bilal Powell,NYJ,1,4,28,1,0,0,0,0
Jonas Gray,NE,1,17,86,0,0,0,0,0
Justin Forsett,BAL,1,17,68,0,5,3,17,0
Darren McFadden,OAK,1,12,59,0,6,4,26,0
Jerick McKinnon,MIN,1,16,83,0,1,1,-1,0
Devonta Freeman,ATL,1,3,5,0,1,1,7,1
Bobby Rainey,TB,1,8,25,0,6,6,41,0
Alfred Blue,HOU,1,14,42,0,1,1,22,0
Marshawn Lynch,SEA,1,14,62,0,4,1,2,0
Branden Oliver,SD,1,13,36,0,8,7,27,0
Frank Summers,BUF,1,1,2,1,0,0,0,0
Joique Bell,DET,1,14,39,0,3,2,22,0
Bishop Sankey,TEN,1,9,35,0,4,4,25,0
Jeremy Hill,CIN,1,10,25,0,4,4,28,0
Travaris Cadet,NO,1,1,7,0,5,4,40,0
Shane Vereen,NE,1,5,22,0,5,3,23,0
Anthony Dixon,BUF,1,22,44,0,0,0,0,0
Roy Helu,WAS,1,5,29,0,2,2,14,0
Robert Turbin,SEA,1,2,10,0,3,3,32,0
Dexter McCluster,TEN,1,2,1,0,4,4,39,0
Leon Washington,TEN,1,0,0,0,3,3,40,0
Zac Stacy,STL,1,5,17,0,4,3,20,0
Benny Cunningham,STL,1,4,27,0,1,1,8,0
Marcel Reece,OAK,1,0,0,0,6,5,34,0
Ka'Deem Carey,CHI,1,6,33,0,0,0,0,0
Tre Mason,STL,1,7,32,0,1,1,1,0
LeGarrette Blount,PIT,1,6,21,0,2,2,11,0
Jacquizz Rodgers,ATL,1,1,2,0,3,3,28,0
Daniel Thomas,MIA,1,4,18,0,2,2,12,0
Matt Asiata,MIN,1,4,1,0,5,4,26,0
Doug Martin,TB,1,10,27,0,2,2,-1,0
Anthony Sherman,KC,1,0,0,0,1,1,24,0
Joseph Randle,DAL,1,3,23,0,0,0,0,0
Will Johnson,PIT,1,0,0,0,2,2,22,0
Kyle Juszczyk,BAL,1,0,0,0,1,1,21,0
Terrance West,CLE,1,7,11,0,2,1,10,0
Chris Johnson,NYJ,1,3,7,0,2,2,13,0
Lance Dunbar,DAL,1,1,6,0,2,1,11,0
James White,NE,1,6,17,0,0,0,0,0
Bryce Brown,BUF,1,7,15,0,3,0,0,0
Maurice Jones-Drew,OAK,1,6,8,0,2,1,6,0
Chris Polk,PHI,1,3,13,0,1,1,1,0
De'Anthony Thomas,KC,1,1,-3,0,4,3,17,0
Toby Gerhart,JAC,1,4,10,0,1,1,3,0
Robert Hughes,ARI,1,0,0,0,2,2,13,0
Christine Michael,SEA,1,4,12,0,0,0,0,0
Darrel Young,WAS,1,0,0,0,1,1,12,0
Ronnie Brown,SD,1,1,8,0,1,1,2,0
Jordan Todman,JAC,1,2,10,0,2,2,0,0
Isaiah Crowell,CLE,1,1,1,0,1,1,8,0
Chris Ogbonnaya,CAR,1,1,9,0,0,0,0,0
Erik Lorig,NO,1,2,3,0,1,1,5,0
Jonathan Grimes,HOU,1,2,7,0,0,0,0,0
Dan Herron,IND,1,1,2,0,1,1,5,0
Jed Collins,DET,1,2,5,0,0,0,0,0
Silas Redd,WAS,1,1,5,0,0,0,0,0
Antone Smith,ATL,1,3,5,0,0,0,0,0
James Starks,GB,1,2,5,0,1,0,0,0
DuJuan Harris,GB,1,2,4,0,0,0,0,0
Austin Johnson,NO,1,2,1,0,1,1,2,0
George Winn,DET,1,1,2,0,1,0,0,0
Shonn Greene,TEN,1,1,1,0,0,0,0,0
Mike James,TB,1,1,1,0,0,0,0,0
Darrin Reaves,CAR,1,1,1,0,0,0,0,0
C.J. Anderson,DEN,1,1,0,0,0,0,0,0
Dri Archer,PIT,1,0,0,0,1,0,0,0
Patrick DiMarco,ATL,1,0,0,0,2,1,0,0
Jerome Felton,MIN,1,0,0,0,1,0,0,0
Jamize Olawale,OAK,1,1,0,0,0,0,0,0
