,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing
Player,Team,G,Target,Rec,Yard,TD,Att,Yard,TD
Torrey Smith,BAL,1,12,5,166,1,0,0,0
Nate Washington,TEN,1,8,4,105,2,0,0,0
Victor Cruz,NYG,1,16,10,164,1,0,0,0
Greg Jennings,MIN,1,4,3,92,2,0,0,0
Demaryius Thomas,DEN,1,10,9,86,2,0,0,0
Dez Bryant,DAL,1,9,6,81,2,0,0,0
Wes Welker,DEN,1,9,7,76,2,0,0,0
Alshon Jeffery,CHI,1,11,5,107,1,1,27,0
Kenbrell Thompkins,NE,1,11,6,127,1,0,0,0
Jerricho Cotchery,PIT,1,6,5,103,1,0,0,0
Reggie Wayne,IND,1,11,5,100,1,0,0,0
Robert Woods,BUF,1,8,4,80,1,1,13,0
Anquan Boldin,SF,1,7,5,90,1,0,0,0
Larry Fitzgerald,ARI,1,9,6,68,1,0,0,0
Jerome Simpson,MIN,1,11,7,124,0,0,0,0
Pierre Garcon,WAS,1,7,6,59,1,0,0,0
Dwayne Bowe,KC,1,7,4,58,1,0,0,0
Julian Edelman,NE,1,9,7,118,0,0,0,0
Andre Johnson,HOU,1,12,9,110,0,0,0,0
Julio Jones,ATL,1,13,6,108,0,0,0,0
Calvin Johnson,DET,1,10,4,44,1,0,0,0
Jeff Maehl,PHI,1,2,2,43,1,0,0,0
Antonio Brown,PIT,1,13,12,88,0,1,10,0
Mike Williams,TB,1,6,4,38,1,0,0,0
Marques Colston,NO,1,8,7,96,0,0,0,0
Marlon Brown,BAL,1,8,4,34,1,0,0,0
Eric Decker,DEN,1,7,5,88,0,0,0,0
Michael Floyd,ARI,1,10,5,87,0,0,0,0
Keenan Allen,SD,1,6,5,80,0,0,0,0
Earl Bennett,CHI,1,4,2,19,1,0,0,0
Brandon Marshall,CHI,1,14,7,79,0,0,0,0
Justin Hunter,TEN,1,1,1,16,1,0,0,0
Brandon Gibson,MIA,1,8,6,71,0,0,0,0
Josh Gordon,CLE,1,9,4,71,0,0,0,0
Terrance Williams,DAL,1,8,7,71,0,0,0,0
Harry Douglas,ATL,1,6,5,68,0,0,0,0
Denarius Moore,OAK,1,6,4,66,0,0,0,0
Jeremy Kerley,NYJ,1,5,4,65,0,0,0,0
Cecil Shorts,JAC,1,12,7,61,0,0,0,0
Austin Pettis,STL,1,9,5,59,0,0,0,0
Ace Sanders,JAC,1,8,4,59,0,0,0,0
Kris Durham,DET,1,4,3,58,0,0,0,0
Emmanuel Sanders,PIT,1,8,4,57,0,0,0,0
Kendall Wright,TEN,1,9,5,56,0,0,0,0
Damian Williams,TEN,1,7,5,53,0,0,0,0
A.J. Green,CIN,1,15,7,51,0,0,0,0
T.Y. Hilton,IND,1,9,5,48,0,1,3,0
Deonte Thompson,BAL,1,5,4,50,0,0,0,0
Chris Givens,STL,1,8,4,49,0,0,0,0
Leonard Hankerson,WAS,1,7,4,49,0,0,0,0
Tandon Doss,BAL,1,9,4,47,0,0,0,0
T.J. Graham,BUF,1,3,2,32,0,1,14,0
Eddie Royal,SD,1,3,3,42,0,0,0,0
Vincent Brown,SD,1,9,7,41,0,0,0,0
Doug Baldwin,SEA,1,4,3,39,0,0,0,0
Travis Benjamin,CLE,1,1,1,39,0,0,0,0
Kenny Stills,NO,1,6,4,38,0,0,0,0
Brian Hartline,MIA,1,4,3,34,0,0,0,0
DeSean Jackson,PHI,1,6,2,34,0,0,0,0
Darrius Heyward-Bey,IND,1,6,3,33,0,0,0,0
Hakeem Nicks,NYG,1,9,3,33,0,0,0,0
Roddy White,ATL,1,9,3,28,0,0,0,0
DeAndre Hopkins,HOU,1,3,2,27,0,0,0,0
Vincent Jackson,TB,1,11,2,27,0,0,0,0
Markus Wheaton,PIT,1,5,3,26,0,0,0,0
Davone Bess,CLE,1,6,2,25,0,0,0,0
Riley Cooper,PHI,1,2,2,25,0,0,0,0
Santonio Holmes,NYJ,1,5,1,25,0,0,0,0
Josh Boyce,NE,1,3,1,24,0,0,0,0
Clyde Gates,NYJ,1,3,3,24,0,0,0,0
Mike Wallace,MIA,1,7,3,24,0,0,0,0
Donnie Avery,KC,1,10,2,23,0,0,0,0
Rishard Matthews,MIA,1,2,1,21,0,0,0,0
Jonathan Baldwin,SF,1,2,2,19,0,0,0,0
Mohamed Sanu,CIN,1,6,3,19,0,0,0,0
Rod Streater,OAK,1,3,2,18,0,0,0,0
Nick Toon,NO,1,2,1,18,0,0,0,0
Golden Tate,SEA,1,5,3,17,0,0,0,0
Cole Beasley,DAL,1,3,3,16,0,0,0,0
Dwayne Harris,DAL,1,2,1,13,0,0,0,0
Brian Quick,STL,1,3,1,12,0,0,0,0
Sidney Rice,SEA,1,5,1,11,0,0,0,0
Aaron Dobson,NE,1,3,1,10,0,0,0,0
Cordarrelle Patterson,MIN,1,2,1,9,0,0,0,0
Ben Obomanu,NYJ,1,1,1,8,0,0,0,0
Jason Avant,PHI,1,4,1,7,0,0,0,0
Rueben Randle,NYG,1,4,1,7,0,0,0,0
Tavon Austin,STL,1,8,2,6,0,0,0,0
Brice Butler,OAK,1,3,1,6,0,0,0,0
Keshawn Martin,HOU,1,6,1,6,0,0,0,0
Josh Morgan,WAS,1,1,1,6,0,0,0,0
Andre Roberts,ARI,1,2,1,6,0,0,0,0
Dane Sanzenbacher,CIN,1,1,1,6,0,0,0,0
Jarius Wright,MIN,1,1,1,6,0,0,0,0
Andre Caldwell,DEN,1,2,1,5,0,0,0,0
Jeremy Ebert,JAC,1,3,1,5,0,0,0,0
Jacoby Ford,OAK,1,0,0,0,0,1,3,0
Ryan Broyles,DET,1,1,0,0,0,0,0,0
Stephen Hill,NYJ,1,1,0,0,0,0,0,0
Marvin Jones,CIN,1,3,0,0,0,0,0,0
Jermaine Kearse,SEA,1,1,0,0,0,0,0,0
Greg Little,CLE,1,2,0,0,0,0,0,0
Robert Meachem,NO,1,1,0,0,0,0,0,0
Santana Moss,WAS,1,3,0,0,0,0,0,0
Quinton Patton,SF,1,1,1,0,0,0,0,0
Joe Webb,MIN,1,1,0,0,0,0,0,0
Kyle Williams,SF,1,1,0,0,0,0,0,0
Stephen Williams,SEA,1,1,0,0,0,0,0,0
