,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Aaron Rodgers,GB,1,25,42,346,3,0,6,28,0
Philip Rivers,SD,1,28,37,284,3,0,11,17,0
Jay Cutler,CHI,1,23,34,176,4,0,5,25,0
Peyton Manning,DEN,1,21,26,242,3,0,1,-1,0
Colin Kaepernick,SF,1,21,34,248,1,3,9,66,0
Derek Carr,OAK,1,27,42,263,1,2,4,58,0
Nick Foles,PHI,1,21,37,331,1,1,4,22,0
Andrew Luck,IND,1,20,34,172,3,1,4,20,0
Eli Manning,NYG,1,26,39,277,2,2,1,5,0
Josh McCown,TB,1,16,21,179,0,1,2,6,2
Geno Smith,NYJ,1,16,32,176,1,1,7,26,1
Kirk Cousins,WAS,1,22,33,250,2,0,1,-1,0
Drew Brees,NO,1,27,40,237,2,1,1,3,0
Cam Newton,CAR,1,22,34,281,1,0,4,19,0
Russell Wilson,SEA,1,17,25,202,2,0,2,18,0
Matthew Stafford,DET,1,27,48,291,1,1,1,8,0
Matt Ryan,ATL,1,24,44,231,1,3,3,28,0
Andy Dalton,CIN,1,15,23,252,1,0,3,6,0
Ryan Tannehill,MIA,1,31,49,241,1,1,4,11,0
Alex Smith,KC,1,26,42,255,0,0,5,42,0
Joe Flacco,BAL,1,21,29,166,2,0,5,3,0
Jake Locker,TEN,1,18,34,234,1,2,2,9,0
Matt Cassel,MIN,1,19,36,202,1,4,3,16,0
Chad Henne,JAC,1,14,28,193,1,1,3,17,0
Ryan Fitzpatrick,HOU,1,14,19,139,2,0,0,0,0
EJ Manuel,BUF,1,16,26,202,1,0,4,6,0
Brian Hoyer,CLE,1,24,40,204,1,0,0,0,0
Tony Romo,DAL,1,19,29,176,1,0,0,0,0
Austin Davis,STL,1,22,29,235,0,0,1,0,0
Tom Brady,NE,1,15,22,149,1,0,1,0,0
Ben Roethlisberger,PIT,1,22,37,217,0,1,0,0,0
Drew Stanton,ARI,1,14,29,167,0,0,2,-2,0
Robert Griffin III,WAS,1,2,3,38,0,0,2,22,0
Johnny Manziel,CLE,1,0,1,0,0,0,0,0,0
Michael Vick,NYJ,1,0,0,0,0,0,0,0,0
Ryan Mallett,HOU,1,0,0,0,0,0,1,-1,0
