,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Ben Watson,NO,1,10,9,147,1
Rob Gronkowski,NE,1,9,6,113,1
Jacob Tamme,ATL,1,12,10,103,1
Greg Olsen,CAR,1,12,6,79,1
Troy Niklas,ARI,1,2,2,12,2
Gary Barnidge,CLE,1,11,7,53,1
Travis Kelce,KC,1,8,6,49,1
Cameron Brate,TB,1,2,2,48,1
Heath Miller,PIT,1,13,10,105,0
Coby Fleener,IND,1,11,7,43,1
Luke Willson,SEA,1,2,2,41,1
Jimmy Graham,SEA,1,10,7,75,0
Crockett Gillmore,BAL,1,4,2,8,1
Delanie Walker,TEN,1,6,6,62,0
Kellen Davis,NYJ,1,1,1,1,1
Virgil Green,DEN,1,3,3,61,0
Jared Cook,STL,1,3,2,57,0
Antonio Gates,SD,1,5,4,56,0
Owen Daniels,DEN,1,3,3,44,0
Tyler Eifert,CIN,1,8,4,39,0
Jordan Cameron,MIA,1,5,2,34,0
Martellus Bennett,CHI,1,5,3,32,0
Brandon Myers,TB,1,3,3,32,0
Vernon Davis,SF,1,8,6,24,0
Eric Ebron,DET,1,5,3,24,0
Larry Donnell,NYG,1,1,1,22,0
Ryan Hewitt,CIN,1,1,1,22,0
Kyle Rudolph,MIN,1,2,2,22,0
Jermaine Gresham,ARI,1,4,2,19,0
Richard Rodgers,GB,1,4,2,16,0
Jason Witten,DAL,1,4,2,16,0
Nick Boyle,BAL,1,2,1,15,0
C.J. Fiedorowicz,HOU,1,2,2,15,0
MyCole Pruitt,MIN,1,3,2,15,0
Vance McDonald,SF,1,2,1,13,0
Clive Walford,OAK,1,3,2,13,0
John Phillips,SD,1,2,2,11,0
Ladarius Green,SD,1,1,1,10,0
Scott Chandler,NE,1,2,1,9,0
Anthony Fasano,TEN,1,1,1,9,0
Craig Stevens,TEN,1,1,1,9,0
Jeff Cumberland,NYJ,1,3,1,7,0
Lance Kendricks,STL,1,2,2,7,0
Levine Toilolo,ATL,1,1,1,7,0
Will Tye,NYG,1,2,2,7,0
Justin Perillo,GB,1,1,1,6,0
Dion Sims,MIA,1,1,1,6,0
Lee Smith,OAK,1,1,1,6,0
Josh Hill,NO,1,2,1,5,0
Dwayne Allen,IND,1,3,1,4,0
Matt Spaeth,PIT,1,1,1,4,0
Garrett Celek,SF,1,1,0,0,0
Jim Dray,CLE,1,2,0,0,0
Garrett Graham,HOU,1,1,0,0,0
James Hanna,DAL,1,2,1,0,0
Demetrius Harris,KC,1,1,0,0,0
Michael Hoomanawanui,NO,1,1,0,0,0
Brandon Pettigrew,DET,1,1,0,0,0
Luke Stocker,TB,1,1,0,0,0
