,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Rob Gronkowski,NE,1,10,9,105,1
Mychal Rivera,OAK,1,11,8,38,2
Jimmy Graham,NO,1,7,7,83,1
Coby Fleener,IND,1,11,4,77,1
Travis Kelce,KC,1,5,4,67,1
Chase Ford,MIN,1,7,5,66,1
Charles Clay,MIA,1,8,5,65,1
Dwayne Allen,IND,1,5,4,48,1
Matt Spaeth,PIT,1,1,1,33,1
Julius Thomas,DEN,1,2,2,33,1
Larry Donnell,NYG,1,8,4,25,1
Anthony Fasano,KC,1,3,3,24,1
John Carlson,ARI,1,8,2,19,1
Jason Witten,DAL,1,7,6,62,0
Crockett Gillmore,BAL,1,2,1,1,1
Owen Daniels,BAL,1,9,6,53,0
Jermaine Gresham,CIN,1,6,5,36,0
Rhett Ellison,MIN,1,4,4,30,0
Greg Olsen,CAR,1,4,3,30,0
Antonio Gates,SD,1,5,3,28,0
Jim Dray,CLE,1,1,1,26,0
Vernon Davis,SF,1,3,2,19,0
Niles Paul,WAS,1,2,2,18,0
Jordan Reed,WAS,1,1,1,17,0
Gary Barnidge,CLE,1,4,2,16,0
Luke Willson,SEA,1,5,1,16,0
Harold Hoskins,MIA,1,1,1,14,0
Heath Miller,PIT,1,2,1,14,0
Jared Cook,STL,1,5,2,12,0
Jacob Tamme,DEN,1,5,1,10,0
Brent Celek,PHI,1,2,2,7,0
Ryan Hewitt,CIN,1,2,1,7,0
Lance Kendricks,STL,1,2,1,7,0
Derek Carrier,SF,1,1,1,6,0
Demetrius Harris,KC,1,1,1,6,0
Brandon Williams,CAR,1,1,1,6,0
Zach Ertz,PHI,1,2,1,4,0
Ben Watson,NO,1,1,1,4,0
Austin Seferian-Jenkins,TB,1,3,1,3,0
Jeff Cumberland,NYJ,1,2,0,0,0
Ed Dickson,CAR,1,2,0,0,0
Garrett Graham,HOU,1,1,0,0,0
Ladarius Green,SD,1,1,0,0,0
Clay Harbor,JAC,1,2,0,0,0
Cory Harkey,STL,1,1,0,0,0
Josh Hill,NO,1,2,0,0,0
Brian Leonhardt,OAK,1,1,0,0,0
Phillip Supernaw,BAL,1,1,1,-2,0
