,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing
Player,Team,G,Target,Rec,Yard,TD,Att,Yard,TD
Jerrel Jernigan,NYG,1,7,6,90,1,2,57,1
Demaryius Thomas,DEN,1,6,6,113,2,0,0,0
Anquan Boldin,SF,1,11,9,149,1,1,11,0
Cordarrelle Patterson,MIN,1,5,2,31,1,2,54,1
Golden Tate,SEA,1,9,8,129,1,1,2,0
Randall Cobb,GB,1,2,2,55,2,0,0,0
Jordy Nelson,GB,1,16,10,161,0,0,0,0
Dez Bryant,DAL,1,13,8,99,1,0,0,0
T.Y. Hilton,IND,1,15,11,155,0,0,0,0
Tiquan Underwood,TB,1,7,5,93,1,0,0,0
Roddy White,ATL,1,14,8,91,1,0,0,0
Kenny Stills,NO,1,1,1,76,1,0,0,0
Brandon Marshall,CHI,1,10,6,74,1,0,0,0
Andre Roberts,ARI,1,6,3,74,1,0,0,0
Lance Moore,NO,1,5,4,73,1,0,0,0
T.J. Graham,BUF,1,5,3,62,1,0,0,0
A.J. Green,CIN,1,10,4,61,1,0,0,0
Marvin Jones,CIN,1,7,5,61,1,0,0,0
Larry Fitzgerald,ARI,1,11,6,113,0,0,0,0
Eddie Royal,SD,1,5,3,34,1,2,17,0
Robert Meachem,NO,1,1,1,41,1,0,0,0
Rod Streater,OAK,1,9,5,40,1,0,0,0
Griff Whalen,IND,1,7,4,32,1,0,0,0
Michael Floyd,ARI,1,12,6,91,0,0,0,0
Marlon Brown,BAL,1,9,5,30,1,0,0,0
Keenan Allen,SD,1,8,5,89,0,0,0,0
Antonio Brown,PIT,1,14,9,87,0,0,0,0
Eric Decker,DEN,1,5,4,27,1,0,0,0
Jerricho Cotchery,PIT,1,6,3,25,1,0,0,0
Mike Wallace,MIA,1,12,5,25,1,0,0,0
Josh Gordon,CLE,1,10,7,82,0,0,0,0
Alshon Jeffery,CHI,1,8,3,80,0,0,0,0
Kevin Ogletree,DET,1,10,5,75,0,0,0,0
Andrew Hawkins,CIN,1,5,3,74,0,0,0,0
A.J. Jenkins,KC,1,7,3,67,0,1,1,0
Marques Colston,NO,1,6,6,67,0,0,0,0
Ted Ginn Jr.,CAR,1,5,2,6,1,0,0,0
David Nelson,NYJ,1,6,5,66,0,0,0,0
Julian Edelman,NE,1,11,9,65,0,0,0,0
Nate Burleson,DET,1,8,5,64,0,0,0,0
Denarius Moore,OAK,1,7,4,63,0,0,0,0
Quinton Patton,SF,1,3,2,34,0,1,26,0
Harry Douglas,ATL,1,9,7,58,0,0,0,0
Rishard Matthews,MIA,1,7,4,58,0,0,0,0
Pierre Garcon,WAS,1,10,6,56,0,0,0,0
Hakeem Nicks,NYG,1,4,2,50,0,0,0,0
Ace Sanders,JAC,1,14,6,50,0,0,0,0
Kendall Wright,TEN,1,7,5,50,0,0,0,0
Andre Johnson,HOU,1,9,6,49,0,0,0,0
Terrelle Pryor,OAK,1,0,0,0,0,9,49,0
Jason Avant,PHI,1,5,3,45,0,0,0,0
Junior Hemingway,KC,1,6,5,45,0,0,0,0
Greg Jennings,MIN,1,6,5,44,0,0,0,0
Mike Brown,JAC,1,5,3,43,0,0,0,0
Andre Caldwell,DEN,1,6,3,42,0,0,0,0
Santonio Holmes,NYJ,1,4,3,41,0,0,0,0
James Jones,GB,1,7,6,41,0,0,0,0
Jeremy Kerley,NYJ,1,8,5,40,0,1,1,0
Riley Cooper,PHI,1,3,3,39,0,0,0,0
Nate Washington,TEN,1,6,2,39,0,0,0,0
