,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Julius Thomas,DEN,1,8,6,78,1
Jimmy Graham,NO,1,11,5,73,1
Tony Gonzalez,ATL,1,11,8,63,1
Brent Celek,PHI,1,4,3,58,1
Marcedes Lewis,JAC,1,6,4,50,1
Jermaine Gresham,CIN,1,3,3,49,1
Martellus Bennett,CHI,1,8,5,85,0
Zach Miller,SEA,1,3,1,11,1
Matt Spaeth,PIT,1,1,1,11,1
Ryan Griffin,HOU,1,5,5,66,0
Brandon Myers,NYG,1,7,4,53,0
Ed Dickson,BAL,1,5,4,44,0
Joseph Fauria,DET,1,7,3,43,0
Mychal Rivera,OAK,1,3,2,43,0
Antonio Gates,SD,1,3,3,42,0
Greg Olsen,CAR,1,7,4,35,0
Delanie Walker,TEN,1,7,4,35,0
Kellen Winslow,NYJ,1,5,3,35,0
Dennis Pitta,BAL,1,7,4,34,0
Charles Clay,MIA,1,7,4,32,0
Scott Chandler,BUF,1,3,2,31,0
Jeff Cumberland,NYJ,1,3,2,30,0
David Paulson,PIT,1,1,1,30,0
Jared Cook,STL,1,2,2,27,0
Zach Ertz,PHI,1,1,1,27,0
Tim Wright,TB,1,6,4,27,0
Ben Watson,NO,1,2,2,26,0
Lee Smith,BUF,1,1,1,24,0
Gary Barnidge,CLE,1,4,2,23,0
Rhett Ellison,MIN,1,3,2,22,0
Jacob Tamme,DEN,1,3,3,22,0
Anthony Fasano,KC,1,4,1,19,0
Andrew Quarless,GB,1,4,1,19,0
Jake Ballard,ARI,1,3,1,17,0
Heath Miller,PIT,1,4,3,17,0
Jim Dray,ARI,1,3,3,16,0
Jason Witten,DAL,1,2,2,13,0
Jeron Mastrud,OAK,1,3,1,12,0
Fred Davis,WAS,1,1,1,9,0
Michael Hoomanawanui,NE,1,1,1,9,0
Bear Pascoe,NYG,1,2,1,7,0
Dorin Dickerson,DET,1,3,1,8,0
Coby Fleener,IND,1,3,2,8,0
Virgil Green,DEN,1,1,1,8,0
Logan Paulsen,WAS,1,2,2,7,0
Jack Doyle,IND,1,1,1,6,0
Tyler Eifert,CIN,1,1,1,6,0
Weslye Saunders,IND,1,2,1,6,0
John Phillips,SD,1,1,1,5,0
Lance Kendricks,STL,1,1,1,4,0
Luke Willson,SEA,1,1,1,3,0
Vernon Davis,SF,1,3,0,0,0
Ladarius Green,SD,1,1,0,0,0
Clay Harbor,JAC,1,1,0,0,0
Robert Housler,ARI,1,2,0,0,0
Vance McDonald,SF,1,2,0,0,0
Levine Toilolo,ATL,1,1,0,0,0
