,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Kyle Rudolph,MIN,1,9,6,106,1
Tyler Eifert,CIN,1,3,3,22,2
Vance McDonald,SF,1,4,4,65,1
Greg Olsen,CAR,1,6,3,54,1
Delanie Walker,TEN,1,10,8,109,0
Cameron Brate,TB,1,4,3,47,1
Lance Kendricks,STL,1,4,2,43,1
Crockett Gillmore,BAL,1,8,5,101,0
Julius Thomas,JAC,1,8,5,28,1
Jordan Cameron,MIA,1,5,2,21,1
Brent Celek,PHI,1,10,7,79,0
Darren Fells,ARI,1,2,1,18,1
Owen Daniels,DEN,1,5,4,69,0
Vernon Davis,DEN,1,6,6,68,0
Zach Miller,CHI,1,6,3,47,0
Travis Kelce,KC,1,7,5,46,0
Jordan Reed,WAS,1,8,6,46,0
Coby Fleener,IND,1,5,3,45,0
Jimmy Graham,SEA,1,3,3,39,0
Rob Gronkowski,NE,1,7,2,37,0
Garrett Celek,SF,1,3,2,35,0
Jared Cook,STL,1,6,4,31,0
Jason Witten,DAL,1,3,2,27,0
Martellus Bennett,CHI,1,6,2,26,0
Demetrius Harris,KC,1,2,2,26,0
Clive Walford,OAK,1,3,2,25,0
Mychal Rivera,OAK,1,2,1,21,0
Gavin Escobar,DAL,1,3,2,20,0
Maxx Williams,BAL,1,4,3,20,0
Rhett Ellison,MIN,1,3,2,19,0
Clay Harbor,JAC,1,2,2,17,0
Phillip Supernaw,TEN,1,2,2,16,0
Jacob Tamme,ATL,1,3,1,16,0
Luke Willson,SEA,1,2,2,15,0
Charles Clay,BUF,1,3,1,14,0
Anthony Fasano,TEN,1,2,2,14,0
Zach Ertz,PHI,1,4,2,12,0
Ladarius Green,SD,1,3,1,9,0
Virgil Green,DEN,1,1,1,9,0
Brandon Pettigrew,DET,1,1,1,8,0
MyCole Pruitt,MIN,1,1,1,8,0
Dwayne Allen,IND,1,1,1,7,0
Derek Carrier,WAS,1,3,2,7,0
Cooper Helfet,SEA,1,1,1,7,0
Richard Rodgers,GB,1,5,3,7,0
Antonio Gates,SD,1,3,1,6,0
Ryan Griffin,HOU,1,2,2,6,0
Scott Chandler,NE,1,2,1,3,0
Trey Burton,PHI,1,1,0,0,0
Kellen Davis,NYJ,1,0,0,0,0
Ed Dickson,CAR,1,1,0,0,0
Eric Ebron,DET,1,2,0,0,0
Chris Gragg,BUF,1,1,0,0,0
Tyler Kroft,CIN,1,1,0,0,0
Marcedes Lewis,JAC,1,2,0,0,0
Craig Stevens,TEN,1,1,0,0,0
