,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Luke Willson,SEA,1,3,3,139,2
Antonio Gates,SD,1,9,7,92,2
Jason Witten,DAL,1,7,7,90,1
Jordan Cameron,CLE,1,5,3,88,1
Jermaine Gresham,CIN,1,11,9,62,1
Zach Ertz,PHI,1,18,15,115,0
Charles Clay,MIA,1,10,6,114,0
Jimmy Graham,NO,1,10,6,53,1
Jeff Cumberland,NYJ,1,5,3,43,1
Scott Chandler,BUF,1,6,4,37,1
Lance Kendricks,STL,1,2,2,35,1
Dion Sims,MIA,1,3,3,35,1
Rob Gronkowski,NE,1,10,6,31,1
C.J. Fiedorowicz,HOU,1,3,2,12,1
Heath Miller,PIT,1,8,7,68,0
Marcedes Lewis,JAC,1,3,2,6,1
Delanie Walker,TEN,1,6,4,54,0
Rhett Ellison,MIN,1,2,2,47,0
Ed Dickson,CAR,1,2,2,44,0
Larry Donnell,NYG,1,5,4,42,0
Jared Cook,STL,1,7,5,41,0
Coby Fleener,IND,1,7,4,36,0
Julius Thomas,DEN,1,6,2,33,0
Travis Kelce,KC,1,7,4,31,0
Darren Fells,ARI,1,3,2,26,0
Ryan Griffin,HOU,1,3,3,25,0
Jack Doyle,IND,1,3,2,23,0
Chase Ford,MIN,1,2,1,22,0
Greg Olsen,CAR,1,3,1,21,0
Daniel Fells,NYG,1,3,2,20,0
Andrew Quarless,GB,1,3,2,17,0
Levine Toilolo,ATL,1,4,4,17,0
John Carlson,ARI,1,3,2,15,0
Brent Celek,PHI,1,1,1,15,0
MarQueis Gray,BUF,1,2,2,15,0
Chase Coffman,TEN,1,1,1,14,0
Robert Housler,ARI,1,1,1,13,0
Richard Rodgers,GB,1,3,2,13,0
Tim Wright,NE,1,1,1,12,0
Crockett Gillmore,BAL,1,1,1,9,0
Cooper Helfet,SEA,1,4,2,9,0
Luke Stocker,TB,1,3,2,8,0
Jacob Tamme,DEN,1,2,1,8,0
Owen Daniels,BAL,1,6,1,7,0
Logan Paulsen,WAS,1,1,1,6,0
Zach Sudfeld,NYJ,1,1,1,6,0
Jordan Reed,WAS,1,4,2,5,0
Mychal Rivera,OAK,1,4,1,5,0
Jim Dray,CLE,1,1,1,4,0
Ben Watson,NO,1,2,1,2,0
Anthony Fasano,KC,1,3,1,1,0
Cory Harkey,STL,1,1,1,1,0
Dante Rosario,CHI,1,1,1,1,0
Dwayne Allen,IND,1,3,0,0,0
Jace Amaro,NYJ,1,2,0,0,0
Martellus Bennett,CHI,1,3,1,0,0
Eric Ebron,DET,1,1,0,0,0
Brandon Myers,TB,1,2,0,0,0
Michael Palmer,PIT,1,1,0,0,0
Gerell Robinson,MIA,1,1,0,0,0
