,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Jordan Reed,WAS,1,11,9,129,2
Zach Ertz,PHI,1,17,13,122,0
Vance McDonald,SF,1,7,5,61,1
Austin Seferian-Jenkins,TB,1,4,2,60,1
Kyle Rudolph,MIN,1,3,2,53,1
Travis Kelce,KC,1,8,6,43,1
Rob Gronkowski,NE,1,6,4,86,0
Michael Hoomanawanui,NO,1,1,1,17,1
Owen Daniels,DEN,1,7,5,70,0
Zach Miller,CHI,1,8,7,69,0
Delanie Walker,TEN,1,15,9,59,0
Eric Ebron,DET,1,5,4,49,0
Heath Miller,PIT,1,6,5,49,0
Gary Barnidge,CLE,1,8,3,47,0
Cameron Brate,TB,1,1,1,46,0
Tyler Kroft,CIN,1,6,4,46,0
Cooper Helfet,SEA,1,6,4,43,0
Greg Olsen,CAR,1,6,4,40,0
Jordan Cameron,MIA,1,3,3,34,0
Jacob Tamme,ATL,1,4,4,29,0
Will Tye,NYG,1,4,3,28,0
Ladarius Green,SD,1,7,2,27,0
Matt LaCosse,NYG,1,3,3,22,0
Clive Walford,OAK,1,3,1,22,0
Jerome Cunningham,NYG,1,2,2,21,0
Anthony Fasano,TEN,1,7,2,21,0
Chris Gragg,BUF,1,3,2,19,0
Brent Celek,PHI,1,1,1,18,0
Jim Dray,CLE,1,3,1,18,0
Andrew Quarless,GB,1,2,2,17,0
Lee Smith,OAK,1,1,1,17,0
Maxx Williams,BAL,1,5,2,16,0
Coby Fleener,IND,1,4,2,13,0
Ryan Griffin,HOU,1,1,1,13,0
Marcedes Lewis,JAC,1,1,1,13,0
Josh Hill,NO,1,3,2,12,0
Julius Thomas,JAC,1,2,2,12,0
Jason Witten,DAL,1,2,1,12,0
Antonio Gates,SD,1,2,2,11,0
James Hanna,DAL,1,4,1,10,0
John Phillips,SD,1,1,1,9,0
Virgil Green,DEN,1,1,1,8,0
Dion Sims,MIA,1,1,1,8,0
Craig Stevens,TEN,1,1,1,8,0
Jack Doyle,IND,1,3,2,7,0
Jermaine Gresham,ARI,1,2,1,7,0
Clay Harbor,JAC,1,1,1,7,0
Luke Stocker,TB,1,1,1,7,0
C.J. Fiedorowicz,HOU,1,1,1,6,0
Jared Cook,STL,1,2,1,5,0
Ben Watson,NO,1,2,1,5,0
David Johnson,SD,1,1,1,4,0
Jesse James,PIT,1,1,1,3,0
Richard Rodgers,GB,1,3,1,2,0
Dwayne Allen,IND,1,1,0,0,0
Blake Bell,SF,1,1,0,0,0
Kellen Davis,NYJ,1,0,0,0,0
Ed Dickson,CAR,1,1,0,0,0
Rhett Ellison,MIN,1,1,0,0,0
Lance Kendricks,STL,1,2,0,0,0
Nick O'Leary,BUF,1,1,0,0,0
Brian Parker,KC,1,1,0,0,0
Alex Smith,WAS,1,1,0,0,0
Michael Williams,NE,1,1,0,0,0
Luke Willson,SEA,1,1,0,0,0
