,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing
Player,Team,G,Comp,Att,Yard,TD,INT,Att,Yard,TD
Peyton Manning,DEN,1,32,51,400,4,0,0,0,0
Andy Dalton,CIN,1,27,38,366,4,0,1,10,0
Geno Smith,NYJ,1,20,36,214,2,0,10,48,1
Matt Ryan,ATL,1,37,48,348,2,2,0,0,0
Colin Kaepernick,SF,1,13,21,197,1,0,6,51,1
Ben Roethlisberger,PIT,1,16,28,167,2,1,1,13,1
Nick Foles,PHI,1,21,25,230,2,0,2,17,0
Chad Henne,JAC,1,24,34,237,2,1,1,1,0
Tony Romo,DAL,1,17,27,226,2,1,1,-1,0
Joe Flacco,BAL,1,22,38,260,0,2,2,0,1
Drew Brees,NO,1,30,44,281,1,2,1,9,0
Jay Cutler,CHI,1,20,35,222,1,1,2,15,0
Eli Manning,NYG,1,23,42,256,1,1,2,-2,0
Andrew Luck,IND,1,26,37,241,1,0,6,5,0
Matt Flynn,GB,1,21,39,232,1,1,2,8,0
Kirk Cousins,WAS,1,21,36,197,1,1,2,10,0
Philip Rivers,SD,1,19,29,201,1,1,4,-3,0
Cam Newton,CAR,1,13,22,181,1,1,4,6,0
Matt Schaub,HOU,1,18,37,176,1,2,1,5,0
Ryan Fitzpatrick,TEN,1,17,26,181,1,1,3,1,0
Tom Brady,NE,1,14,26,172,1,0,0,0,0
Carson Palmer,ARI,1,13,25,178,1,4,5,-3,0
Russell Wilson,SEA,1,11,27,108,1,1,2,32,0
Alex Smith,KC,1,16,29,153,0,2,6,47,0
Matt Cassel,MIN,1,13,27,114,1,3,3,16,0
Jason Campbell,CLE,1,18,40,178,0,2,2,21,0
Matthew Stafford,DET,1,25,42,222,0,2,1,-1,0
Thaddeus Lewis,BUF,1,15,25,193,0,1,8,13,0
Matt McGloin,OAK,1,20,36,206,0,1,1,5,0
Mike Glennon,TB,1,16,26,158,0,0,2,3,0
Kellen Clemens,STL,1,16,20,158,0,0,4,0,0
Ryan Tannehill,MIA,1,10,27,82,0,0,0,0,0
Tyrod Taylor,BAL,1,1,4,2,0,1,3,39,0
Matt Moore,MIA,1,2,6,53,0,2,0,0,0
Josh McCown,CHI,1,2,4,20,0,0,1,-3,0
Josh Johnson,CIN,1,0,0,0,0,0,4,3,0
Luke McCown,NO,1,0,1,0,0,0,0,0,0
Michael Vick,PHI,1,0,0,0,0,0,2,-2,0
