,,,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Att,Yard,TD,Target,Rec,Yard,TD
Matt Forte,CHI,1,22,110,2,4,4,47,1
LeGarrette Blount,NE,1,24,189,2,0,0,0,0
Knile Davis,KC,1,27,81,2,4,2,5,0
Chris Johnson,TEN,1,27,127,1,3,3,14,0
LeSean McCoy,PHI,1,27,131,0,2,1,3,1
Jonathan Grimes,HOU,1,16,50,1,6,6,76,0
Fred Jackson,BUF,1,14,60,1,6,3,53,0
Marshawn Lynch,SEA,1,23,97,1,2,1,4,0
Le'Veon Bell,PIT,1,20,90,1,1,1,6,0
Ryan Mathews,SD,1,24,144,0,3,2,11,0
Eddie Lacy,GB,1,21,66,1,2,2,15,0
C.J. Spiller,BUF,1,19,105,0,5,5,28,0
Reggie Bush,DET,1,14,32,0,6,5,33,1
Knowshon Moreno,DEN,1,6,23,0,6,5,41,1
Dexter McCluster,KC,1,0,0,0,6,6,62,1
Matt Asiata,MIN,1,14,115,0,3,2,-2,0
Jason Snelling,ATL,1,5,36,0,2,2,15,1
DeAngelo Williams,CAR,1,10,33,0,2,2,75,0
Shane Vereen,NE,1,2,3,0,5,3,42,1
Trent Richardson,IND,1,8,25,1,2,2,17,0
Fozzy Whittaker,CLE,1,0,0,0,5,2,38,1
Donald Brown,IND,1,12,31,1,3,3,4,0
James Starks,GB,1,11,88,0,2,1,7,0
Montee Ball,DEN,1,10,72,0,3,3,22,0
Steven Jackson,ATL,1,13,41,0,7,5,53,0
Maurice Jones-Drew,JAC,1,13,39,0,6,5,51,0
DeMarco Murray,DAL,1,17,51,0,7,5,39,0
Alfred Morris,WAS,1,16,62,0,2,2,21,0
Pierre Thomas,NO,1,7,20,1,1,1,3,0
Lamar Miller,MIA,1,17,73,0,1,1,4,0
Stevan Ridley,NE,1,12,74,0,0,0,0,0
Giovani Bernard,CIN,1,13,22,0,7,5,51,0
Bilal Powell,NYJ,1,21,76,0,3,1,-4,0
Bryce Brown,PHI,1,2,11,1,0,0,0,0
Edwin Baker,CLE,1,18,69,0,2,2,-1,0
BenJarvus Green-Ellis,CIN,1,11,66,0,0,0,0,0
Peyton Hillis,NYG,1,17,56,0,5,1,6,0
Rashard Mendenhall,ARI,1,10,47,0,2,2,13,0
Danny Woodhead,SD,1,5,18,0,7,7,42,0
Joique Bell,DET,1,8,31,0,4,4,25,0
Ray Rice,BAL,1,6,15,0,7,7,35,0
Khiry Robinson,NO,1,12,50,0,0,0,0,0
Bernard Pierce,BAL,1,5,28,0,4,4,18,0
Andre Ellington,ARI,1,9,30,0,6,3,12,0
Mike Tolbert,CAR,1,7,29,0,3,3,10,0
Roy Helu,WAS,1,3,24,0,3,2,14,0
Zac Stacy,STL,1,15,15,0,4,4,23,0
Brian Leonard,TB,1,5,35,0,3,3,1,0
Bobby Rainey,TB,1,11,35,0,2,1,1,0
Chris Polk,PHI,1,0,0,0,1,1,34,0
Ronnie Hillman,DEN,1,12,30,0,1,0,0,0
Darren Sproles,NO,1,3,-1,0,4,2,30,0
Tashard Choice,IND,1,5,18,0,1,1,5,0
Mark Ingram,NO,1,3,20,0,1,1,3,0
Anthony Dixon,SF,1,2,-5,0,2,2,27,0
Darren McFadden,OAK,1,7,6,0,4,3,15,0
Ray Graham,HOU,1,4,8,0,3,1,12,0
Jonathan Dwyer,PIT,1,3,10,0,1,1,9,0
Chris Ivory,NYJ,1,5,19,0,0,0,0,0
Jackie Battle,TEN,1,1,16,0,1,1,2,0
Stanley Havili,IND,1,0,0,0,2,2,18,0
Rashad Jennings,OAK,1,4,9,0,3,2,8,0
Jordan Todman,JAC,1,2,3,0,3,1,12,0
Frank Gore,SF,1,13,14,0,0,0,0,0
Stepfan Taylor,ARI,1,2,7,0,1,1,7,0
Kendall Hunter,SF,1,2,13,0,0,0,0,0
Robert Turbin,SEA,1,7,13,0,0,0,0,0
Tommy Bohanon,NYJ,1,2,12,0,0,0,0,0
LaMichael James,SF,1,0,0,0,1,1,12,0
Andre Brown,NYG,1,13,11,0,0,0,0,0
Michael Bush,CHI,1,2,11,0,0,0,0,0
Felix Jones,PIT,1,2,11,0,0,0,0,0
Marcel Reece,OAK,1,0,0,0,1,1,11,0
Bernard Scott,BAL,1,2,3,0,1,1,8,0
Shonn Greene,TEN,1,6,10,0,0,0,0,0
Cyrus Gray,KC,1,2,2,0,4,3,7,0
Will Johnson,PIT,1,0,0,0,1,1,9,0
Chris Ogbonnaya,CLE,1,0,0,0,2,1,9,0
Greg Jones,HOU,1,0,0,0,1,1,6,0
Jed Collins,NO,1,2,3,0,1,1,2,0
Darrel Young,WAS,1,2,4,0,0,0,0,0
Erik Lorig,TB,1,0,0,0,1,1,3,0
Le'Ron McClain,SD,1,1,3,0,0,0,0,0
Benny Cunningham,STL,1,0,0,0,1,1,2,0
John Kuhn,GB,1,1,1,0,0,0,0,0
John Conner,NYG,1,0,0,0,2,0,0,0
Alex Green,NYJ,1,1,0,0,0,0,0,0
Daniel Thomas,MIA,1,2,0,0,0,0,0,0
