,,,Receiving,Receiving,Receiving,Receiving
Player,Team,G,Target,Rec,Yard,TD
Jimmy Graham,NO,1,3,3,37,2
Vernon Davis,SF,1,4,3,52,1
Tim Wright,TB,1,8,5,48,1
Jordan Reed,WAS,1,14,8,90,0
Jordan Cameron,CLE,1,4,4,81,0
Greg Olsen,CAR,1,4,3,21,1
Jermaine Gresham,CIN,1,3,2,14,1
Scott Chandler,BUF,1,11,7,72,0
Joel Dreessen,DEN,1,2,2,9,1
Kyle Rudolph,MIN,1,4,4,51,0
Ben Watson,NO,1,3,3,45,0
Brandon Myers,NYG,1,4,3,42,0
Charles Clay,MIA,1,8,5,37,0
Jared Cook,STL,1,6,3,31,0
Brandon Pettigrew,DET,1,6,3,31,0
Julius Thomas,DEN,1,3,3,29,0
Rob Gronkowski,NE,1,5,2,27,0
Tony Gonzalez,ATL,1,8,3,26,0
Sean McGrath,KC,1,2,2,25,0
Tyler Eifert,CIN,1,4,2,23,0
Lance Kendricks,STL,1,5,2,23,0
Heath Miller,PIT,1,6,3,19,0
Brent Celek,PHI,1,3,2,17,0
Jacob Tamme,DEN,1,1,1,15,0
Jason Witten,DAL,1,2,2,15,0
Anthony Fasano,KC,1,3,2,14,0
Robert Housler,ARI,1,1,1,14,0
Zach Miller,SEA,1,3,2,14,0
Andrew Quarless,GB,1,2,2,13,0
Richie Brockel,CAR,1,1,1,12,0
James Hanna,DAL,1,2,2,12,0
James Casey,PHI,1,1,1,11,0
Michael Egnew,MIA,1,2,1,11,0
Zach Sudfeld,NYJ,1,2,2,10,0
Jeff Cumberland,NYJ,1,2,1,9,0
Jeron Mastrud,OAK,1,1,1,9,0
Clay Harbor,JAC,1,1,1,7,0
Marcedes Lewis,JAC,1,3,1,6,0
Levine Toilolo,ATL,1,3,3,6,0
Zach Ertz,PHI,1,4,1,5,0
Dion Sims,MIA,1,2,1,4,0
Gary Barnidge,CLE,1,1,1,3,0
John Carlson,MIN,1,2,1,3,0
Chase Coffman,ATL,1,2,0,0,0
Tom Crabtree,TB,1,2,1,0,0
Virgil Green,DEN,1,1,0,0,0
Logan Paulsen,WAS,1,1,0,0,0
Mychal Rivera,OAK,1,1,0,0,0
