,,,Receiving,Receiving,Receiving,Receiving,Rushing,Rushing,Rushing
Player,Team,G,Target,Rec,Yard,TD,Att,Yard,TD
Odell Beckham Jr.,NYG,1,9,8,130,3,0,0,0
Tavon Austin,STL,1,7,4,98,1,3,21,1
Julio Jones,ATL,1,13,12,162,1,0,0,0
Malcom Floyd,SD,1,6,4,92,2,0,0,0
Brandin Cooks,NO,1,8,6,88,2,1,-3,0
Julian Edelman,NE,1,9,7,81,2,0,0,0
Willie Snead,NO,1,8,7,76,2,0,0,0
A.J. Green,CIN,1,17,11,118,1,0,0,0
Alshon Jeffery,CHI,1,15,10,116,1,0,0,0
Marques Colston,NO,1,9,8,114,1,0,0,0
Andre Holmes,OAK,1,3,2,54,2,0,0,0
Demaryius Thomas,DEN,1,11,8,168,0,0,0,0
Michael Floyd,ARI,1,8,4,106,1,0,0,0
Michael Crabtree,OAK,1,12,7,102,1,0,0,0
Dwayne Harris,NYG,1,7,3,37,2,0,0,0
Stefon Diggs,MIN,1,12,6,95,1,0,0,0
DeAndre Hopkins,HOU,1,11,8,94,1,0,0,0
Brian Hartline,CLE,1,10,4,32,2,0,0,0
Larry Fitzgerald,ARI,1,11,9,84,1,0,0,0
Andre Johnson,IND,1,8,4,81,1,0,0,0
Nate Washington,HOU,1,6,4,74,1,0,0,0
Eric Decker,NYJ,1,7,6,60,1,0,0,0
Philly Brown,CAR,1,5,3,42,1,1,14,0
Brandon Marshall,NYJ,1,18,9,108,0,0,0,0
Antonio Brown,PIT,1,11,6,47,1,0,0,0
Keenan Allen,SD,1,5,5,35,1,0,0,0
Jeremy Maclin,KC,1,5,3,35,1,0,0,0
Lance Moore,DET,1,3,3,29,1,0,0,0
Calvin Johnson,DET,1,10,5,85,0,0,0,0
Steve Smith,BAL,1,7,5,82,0,0,0,0
Jarvis Landry,MIA,1,8,6,71,0,0,0,0
J.J. Nelson,ARI,1,4,3,70,0,1,0,0
Jeremy Kerley,NYJ,1,5,4,63,0,0,0,0
Kamar Aiken,BAL,1,6,6,62,0,0,0,0
Rishard Matthews,MIA,1,12,7,62,0,0,0,0
Ted Ginn Jr.,CAR,1,10,2,60,0,0,0,0
Golden Tate,DET,1,7,6,59,0,0,0,0
Kenny Stills,MIA,1,7,3,58,0,0,0,0
Chris Givens,BAL,1,4,3,57,0,0,0,0
Rueben Randle,NYG,1,9,5,55,0,0,0,0
Martavis Bryant,PIT,1,9,4,49,0,0,0,0
Amari Cooper,OAK,1,9,5,46,0,1,2,0
Mike Evans,TB,1,9,3,48,0,0,0,0
Griff Whalen,IND,1,5,5,48,0,0,0,0
Brandon LaFell,NE,1,7,4,47,0,0,0,0
Kenbrell Thompkins,NYJ,1,7,6,41,0,0,0,0
Jaron Brown,ARI,1,4,1,39,0,0,0,0
Randall Cobb,GB,1,9,6,27,0,1,10,0
Tyler Lockett,SEA,1,4,3,36,0,0,0,0
Doug Baldwin,SEA,1,6,3,35,0,0,0,0
Charles Johnson,MIN,1,1,1,35,0,0,0,0
Jerome Simpson,SF,1,10,3,34,0,0,0,0
Quinton Patton,SF,1,4,2,33,0,0,0,0
Taylor Gabriel,CLE,1,7,4,32,0,0,0,0
Steve Johnson,SD,1,4,2,28,0,0,0,0
Kendall Wright,TEN,1,7,4,21,0,1,7,0
Travis Benjamin,CLE,1,5,3,26,0,0,0,0
Andre Caldwell,DEN,1,2,1,24,0,0,0,0
Roddy White,ATL,1,3,2,24,0,0,0,0
Emmanuel Sanders,DEN,1,5,2,22,0,0,0,0
Bennie Fowler,DEN,1,2,2,21,0,0,0,0
Justin Hardy,ATL,1,4,2,21,0,0,0,0
Seth Roberts,OAK,1,1,1,21,0,0,0,0
Jeremy Ross,BAL,1,6,3,21,0,0,0,0
Terrance Williams,DAL,1,2,2,20,0,0,0,0
Marc Mariani,CHI,1,2,1,19,0,0,0,0
Torrey Smith,SF,1,5,2,19,0,0,0,0
Jerricho Cotchery,CAR,1,3,2,18,0,0,0,0
Donte Moncrief,IND,1,7,2,18,0,0,0,0
Justin Hunter,TEN,1,3,2,17,0,0,0,0
T.Y. Hilton,IND,1,7,1,15,0,0,0,0
Brandon Coleman,NO,1,1,1,14,0,0,0,0
Adam Humphries,TB,1,6,3,14,0,0,0,0
Marvin Jones,CIN,1,5,2,12,0,1,2,0
Marquess Wilson,CHI,1,3,1,14,0,0,0,0
Dez Bryant,DAL,1,6,2,12,0,0,0,0
Dorial Green-Beckham,TEN,1,2,1,12,0,0,0,0
Albert Wilson,KC,1,4,3,12,0,0,0,0
Danny Amendola,NE,1,1,1,11,0,0,0,0
Eric Weems,ATL,1,1,1,11,0,0,0,0
Dontrelle Inman,SD,1,2,1,10,0,0,0,0
Mohamed Sanu,CIN,1,3,2,10,0,0,0,0
Davante Adams,GB,1,2,1,8,0,0,0,0
Bruce Ellington,SF,1,3,2,8,0,0,0,0
Devin Funchess,CAR,1,1,1,8,0,0,0,0
Myles White,NYG,1,1,1,8,0,0,0,0
Jarius Wright,MIN,1,2,1,8,0,0,0,0
Chris Conley,KC,1,1,1,6,0,0,0,0
Bradley Marquez,STL,1,1,1,5,0,0,0,0
Brian Quick,STL,1,1,1,5,0,0,0,0
Markus Wheaton,PIT,1,2,1,5,0,0,0,0
Donteea Dye,TB,1,3,1,4,0,0,0,0
Ricardo Lockette,SEA,1,2,1,3,0,0,0,0
Keith Mumphery,HOU,1,2,1,3,0,0,0,0
James Jones,GB,1,2,1,2,0,0,0,0
Lucky Whitehead,DAL,1,0,0,0,0,1,2,0
Eddie Royal,CHI,1,3,3,2,0,1,-1,0
Stedman Bailey,STL,1,3,0,0,0,0,0,0
Cole Beasley,DAL,1,1,0,0,0,0,0,0
Dwayne Bowe,CLE,1,1,0,0,0,0,0,0
Kenny Britt,STL,1,2,0,0,0,0,0,0
Marlon Brown,BAL,1,1,0,0,0,0,0,0
Corey Fuller,DET,1,2,0,0,0,0,0,0
Darrius Heyward-Bey,PIT,1,2,0,0,0,0,0,0
Jermaine Kearse,SEA,1,1,0,0,0,0,0,0
Chris Matthews,SEA,1,1,0,0,0,0,0,0
Rico Richardson,TEN,1,2,0,0,0,0,0,0
Jaelen Strong,HOU,1,2,0,0,0,0,0,0
Mike Wallace,MIN,1,4,0,0,0,0,0,0
